suburb,local_goverment_area,postcode
Mysterton,Townsville (City),4812
Arcadia,Townsville (City),4819
Florence Bay,Townsville (City),4819
Nelly Bay,Townsville (City),4819
Horseshoe Bay,Townsville (City),4819
Picnic Bay,Townsville (City),4819
Mount Louisa,Townsville (City),4814
Town Common,Townsville (City),4810
Mount St John,Townsville (City),4818
Bohle,Townsville (City),4818
Mundingburra,Townsville (City),4812
Annandale,Townsville (City),4814
North Ward,Townsville (City),4810
Belgian Gardens,Townsville (City),4810
Oonoonba,Townsville (City),4811
Cluden,Townsville (City),4811
Stuart,Townsville (City),4811
Idalia,Townsville (City),4811
Pallarenda,Townsville (City),4810
Pimlico,Townsville (City),4812
Railway Estate,Townsville (City),4810
Rosslea,Townsville (City),4812
Rowes Bay,Townsville (City),4810
South Townsville,Townsville (City),4810
Roseneath,Townsville (City),4811
Vincent,Townsville (City),4814
Wulguru,Townsville (City),4811
Alligator Creek,Townsville (City),4816
Cungulla,Townsville (City),4816
Calcium,Townsville (City),4816
Toonpan,Townsville (City),4816
Julago,Townsville (City),4816
Cape Cleveland,Townsville (City),4810
Oak Valley,Townsville (City),4811
Ross River,Townsville (City),4816
Ugar Island,Torres Strait Island (Regional Council),4875
Yelarbon,Goondiwindi (Regional Council),4388
Calingunee,Goondiwindi (Regional Council),4390
Yagaburne,Goondiwindi (Regional Council),4390
Billa Billa,Goondiwindi (Regional Council),4390
Kioma,Goondiwindi (Regional Council),4498
North Bungunya,Goondiwindi (Regional Council),4494
Wyaga,Goondiwindi (Regional Council),4390
Weengallon,Goondiwindi (Regional Council),4497
Callandoon,Goondiwindi (Regional Council),4390
Tarawera,Goondiwindi (Regional Council),4494
Wondalli,Goondiwindi (Regional Council),4390
Daymar,Goondiwindi (Regional Council),4497
Boondandilla,Goondiwindi (Regional Council),4406
Kindon,Goondiwindi (Regional Council),4390
South Talwood,Goondiwindi (Regional Council),4496
Toobeah,Goondiwindi (Regional Council),4498
Nandi,Western Downs (Regional Council),4405
Jandowae,Western Downs (Regional Council),4410
Mowbullan,Western Downs (Regional Council),4405
Warra,Western Downs (Regional Council),4411
Bell,Western Downs (Regional Council),4408
Ducklo,Western Downs (Regional Council),4405
Springvale,Western Downs (Regional Council),4405
Blaxland,Western Downs (Regional Council),4405
Jimbour East,Western Downs (Regional Council),4406
Kumbarilla,Western Downs (Regional Council),4405
Halliford,Western Downs (Regional Council),4407
Moola,Western Downs (Regional Council),4405
Tuckerang,Western Downs (Regional Council),4411
Jinghi,Western Downs (Regional Council),4410
Cooranga,Western Downs (Regional Council),4408
Kaimkillenbun,Western Downs (Regional Council),4406
Pirrinuan,Western Downs (Regional Council),4405
Macalister,Western Downs (Regional Council),4406
Jimbour West,Western Downs (Regional Council),4406
Warraber Islet,Torres Strait Island (Regional Council),4875
Guijar Islet,Torres Strait Island (Regional Council),4875
Burrar Islet,Torres Strait Island (Regional Council),4875
Begonia,Maranoa (Regional Council),4487
Ballaroo,Maranoa (Regional Council),4455
Weribone,Maranoa (Regional Council),4417
Dunkeld,Maranoa (Regional Council),4465
Teelba,Maranoa (Regional Council),4423
Oberina,Maranoa (Regional Council),4417
Parknook,Maranoa (Regional Council),4417
Noorindoo,Maranoa (Regional Council),4417
Wellesley,Maranoa (Regional Council),4417
Wycombe,Maranoa (Regional Council),4455
Warwick,Southern Downs (Regional Council),4370
Junabee,Southern Downs (Regional Council),4370
Canningvale,Southern Downs (Regional Council),4370
Sladevale,Southern Downs (Regional Council),4370
Maryvale,Southern Downs (Regional Council),4370
Upper Freestone,Southern Downs (Regional Council),4370
Mount Colliery,Southern Downs (Regional Council),4370
The Falls,Southern Downs (Regional Council),4373
Loch Lomond,Southern Downs (Regional Council),4370
Murrays Bridge,Southern Downs (Regional Council),4370
Freestone,Southern Downs (Regional Council),4370
Killarney,Southern Downs (Regional Council),4373
Yangan,Southern Downs (Regional Council),4371
Swan Creek,Southern Downs (Regional Council),4370
Elbow Valley,Southern Downs (Regional Council),4370
Morgan Park,Southern Downs (Regional Council),4370
Swanfels,Southern Downs (Regional Council),4371
Tannymorel,Southern Downs (Regional Council),4372
The Hermitage,Southern Downs (Regional Council),4370
Rosenthal Heights,Southern Downs (Regional Council),4370
Willowvale,Southern Downs (Regional Council),4370
Dalveen,Southern Downs (Regional Council),4374
Glengallan,Southern Downs (Regional Council),4370
Wiyarra,Southern Downs (Regional Council),4370
Mount Sturt,Southern Downs (Regional Council),4370
Emu Vale,Southern Downs (Regional Council),4371
Tregony,Southern Downs (Regional Council),4370
The Head,Southern Downs (Regional Council),4373
Silverwood,Southern Downs (Regional Council),4370
