A;RTSALEDATA;092;20251229 01:07;VALNET;
B;092;2995783;1;20251229 01:07;;35;552;PACIFIC HWY;CHATSWOOD;2067;;;20251124;20251224;1170000;;R;RESIDENCE;35;;;;AV761476;
C;092;2995783;1;20251229 01:07;35/SP70333;
D;092;2995783;1;20251229 01:07;P;;;;;;
D;092;2995783;1;20251229 01:07;V;;;;;;
B;092;4227242;2;20251229 01:07;;402;29;BARINGA RD;NORTHBRIDGE;2063;238;M;20250829;20251219;3630000;;R;RESIDENCE;19;;;;AV751039;
C;092;4227242;2;20251229 01:07;19/SP99338;
D;092;4227242;2;20251229 01:07;P;;;;;;
D;092;4227242;2;20251229 01:07;P;;;;;;
D;092;4227242;2;20251229 01:07;V;;;;;;
D;092;4227242;2;20251229 01:07;V;;;;;;
B;092;6024313;3;20251229 01:07;;;16 A;WARRAWEE AVE;CASTLE COVE;2069;372.1;M;20251107;20251219;4045000;R2;R;RESIDENCE;;RAL;;;AV749695;
C;092;6024313;3;20251229 01:07;1/1311270;
D;092;6024313;3;20251229 01:07;P;;;;;;
D;092;6024313;3;20251229 01:07;V;;;;;;
B;092;6024314;4;20251229 01:07;;;16;WARRAWEE AVE;CASTLE COVE;2069;361.6;M;20251025;20251219;4025000;R2;R;RESIDENCE;;RAL;;;AV749213;
C;092;6024314;4;20251229 01:07;2/1311270;
D;092;6024314;4;20251229 01:07;P;;;;;;
D;092;6024314;4;20251229 01:07;P;;;;;;
D;092;6024314;4;20251229 01:07;V;;;;;;
B;092;954565;5;20251229 01:07;;;44;COOLAWIN RD;NORTHBRIDGE;2063;1043;M;20250322;20251219;14880000;R2;R;RESIDENCE;;RAQ;;;AV745896;
C;092;954565;5;20251229 01:07;12/18857;
D;092;954565;5;20251229 01:07;P;;;;;;
D;092;954565;5;20251229 01:07;V;;;;;;
D;092;954565;5;20251229 01:07;V;;;;;;
B;092;954773;6;20251229 01:07;;;18;CRABBES AVE;NORTH WILLOUGHBY;2068;288.7;M;20250920;20251219;2900000;R2;R;RESIDENCE;;RAJ;;;AV742121;
C;092;954773;6;20251229 01:07;11/866942;
D;092;954773;6;20251229 01:07;P;;;;;;
D;092;954773;6;20251229 01:07;V;;;;;;
D;092;954773;6;20251229 01:07;V;;;;;;
B;092;2777257;7;20251229 01:07;;603;2;BROUGHTON RD;ARTARMON;2064;;;20251218;20251222;903000;;R;RESIDENCE;33;;;;AV754168;
C;092;2777257;7;20251229 01:07;33/SP7624;
D;092;2777257;7;20251229 01:07;P;;;;;;
D;092;2777257;7;20251229 01:07;V;;;;;;
B;092;950070;8;20251229 01:07;;;35;ARCHER ST;CHATSWOOD;2067;569.1;M;20250514;20251219;3000000;MU1;R;RESIDENCE;;MUC;;;AV748006;
C;092;950070;8;20251229 01:07;1/22569;
D;092;950070;8;20251229 01:07;P;;;;;;
D;092;950070;8;20251229 01:07;V;;;;;;
B;092;2853373;9;20251229 01:07;;40;9;HERBERT ST;ST LEONARDS;2065;;;20251205;20251219;1120000;;R;RESIDENCE;133;;;;AV741875;
C;092;2853373;9;20251229 01:07;133/SP69609;
D;092;2853373;9;20251229 01:07;P;;;;;;
D;092;2853373;9;20251229 01:07;P;;;;;;
D;092;2853373;9;20251229 01:07;V;;;;;;
B;092;3027259;10;20251229 01:07;;19;174;WILLOUGHBY RD;NAREMBURN;2065;;;20251113;20251222;550000;;3;COMMERCIAL;19;;;;AV754687;
C;092;3027259;10;20251229 01:07;19/SP72721;
D;092;3027259;10;20251229 01:07;P;;;;;;
D;092;3027259;10;20251229 01:07;V;;;;;;
B;092;4044333;11;20251229 01:07;;;25;KENDALL RD;CASTLE COVE;2069;1328;M;20251110;20251219;4610000;C4;R;RESIDENCE;;ELL;;;AV746146;
C;092;4044333;11;20251229 01:07;99/359163;
D;092;4044333;11;20251229 01:07;P;;;;;;
D;092;4044333;11;20251229 01:07;P;;;;;;
D;092;4044333;11;20251229 01:07;V;;;;;;
B;092;4549834;12;20251229 01:07;BUILDING C ACACIA;403;19;RICHMOND AVE;WILLOUGHBY;2068;137;M;20251212;20251222;2061250;;R;RESIDENCE;46;;;;AV754027;
C;092;4549834;12;20251229 01:07;46/SP107582;
D;092;4549834;12;20251229 01:07;P;;;;;;
D;092;4549834;12;20251229 01:07;V;;;;;;
B;092;4500707;13;20251229 01:07;;303;3;SCOTT ST;WILLOUGHBY;2068;154;M;20251212;20251222;2044250;;R;RESIDENCE;20;;;;AV754079;
C;092;4500707;13;20251229 01:07;20/SP106638;
D;092;4500707;13;20251229 01:07;P;;;;;;
D;092;4500707;13;20251229 01:07;V;;;;;;
B;092;4500707;14;20251229 01:07;;203;1;SCOTT ST;WILLOUGHBY;2068;163;M;20251212;20251222;2261000;;R;RESIDENCE;66;;;;AV754018;
C;092;4500707;14;20251229 01:07;66/SP106638;
D;092;4500707;14;20251229 01:07;P;;;;;;
D;092;4500707;14;20251229 01:07;V;;;;;;
B;092;4504828;15;20251229 01:07;;308;16;ARTARMON RD;WILLOUGHBY;2068;164;M;20251212;20251222;2248250;;R;RESIDENCE;16;;;;AV754066;
C;092;4504828;15;20251229 01:07;16/SP106904;
D;092;4504828;15;20251229 01:07;P;;;;;;
D;092;4504828;15;20251229 01:07;V;;;;;;
B;092;4504828;16;20251229 01:07;;607;5;SCOTT ST;WILLOUGHBY;2068;180;M;20251017;20251219;2485000;;R;RESIDENCE;89;;;;AV749195;
C;092;4504828;16;20251229 01:07;89/SP106904;
D;092;4504828;16;20251229 01:07;P;;;;;;
D;092;4504828;16;20251229 01:07;P;;;;;;
D;092;4504828;16;20251229 01:07;V;;;;;;
B;092;955808;17;20251229 01:07;;;2;DORSET RD;NORTHBRIDGE;2063;746.1;M;20251024;20251219;7175000;C4;R;RESIDENCE;;ELP;;;AV746455;
C;092;955808;17;20251229 01:07;79/13503;
D;092;955808;17;20251229 01:07;P;;;;;;
D;092;955808;17;20251229 01:07;P;;;;;;
D;092;955808;17;20251229 01:07;V;;;;;;
B;092;958475;18;20251229 01:07;;;114;FULLERS RD;CHATSWOOD WEST;2067;923.2;M;20251202;20251219;3300000;C4;R;RESIDENCE;;ELA;;;AV748518;
C;092;958475;18;20251229 01:07;4/446733;
D;092;958475;18;20251229 01:07;P;;;;;;
D;092;958475;18;20251229 01:07;V;;;;;;
B;092;957001;19;20251229 01:07;;;44;ELIZABETH ST;ARTARMON;2064;341.4;M;20251105;20251219;2725000;R3;R;RESIDENCE;;RMD;;;AV742016;
C;092;957001;19;20251229 01:07;1/300805;
D;092;957001;19;20251229 01:07;P;;;;;;
D;092;957001;19;20251229 01:07;P;;;;;;
D;092;957001;19;20251229 01:07;P;;;;;;
D;092;957001;19;20251229 01:07;V;;;;;;
B;092;970378;20;20251229 01:07;;1;276;SAILORS BAY RD;NORTHBRIDGE;2063;;;20251124;20251219;1030000;;R;RESIDENCE;1;;;;AV741198;
C;092;970378;20;20251229 01:07;1/SP8223;
D;092;970378;20;20251229 01:07;P;;;;;;
D;092;970378;20;20251229 01:07;P;;;;;;
D;092;970378;20;20251229 01:07;V;;;;;;
D;092;970378;20;20251229 01:07;V;;;;;;
B;092;975890;21;20251229 01:07;;20;595;WILLOUGHBY RD;WILLOUGHBY;2068;;;20251124;20251219;260000;;R;RESIDENCE;20;;;;AV741121;
C;092;975890;21;20251229 01:07;20/SP41986;
D;092;975890;21;20251229 01:07;P;;;;;;
D;092;975890;21;20251229 01:07;V;;;;;;
B;092;970993;22;20251229 01:07;;;5;SLADE ST;NAREMBURN;2065;672.2;M;20251017;20251219;3050888;R2;R;RESIDENCE;;RAH;;;AV746755;
C;092;970993;22;20251229 01:07;51/708743;
D;092;970993;22;20251229 01:07;P;;;;;;
D;092;970993;22;20251229 01:07;P;;;;;;
D;092;970993;22;20251229 01:07;V;;;;;;
B;092;971052;23;20251229 01:07;;;31;SMALL ST;WILLOUGHBY;2068;556.4;M;20251107;20251219;4510000;R2;R;RESIDENCE;;RAD;;;AV751020;
