A;RTSALEDATA;244;20251229 01:08;VALNET;
B;244;2649472;1;20251229 01:08;;;13;GATENBY ST;CONDOBOLIN;2877;1252;M;20251202;20251219;275000;RU5;R;RESIDENCE;;ZCC;;;AV746793;
C;244;2649472;1;20251229 01:08;11/15487;
D;244;2649472;1;20251229 01:08;P;;;;;;
D;244;2649472;1;20251229 01:08;V;;;;;;
B;244;2649727;2;20251229 01:08;;;22;MAHONGA ST;CONDOBOLIN;2877;1461;M;20251212;20251219;135000;RU5;R;RESIDENCE;;ZCC;;;AV747371;
C;244;2649727;2;20251229 01:08;2/528077;
D;244;2649727;2;20251229 01:08;P;;;;;;
D;244;2649727;2;20251229 01:08;V;;;;;;
D;244;2649727;2;20251229 01:08;V;;;;;;
B;244;2647002;3;20251229 01:08;BURRAGONG;;108;SALTERS RD;CONDOBOLIN;2877;1392;H;20251114;20251218;6800000;RU1;3;FARM;;RRB;;;AV739942;
C;244;2647002;3;20251229 01:08;19, 27, 32, 46, 49/753082;
D;244;2647002;3;20251229 01:08;P;;;;;;
D;244;2647002;3;20251229 01:08;V;;;;;;
D;244;2647002;3;20251229 01:08;V;;;;;;
B;244;2649919;4;20251229 01:08;;;15;MOLONG ST;CONDOBOLIN;2877;1245;M;20251117;20251222;300000;RU5;R;RESIDENCE;;ZCC;;;AV754126;
C;244;2649919;4;20251229 01:08;4/26/758271;
D;244;2649919;4;20251229 01:08;P;;;;;;
D;244;2649919;4;20251229 01:08;V;;;;;;
B;244;2649999;5;20251229 01:08;;;2;NAPIER ST;CONDOBOLIN;2877;889;M;20251212;20251222;200000;RU5;R;RESIDENCE;;ZCC;;;AV754469;
C;244;2649999;5;20251229 01:08;2/14119;
D;244;2649999;5;20251229 01:08;P;;;;;;
D;244;2649999;5;20251229 01:08;V;;;;;;
B;244;4366574;6;20251229 01:08;;;84;WALKER ST;LAKE CARGELLIGO;2672;1910;M;20251211;20251222;120000;RU5;V;VACANT LAND;;ZLA;;;AV753341;
C;244;4366574;6;20251229 01:08;1/58/758595;
D;244;4366574;6;20251229 01:08;P;;;;;;
D;244;4366574;6;20251229 01:08;V;;;;;;
D;244;4366574;6;20251229 01:08;V;;;;;;
D;244;4366574;6;20251229 01:08;V;;;;;;
Z;30;6;6;16;
