A;RTSALEDATA;061;20251222 01:08;VALNET;
B;061;6024739;1;20251222 01:08;;;277;KIAREE RD;BETHUNGRA;2590;351.625;H;20250829;20250908;31505;RU1;V;VACANT LAND;;RMB;;;AV403575;
C;061;6024739;1;20251222 01:08;2/627535 2/826680 4/1001675 Enclosure Permit 655619;
D;061;6024739;1;20251222 01:08;P;;;;;;
D;061;6024739;1;20251222 01:08;V;;;;;;
B;061;3599889;2;20251222 01:08;;;11;DUKE ST;JUNEE;2663;505.9;M;20251014;20251215;650000;RU5;R;RESIDENCE;;JCN;;;AV714519;
C;061;3599889;2;20251222 01:08;1/1168368;
D;061;3599889;2;20251222 01:08;P;;;;;;
D;061;3599889;2;20251222 01:08;P;;;;;;
D;061;3599889;2;20251222 01:08;V;;;;;;
D;061;3599889;2;20251222 01:08;V;;;;;;
B;061;534751;3;20251222 01:08;;;60;PERCY ST;JUNEE;2663;2.63;H;20251201;20251216;430000;R5;R;RESIDENCE;;HRJ;;;AV725581;
C;061;534751;3;20251222 01:08;11/5854;
D;061;534751;3;20251222 01:08;P;;;;;;
D;061;534751;3;20251222 01:08;V;;;;;;
B;061;532554;4;20251222 01:08;;;25;BAYLIS ST;BETHUNGRA;2590;7638;M;20251003;20251212;605000;RU5;R;RESIDENCE;;VOB;;;AV713075;
C;061;532554;4;20251222 01:08;3, 4, 6/5/758100 1/1050946;
D;061;532554;4;20251222 01:08;P;;;;;;
D;061;532554;4;20251222 01:08;V;;;;;;
B;061;532604;5;20251222 01:08;;;3;AMOS ST;BETHUNGRA;2590;4047;M;20251105;20251217;107000;RU5;R;RESIDENCE;;VOB;;;AV728212;
C;061;532604;5;20251222 01:08;7, 8/17/758100;
D;061;532604;5;20251222 01:08;P;;;;;;
D;061;532604;5;20251222 01:08;P;;;;;;
D;061;532604;5;20251222 01:08;V;;;;;;
D;061;532604;5;20251222 01:08;V;;;;;;
B;061;534992;6;20251222 01:08;;;7;RIDGE ST;JUNEE;2663;1878;M;20251128;20251215;870000;RU5;R;RESIDENCE;;JCN;;;AV714284;
C;061;534992;6;20251222 01:08;5/2/10923;
D;061;534992;6;20251222 01:08;P;;;;;;
D;061;534992;6;20251222 01:08;P;;;;;;
D;061;534992;6;20251222 01:08;V;;;;;;
D;061;534992;6;20251222 01:08;V;;;;;;
B;061;533083;7;20251222 01:08;;;15;MILLBANK RD;OLD JUNEE;2652;1.012;H;20251217;20251218;200200;RU1;3;FARM;;HOB;;;AV736676;
C;061;533083;7;20251222 01:08;2/849094;
D;061;533083;7;20251222 01:08;P;;;;;;
D;061;533083;7;20251222 01:08;V;;;;;;
B;061;533877;8;20251222 01:08;;;2;CROSS ST;JUNEE;2663;853.6;M;20251201;20251218;540000;RU5;R;RESIDENCE;;JCN;;;AV738267;
C;061;533877;8;20251222 01:08;7/4/10921;
D;061;533877;8;20251222 01:08;P;;;;;;
D;061;533877;8;20251222 01:08;P;;;;;;
D;061;533877;8;20251222 01:08;V;;;;;;
B;061;3638796;9;20251222 01:08;;;13;WALSTER ST;JUNEE;2663;4625;M;20251031;20251212;860000;R5;R;RESIDENCE;;HRJ;;;AV706425;
C;061;3638796;9;20251222 01:08;25/1174622;
D;061;3638796;9;20251222 01:08;P;;;;;;
D;061;3638796;9;20251222 01:08;P;;;;;;
D;061;3638796;9;20251222 01:08;V;;;;;;
D;061;3638796;9;20251222 01:08;V;;;;;;
Z;47;9;9;27;
