A;RTSALEDATA;232;20251229 01:08;VALNET;
B;232;2611477;1;20251229 01:08;;;151;PANGEE ST;NYNGAN;2825;961;M;20251110;20251222;100000;E1;R;RESIDENCE;;ENB;;;AV752672;
C;232;2611477;1;20251229 01:08;1/335947;
D;232;2611477;1;20251229 01:08;P;;;;;;
D;232;2611477;1;20251229 01:08;V;;;;;;
Z;6;1;1;2;
