A;RTSALEDATA;209;20251222 01:10;VALNET;
B;209;2053036;1;20251222 01:10;;;504 A;BRONTE RD;BRONTE;2024;246.6;M;20251003;20251215;21250000;R2;R;RESIDENCE;;ABR;;;AV714612;
C;209;2053036;1;20251222 01:10;6/135170;
D;209;2053036;1;20251222 01:10;P;;;;;;
D;209;2053036;1;20251222 01:10;P;;;;;;
D;209;2053036;1;20251222 01:10;V;;;;;;
B;209;2055834;2;20251222 01:10;;;4;CRAIG AVE;VAUCLUSE;2030;512.2;M;20250926;20251216;7450000;R2;R;RESIDENCE;;ADH;;;AV725726;
C;209;2055834;2;20251222 01:10;4/29656;
D;209;2055834;2;20251222 01:10;P;;;;;;
D;209;2055834;2;20251222 01:10;V;;;;;;
B;209;2058431;3;20251222 01:10;;;29;FLETCHER ST;TAMARAMA;2026;223.14;M;20250912;20251215;6650000;R3;R;RESIDENCE;;AMS;;;AV714566;
C;209;2058431;3;20251222 01:10;10/4827;
D;209;2058431;3;20251222 01:10;P;;;;;;
D;209;2058431;3;20251222 01:10;V;;;;;;
B;209;2053165;4;20251222 01:10;;9;380;BRONTE RD;BRONTE;2024;94.7;M;20251203;20251218;1640000;;R;RESIDENCE;9;;;;AV740267;
C;209;2053165;4;20251222 01:10;9/SP2617;
D;209;2053165;4;20251222 01:10;P;;;;;;
D;209;2053165;4;20251222 01:10;V;;;;;;
B;209;2055978;5;20251222 01:10;;12;69;CURLEWIS ST;BONDI BEACH;2026;60;M;20251111;20251216;1267000;;R;RESIDENCE;12;;;;AV723660;
C;209;2055978;5;20251222 01:10;12/SP21830;
D;209;2055978;5;20251222 01:10;P;;;;;;
D;209;2055978;5;20251222 01:10;P;;;;;;
D;209;2055978;5;20251222 01:10;V;;;;;;
D;209;2055978;5;20251222 01:10;V;;;;;;
B;209;2050730;6;20251222 01:10;;;24;BIRRELL ST;BONDI JUNCTION;2022;132.8;M;20251104;20251212;2350000;R3;R;RESIDENCE;;AMA;;;AV708953;
C;209;2050730;6;20251222 01:10;2/850629;
D;209;2050730;6;20251222 01:10;P;;;;;;
D;209;2050730;6;20251222 01:10;P;;;;;;
D;209;2050730;6;20251222 01:10;V;;;;;;
D;209;2050730;6;20251222 01:10;V;;;;;;
B;209;2050737;7;20251222 01:10;;;10;BIRRELL ST;BONDI JUNCTION;2022;208.7;M;20251015;20251212;3800000;R3;R;RESIDENCE;;AMA;;;AV708996;
C;209;2050737;7;20251222 01:10;4/228986;
D;209;2050737;7;20251222 01:10;P;;;;;;
D;209;2050737;7;20251222 01:10;P;;;;;;
D;209;2050737;7;20251222 01:10;V;;;;;;
D;209;2050737;7;20251222 01:10;V;;;;;;
B;209;2050969;8;20251222 01:10;;;119;BLAIR ST;NORTH BONDI;2026;202.3;M;20251024;20251216;3900000;R3;R;RESIDENCE;;AMD;;;AV721495;
C;209;2050969;8;20251222 01:10;A/447128;
