A;RTSALEDATA;244;20251222 01:10;VALNET;
B;244;3499707;1;20251222 01:10;FOREST VALE;;3637;FIFIELD RD;FIFIELD;2875;491.9;H;20250826;20251003;4000000;RU1;3;FARM;;RTG;;;AV483907;
C;244;3499707;1;20251222 01:10;47/752111 1/1142234;
D;244;3499707;1;20251222 01:10;P;;;;;;
D;244;3499707;1;20251222 01:10;V;;;;;;
B;244;4101329;2;20251222 01:10;MARMORA;;531;CLARRIES LANE;CONDOBOLIN;2877;800.38;H;20251114;20251218;3400000;RU1;3;FARM;;RRB;;;AV739948;
C;244;4101329;2;20251222 01:10;100, 101, 108/1215140;
D;244;4101329;2;20251222 01:10;P;;;;;;
D;244;4101329;2;20251222 01:10;P;;;;;;
D;244;4101329;2;20251222 01:10;V;;;;;;
B;244;4038503;3;20251222 01:10;DARCYVILLE;;4048;BROTHERONY RD;KIACATOO;2877;1422.6;H;20251113;20251212;3516000;RU1;R;RESIDENCE;;RRB;;;AV711930;
C;244;4038503;3;20251222 01:10;41/752327;
D;244;4038503;3;20251222 01:10;P;;;;;;
D;244;4038503;3;20251222 01:10;P;;;;;;
D;244;4038503;3;20251222 01:10;P;;;;;;
D;244;4038503;3;20251222 01:10;V;;;;;;
D;244;4038503;3;20251222 01:10;V;;;;;;
B;244;2648069;4;20251222 01:10;;;71;WALKER ST;LAKE CARGELLIGO;2672;2023;M;20251210;20251212;150000;RU5;R;RESIDENCE;;ZLA;;;AV709802;
C;244;2648069;4;20251222 01:10;9/52/758595;
D;244;2648069;4;20251222 01:10;P;;;;;;
D;244;2648069;4;20251222 01:10;V;;;;;;
D;244;2648069;4;20251222 01:10;V;;;;;;
B;244;2648375;5;20251222 01:10;;;900;MOIRA VALE RD;TOTTENHAM;2873;250.9;H;20251105;20251217;750000;RU1;3;FARM;;RRA;;;AV729494;
C;244;2648375;5;20251222 01:10;32/752892;
D;244;2648375;5;20251222 01:10;P;;;;;;
D;244;2648375;5;20251222 01:10;P;;;;;;
D;244;2648375;5;20251222 01:10;P;;;;;;
D;244;2648375;5;20251222 01:10;P;;;;;;
D;244;2648375;5;20251222 01:10;V;;;;;;
B;244;2648460;6;20251222 01:10;YARDLEY;;7;WILGA RIDGE RD;FIFIELD;2875;550.4;H;20250826;20251003;4000000;RU1;3;FARM;;RTG;;;AV483907;
C;244;2648460;6;20251222 01:10;16/752111;
D;244;2648460;6;20251222 01:10;P;;;;;;
D;244;2648460;6;20251222 01:10;V;;;;;;
B;244;2649281;7;20251222 01:10;;;8;BRADY ST;CONDOBOLIN;2877;1024;M;20251104;20251216;110000;RU5;R;RESIDENCE;;ZCB;;;AV724542;
C;244;2649281;7;20251222 01:10;15/B/14503;
D;244;2649281;7;20251222 01:10;P;;;;;;
D;244;2649281;7;20251222 01:10;V;;;;;;
B;244;2649823;8;20251222 01:10;;;56;MELROSE ST;CONDOBOLIN;2877;999.1;M;20251118;20251216;670000;RU5;R;RESIDENCE;;ZCC;;;AV721191;
C;244;2649823;8;20251222 01:10;3/513214;
D;244;2649823;8;20251222 01:10;P;;;;;;
D;244;2649823;8;20251222 01:10;P;;;;;;
D;244;2649823;8;20251222 01:10;V;;;;;;
B;244;2649975;9;20251222 01:10;;;11;MOULDER ST;CONDOBOLIN;2877;704.4;M;20251118;20251215;380000;RU5;R;RESIDENCE;;ZCC;;;AV718618;
C;244;2649975;9;20251222 01:10;3/253966;
D;244;2649975;9;20251222 01:10;P;;;;;;
D;244;2649975;9;20251222 01:10;P;;;;;;
D;244;2649975;9;20251222 01:10;V;;;;;;
D;244;2649975;9;20251222 01:10;V;;;;;;
B;244;2650337;10;20251222 01:10;;;29;TURNER ST;CONDOBOLIN;2877;761.1;M;20251118;20251218;380000;RU5;R;RESIDENCE;;ZCF;;;AV734526;
C;244;2650337;10;20251222 01:10;23/624491;
D;244;2650337;10;20251222 01:10;P;;;;;;
D;244;2650337;10;20251222 01:10;V;;;;;;
D;244;2650337;10;20251222 01:10;V;;;;;;
B;244;3737866;11;20251222 01:10;;;14;BURNETT ST;CONDOBOLIN;2877;6742;M;20251205;20251218;600000;RU5;3;COMMERCIAL;;ZCI;;;AV737796;
C;244;3737866;11;20251222 01:10;1/1190198;
D;244;3737866;11;20251222 01:10;P;;;;;;
D;244;3737866;11;20251222 01:10;V;;;;;;
D;244;3737866;11;20251222 01:10;V;;;;;;
B;244;3954950;12;20251222 01:10;YARRADOOL;;756;SANDY CAMP RD;CONDOBOLIN;2877;595;H;20250919;20251216;2449984;RU1;3;FARM;;RRW;;;AV721882;
C;244;3954950;12;20251222 01:10;173/1220876;
D;244;3954950;12;20251222 01:10;P;;;;;;
D;244;3954950;12;20251222 01:10;V;;;;;;
B;244;4364208;13;20251222 01:10;;;;LONE WILGA RD;TOTTENHAM;2873;848.4;H;20250825;20251212;2750000;RU1;3;FARM;;RRA;;;AV709688;
C;244;4364208;13;20251222 01:10;9, 14, 22/754003;
D;244;4364208;13;20251222 01:10;P;;;;;;
D;244;4364208;13;20251222 01:10;V;;;;;;
B;244;4364209;14;20251222 01:10;;;1039;LONE WILGA RD;TOTTENHAM;2873;685.6;H;20250825;20251212;2750000;RU1;3;FARM;;RRA;;;AV709677;
C;244;4364209;14;20251222 01:10;10, 23/754003 Enclosure Permit 661627;
D;244;4364209;14;20251222 01:10;P;;;;;;
D;244;4364209;14;20251222 01:10;V;;;;;;
Z;71;14;14;41;
