A;RTSALEDATA;065;20251222 01:08;VALNET;
B;065;6033667;1;20251222 01:08;;;44;MCCRACKEN RD;LEETON;2705;59.133;H;20251113;20251211;613500;;3;FARM;;;;;AV705696;
C;065;6033667;1;20251222 01:08;634/42540 152, 153, 208/751742;
D;065;6033667;1;20251222 01:08;P;;;;;;
D;065;6033667;1;20251222 01:08;V;;;;;;
B;065;3550148;2;20251222 01:08;FARM 1764;;1390;WHITTON DARLINGTON POINT RD;WHITTON;2705;229.8;H;20251117;20251215;1487300;RU1;3;FARM;;RRR;;;AV718039;
C;065;3550148;2;20251222 01:08;55/751708;
D;065;3550148;2;20251222 01:08;P;;;;;;
D;065;3550148;2;20251222 01:08;P;;;;;;
D;065;3550148;2;20251222 01:08;V;;;;;;
D;065;3550148;2;20251222 01:08;V;;;;;;
D;065;3550148;2;20251222 01:08;V;;;;;;
D;065;3550148;2;20251222 01:08;V;;;;;;
B;065;537440;3;20251222 01:08;;;39;CELTIS PL;LEETON;2705;733.3;M;20251119;20251217;440000;R1;R;RESIDENCE;;AAN;;;AV727569;
C;065;537440;3;20251222 01:08;613/257430;
D;065;537440;3;20251222 01:08;P;;;;;;
D;065;537440;3;20251222 01:08;V;;;;;;
D;065;537440;3;20251222 01:08;V;;;;;;
D;065;537440;3;20251222 01:08;V;;;;;;
D;065;537440;3;20251222 01:08;V;;;;;;
B;065;539837;4;20251222 01:08;;;300;PETERSHAM RD;LEETON;2705;2.02;H;20250912;20251212;1050000;R2;R;RESIDENCE;;ALD;;;AV706947;
C;065;539837;4;20251222 01:08;2/793592;
D;065;539837;4;20251222 01:08;P;;;;;;
D;065;539837;4;20251222 01:08;P;;;;;;
D;065;539837;4;20251222 01:08;V;;;;;;
D;065;539837;4;20251222 01:08;V;;;;;;
B;065;538267;5;20251222 01:08;;;8;LILAC AVE;LEETON;2705;916.9;M;20251111;20251209;400000;R1;R;RESIDENCE;;AAS;;;AV693508;
C;065;538267;5;20251222 01:08;20/66/758606;
D;065;538267;5;20251222 01:08;P;;;;;;
D;065;538267;5;20251222 01:08;P;;;;;;
D;065;538267;5;20251222 01:08;V;;;;;;
B;065;536522;6;20251222 01:08;;;57;WATTLE AVE;MURRAMI;2705;1005;M;20251210;20251218;350000;RU5;R;RESIDENCE;;AAM;;;AV735291;
C;065;536522;6;20251222 01:08;353/751698;
D;065;536522;6;20251222 01:08;P;;;;;;
D;065;536522;6;20251222 01:08;P;;;;;;
D;065;536522;6;20251222 01:08;V;;;;;;
D;065;536522;6;20251222 01:08;V;;;;;;
B;065;3799130;7;20251222 01:08;FARM 406;;456;BOUNDARY RD;LEETON;2705;110.79;H;20251107;20251212;1250000;RU1;3;FARM;;RRR;;;AV709628;
C;065;3799130;7;20251222 01:08;138, 284, 285, 292/751735;
D;065;3799130;7;20251222 01:08;P;;;;;;
D;065;3799130;7;20251222 01:08;V;;;;;;
Z;42;7;7;26;
