A;RTSALEDATA;273;20251222 01:12;VALNET;
B;273;409449;1;20251222 01:12;;;;MONARO HWY;BOMBALA;2632;328.59;H;20251112;20251215;1216500;RU1;3;FARM;;R1F;;;AV714463;
C;273;409449;1;20251222 01:12;141, 150/756835;
D;273;409449;1;20251222 01:12;P;;;;;;
D;273;409449;1;20251222 01:12;V;;;;;;
B;273;409505;2;20251222 01:12;;;;DELEGATE RD;DELEGATE;2633;181.755;H;20250925;20251106;550000;RU1;V;VACANT LAND;;R1F;;0;AV585609;
C;273;409505;2;20251222 01:12;1/122009 12, 13/596005 15/596006 235, 238, 295/756837;
D;273;409505;2;20251222 01:12;P;;;;;;
D;273;409505;2;20251222 01:12;V;;;;;;
B;273;409680;3;20251222 01:12;;;15;STEWART ST;DELEGATE;2633;2023;M;20251207;20251215;320000;RU5;R;RESIDENCE;;VDE;;;AV720443;
C;273;409680;3;20251222 01:12;2/3/758346;
D;273;409680;3;20251222 01:12;P;;;;;;
D;273;409680;3;20251222 01:12;V;;;;;;
D;273;409680;3;20251222 01:12;V;;;;;;
D;273;409680;3;20251222 01:12;V;;;;;;
B;273;408646;4;20251222 01:12;;;37;QUEEN ST;BOMBALA;2632;1043;M;20251203;20251216;80000;R1;R;RESIDENCE;;BRT;;;AV721593;
C;273;408646;4;20251222 01:12;2/592836;
D;273;408646;4;20251222 01:12;P;;;;;;
D;273;408646;4;20251222 01:12;P;;;;;;
D;273;408646;4;20251222 01:12;V;;;;;;
B;273;408672;5;20251222 01:12;;;18;STEPHEN ST;BOMBALA;2632;670.2;M;20251203;20251216;400000;R1;R;RESIDENCE;;BRT;;;AV724971;
C;273;408672;5;20251222 01:12;6/242394;
D;273;408672;5;20251222 01:12;P;;;;;;
D;273;408672;5;20251222 01:12;P;;;;;;
D;273;408672;5;20251222 01:12;V;;;;;;
D;273;408672;5;20251222 01:12;V;;;;;;
B;273;409028;6;20251222 01:12;;;;THE SNOWY RIVER WAY;BOCO;2631;143.9;H;20251121;20251218;520000;RU1;R;RESIDENCE;;SWG;;;AV734359;
C;273;409028;6;20251222 01:12;1/229559;
D;273;409028;6;20251222 01:12;P;;;;;;
D;273;409028;6;20251222 01:12;P;;;;;;
D;273;409028;6;20251222 01:12;V;;;;;;
B;273;2934712;7;20251222 01:12;;;1010;SNOWY MOUNTAINS HWY;COOLRINGDON;2630;2.016;H;20251125;20251218;925000;RU1;R;RESIDENCE;;NWS;;;AV738378;
C;273;2934712;7;20251222 01:12;2/882183;
D;273;2934712;7;20251222 01:12;P;;;;;;
D;273;2934712;7;20251222 01:12;P;;;;;;
D;273;2934712;7;20251222 01:12;V;;;;;;
B;273;2991818;8;20251222 01:12;;;87;SOHO ST;COOMA;2630;1281;M;20251125;20251218;1295000;R2;R;RESIDENCE;;C2S;;;AV738379;
C;273;2991818;8;20251222 01:12;3/1052819;
D;273;2991818;8;20251222 01:12;P;;;;;;
D;273;2991818;8;20251222 01:12;P;;;;;;
D;273;2991818;8;20251222 01:12;V;;;;;;
D;273;2991818;8;20251222 01:12;V;;;;;;
B;273;3484293;9;20251222 01:12;BADJA MILL;;5132;BADJA RD;BADJA;2630;234.489;H;20241206;20250808;1050000;RU1;3;FARM;;NEG;;0;AV313421;
C;273;3484293;9;20251222 01:12;11, 12, 13/719193 22, 45, 46/750522 1, 2, 3/1138820;
D;273;3484293;9;20251222 01:12;P;;;;;;
D;273;3484293;9;20251222 01:12;V;;;;;;
B;273;6033927;10;20251222 01:12;;;;TUROSS RD;TUROSS;2630;56.658;H;20250825;20250911;200000;;3;FARM;;;;;AV413302;
C;273;6033927;10;20251222 01:12;87/752143;
D;273;6033927;10;20251222 01:12;P;;;;;;
D;273;6033927;10;20251222 01:12;P;;;;;;
D;273;6033927;10;20251222 01:12;V;;;;;;
D;273;6033927;10;20251222 01:12;V;;;;;;
B;273;6029212;11;20251222 01:12;;;1;BIILMANN CL;BERRIDALE;2628;700.1;M;20240510;20251215;285000;RU5;V;VACANT LAND;;VBE;;;AV714501;
C;273;6029212;11;20251222 01:12;5/1314393;
D;273;6029212;11;20251222 01:12;P;;;;;;
D;273;6029212;11;20251222 01:12;V;;;;;;
B;273;6029217;12;20251222 01:12;;;6;BIILMANN CL;BERRIDALE;2628;704.8;M;20250806;20251215;270000;RU5;V;VACANT LAND;;VBE;;;AV713857;
C;273;6029217;12;20251222 01:12;10/1314393;
D;273;6029217;12;20251222 01:12;P;;;;;;
D;273;6029217;12;20251222 01:12;P;;;;;;
D;273;6029217;12;20251222 01:12;V;;;;;;
B;273;6019989;13;20251222 01:12;;;;MYACK ST;BERRIDALE;2628;2023;M;20250814;20250925;444000;RU5;R;RESIDENCE;;VBE;;;AV454133;
C;273;6019989;13;20251222 01:12;4/9/1242;
D;273;6019989;13;20251222 01:12;P;;;;;;
D;273;6019989;13;20251222 01:12;V;;;;;;
D;273;6019989;13;20251222 01:12;V;;;;;;
D;273;6019989;13;20251222 01:12;V;;;;;;
D;273;6019989;13;20251222 01:12;V;;;;;;
B;273;6033649;14;20251222 01:12;;;770;SLAP UP RD;JERANGLE;2630;0;M;20250512;20251104;150000;;V;VACANT LAND;;;;0;AV577851;
C;273;6033649;14;20251222 01:12;PT 10/1301338;
D;273;6033649;14;20251222 01:12;P;;;;;;
D;273;6033649;14;20251222 01:12;V;;;;;;
B;273;442742;15;20251222 01:12;;;8;BAROONA AVE;COOMA;2630;720.8;M;20251111;20251216;430000;R2;R;RESIDENCE;;C2N;;;AV723379;
C;273;442742;15;20251222 01:12;392/209291;
D;273;442742;15;20251222 01:12;P;;;;;;
D;273;442742;15;20251222 01:12;P;;;;;;
D;273;442742;15;20251222 01:12;V;;;;;;
D;273;442742;15;20251222 01:12;V;;;;;;
B;273;445585;16;20251222 01:12;;;1;WAGGUN ST;COOMA;2630;714.5;M;20251009;20251216;300000;R2;R;RESIDENCE;;C2E;;;AV725729;
C;273;445585;16;20251222 01:12;172/209292;
D;273;445585;16;20251222 01:12;P;;;;;;
D;273;445585;16;20251222 01:12;V;;;;;;
D;273;445585;16;20251222 01:12;V;;;;;;
B;273;441174;17;20251222 01:12;KINARA;;200;CASEYS RD;BREDBO;2626;65.56;H;20250822;20251218;980000;RU1;R;RESIDENCE;;NEL;;;AV735690;
C;273;441174;17;20251222 01:12;9/750542;
D;273;441174;17;20251222 01:12;P;;;;;;
D;273;441174;17;20251222 01:12;P;;;;;;
D;273;441174;17;20251222 01:12;V;;;;;;
D;273;441174;17;20251222 01:12;V;;;;;;
B;273;444551;18;20251222 01:12;;;6;MULLAN PL;COOMA;2630;1008;M;20251205;20251218;420000;R2;R;RESIDENCE;;C2N;;;AV737974;
C;273;444551;18;20251222 01:12;3/631685;
D;273;444551;18;20251222 01:12;P;;;;;;
D;273;444551;18;20251222 01:12;V;;;;;;
B;273;444872;19;20251222 01:12;;;6;GOONAROO ST;COOMA;2630;1069;M;20251128;20251216;750000;R2;R;RESIDENCE;;C2N;;;AV724516;
C;273;444872;19;20251222 01:12;511/209289;
D;273;444872;19;20251222 01:12;P;;;;;;
D;273;444872;19;20251222 01:12;P;;;;;;
D;273;444872;19;20251222 01:12;V;;;;;;
B;273;444916;20;20251222 01:12;;;37;ORANA AVE;COOMA;2630;870.9;M;20251110;20251217;580000;R2;R;RESIDENCE;;C2N;;;AV729363;
C;273;444916;20;20251222 01:12;158/259163;
D;273;444916;20;20251222 01:12;P;;;;;;
D;273;444916;20;20251222 01:12;V;;;;;;
B;273;2667153;21;20251222 01:12;LAKE CRACKENBACK RESORT;;9;STOCKWHIP WAY;CRACKENBACK;2627;687.4;M;20250919;20251218;2000000;;R;RESIDENCE;86;;;;AV736392;
C;273;2667153;21;20251222 01:12;86/SP73514;
D;273;2667153;21;20251222 01:12;P;;;;;;
D;273;2667153;21;20251222 01:12;P;;;;;;
D;273;2667153;21;20251222 01:12;V;;;;;;
B;273;4562191;22;20251222 01:12;;;9;BOUNDARY ST;BERRIDALE;2628;5.7;H;20251107;20251216;530000;R5;V;VACANT LAND;;LBE;;;AV721520;
C;273;4562191;22;20251222 01:12;1/1294499;
D;273;4562191;22;20251222 01:12;P;;;;;;
D;273;4562191;22;20251222 01:12;P;;;;;;
D;273;4562191;22;20251222 01:12;V;;;;;;
D;273;4562191;22;20251222 01:12;V;;;;;;
B;273;2664200;23;20251222 01:12;;3;30;INGEBYRA ST;JINDABYNE;2627;;;20251119;20251218;635000;;R;RESIDENCE;3;;;;AV735612;
C;273;2664200;23;20251222 01:12;3/SP15613;
D;273;2664200;23;20251222 01:12;P;;;;;;
D;273;2664200;23;20251222 01:12;P;;;;;;
D;273;2664200;23;20251222 01:12;V;;;;;;
B;273;2666671;24;20251222 01:12;;;26;MARY ST;BERRIDALE;2628;735.9;M;20251125;20251212;437500;RU5;R;RESIDENCE;;VBE;;;AV708752;
C;273;2666671;24;20251222 01:12;3/561677;
D;273;2666671;24;20251222 01:12;P;;;;;;
D;273;2666671;24;20251222 01:12;P;;;;;;
D;273;2666671;24;20251222 01:12;V;;;;;;
B;273;2666687;25;20251222 01:12;;;12;MORRICE ST;BERRIDALE;2628;1897;M;20251110;20251218;260000;RU5;R;RESIDENCE;;VBE;;;AV735838;
C;273;2666687;25;20251222 01:12;15/14/1242;
D;273;2666687;25;20251222 01:12;P;;;;;;
D;273;2666687;25;20251222 01:12;V;;;;;;
D;273;2666687;25;20251222 01:12;V;;;;;;
B;273;2666910;26;20251222 01:12;SNOWGATE MOTEL;;3;SOUTHERN CROSS DR;BERRIDALE;2628;5941;M;20251118;20251212;1270000;RU5;3;COMMERCIAL;;VBB;;;AV707267;
C;273;2666910;26;20251222 01:12;3/620016;
D;273;2666910;26;20251222 01:12;P;;;;;;
D;273;2666910;26;20251222 01:12;V;;;;;;
D;273;2666910;26;20251222 01:12;V;;;;;;
B;273;2664759;27;20251222 01:12;;3;5;MCLURE CCT;JINDABYNE;2627;;;20251205;20251212;550000;;R;RESIDENCE;3;;;;AV711764;
C;273;2664759;27;20251222 01:12;3/SP14686;
D;273;2664759;27;20251222 01:12;P;;;;;;
D;273;2664759;27;20251222 01:12;V;;;;;;
B;273;2664934;28;20251222 01:12;;6;3;PENDERS CT;JINDABYNE;2627;;;20251106;20251218;781000;;R;RESIDENCE;6;;;;AV735530;
C;273;2664934;28;20251222 01:12;6/SP64034;
D;273;2664934;28;20251222 01:12;P;;;;;;
D;273;2664934;28;20251222 01:12;P;;;;;;
D;273;2664934;28;20251222 01:12;V;;;;;;
