A;RTSALEDATA;012;20251229 01:06;VALNET;
B;012;4611381;1;20251229 01:06;;;3;ROURKE ST;HUNTERVIEW;2330;773.5;M;20250519;20251219;393000;R1;R;RESIDENCE;;AAV;;;AV746238;
C;012;4611381;1;20251229 01:06;619/1313681;
D;012;4611381;1;20251229 01:06;P;;;;;;
D;012;4611381;1;20251229 01:06;P;;;;;;
D;012;4611381;1;20251229 01:06;V;;;;;;
B;012;4611391;2;20251229 01:06;;;10;ROURKE ST;HUNTERVIEW;2330;712.5;M;20251125;20251219;384000;R1;R;RESIDENCE;;AAV;;;AV746204;
C;012;4611391;2;20251229 01:06;629/1313681;
D;012;4611391;2;20251229 01:06;P;;;;;;
D;012;4611391;2;20251229 01:06;V;;;;;;
B;012;3174766;3;20251229 01:06;;;68;WOLLOMBI ST;BROKE;2330;9211;M;20251212;20251219;1200000;R5;R;RESIDENCE;;RZB;;;AV741941;
C;012;3174766;3;20251229 01:06;12/1077786;
D;012;3174766;3;20251229 01:06;P;;;;;;
D;012;3174766;3;20251229 01:06;P;;;;;;
D;012;3174766;3;20251229 01:06;V;;;;;;
Z;16;3;3;8;
