A;RTSALEDATA;090;20251229 01:07;VALNET;
B;090;859885;1;20251229 01:07;;2;145;BALACLAVA RD;MARSFIELD;2122;;;20251119;20251222;1492500;;R;RESIDENCE;2;;;;AV754377;
C;090;859885;1;20251229 01:07;2/SP68271;
D;090;859885;1;20251229 01:07;P;;;;;;
D;090;859885;1;20251229 01:07;P;;;;;;
D;090;859885;1;20251229 01:07;V;;;;;;
D;090;859885;1;20251229 01:07;V;;;;;;
B;090;890232;2;20251229 01:07;;2;3;STAR ST;EASTWOOD;2122;;;20251021;20251219;1600000;;R;RESIDENCE;2;;;;AV745924;
C;090;890232;2;20251229 01:07;2/SP67544;
D;090;890232;2;20251229 01:07;P;;;;;;
D;090;890232;2;20251229 01:07;V;;;;;;
D;090;890232;2;20251229 01:07;V;;;;;;
B;090;4192050;3;20251229 01:07;;502;101;CHURCH ST;RYDE;2112;;;20251203;20251219;625000;;R;RESIDENCE;30;;;;AV743702;
C;090;4192050;3;20251229 01:07;30/SP99079;
D;090;4192050;3;20251229 01:07;P;;;;;;
D;090;4192050;3;20251229 01:07;V;;;;;;
B;090;4184594;4;20251229 01:07;3.10;310;133;BOWDEN ST;MEADOWBANK;2114;;;20251203;20251223;845000;;R;RESIDENCE;17;;;;AV757578;
C;090;4184594;4;20251229 01:07;17/SP98547;
D;090;4184594;4;20251229 01:07;P;;;;;;
D;090;4184594;4;20251229 01:07;P;;;;;;
D;090;4184594;4;20251229 01:07;V;;;;;;
B;090;4243769;5;20251229 01:07;;504;408;VICTORIA RD;GLADESVILLE;2111;;;20251118;20251219;637500;;R;RESIDENCE;97;;;;AV742413;
C;090;4243769;5;20251229 01:07;97/SP100170;
D;090;4243769;5;20251229 01:07;P;;;;;;
D;090;4243769;5;20251229 01:07;V;;;;;;
B;090;4173612;6;20251229 01:07;;1307;3;NETWORK PL;NORTH RYDE;2113;;;20251107;20251219;848000;;R;RESIDENCE;179;;;;AV743348;
C;090;4173612;6;20251229 01:07;179/SP98060;
D;090;4173612;6;20251229 01:07;P;;;;;;
D;090;4173612;6;20251229 01:07;P;;;;;;
D;090;4173612;6;20251229 01:07;V;;;;;;
B;090;6026229;7;20251229 01:07;;;24;PATRICIA ST;MARSFIELD;2122;393.7;M;20251106;20251224;2500000;R2;R;RESIDENCE;;EA2;;;AV762314;
C;090;6026229;7;20251229 01:07;82/1320700;
D;090;6026229;7;20251229 01:07;P;;;;;;
D;090;6026229;7;20251229 01:07;V;;;;;;
B;090;6016774;8;20251229 01:07;;;28 A;GORDON ST;EASTWOOD;2122;467.8;M;20251114;20251222;3155000;R2;R;RESIDENCE;;EC2;;;AV755635;
C;090;6016774;8;20251229 01:07;2/1318055;
D;090;6016774;8;20251229 01:07;P;;;;;;
D;090;6016774;8;20251229 01:07;V;;;;;;
B;090;6016456;9;20251229 01:07;;;21 A;BIDGEE RD;RYDE;2112;305.1;M;20251002;20251219;2565000;R2;R;RESIDENCE;;EF2;;;AV745576;
C;090;6016456;9;20251229 01:07;2/1319735;
D;090;6016456;9;20251229 01:07;P;;;;;;
D;090;6016456;9;20251229 01:07;P;;;;;;
D;090;6016456;9;20251229 01:07;V;;;;;;
B;090;865810;10;20251229 01:07;;;29;CLARKE ST;WEST RYDE;2114;600.7;M;20251117;20251224;542433;R2;R;RESIDENCE;;EG2;;;AV761708;
C;090;865810;10;20251229 01:07;12/6582;
D;090;865810;10;20251229 01:07;P;;;;;;
D;090;865810;10;20251229 01:07;V;;;;;;
D;090;865810;10;20251229 01:07;V;;;;;;
B;090;884829;11;20251229 01:07;;;103;PARKLANDS RD;NORTH RYDE;2113;562.8;M;20251114;20251219;2120000;R2;R;RESIDENCE;;EA2;;;AV746846;
C;090;884829;11;20251229 01:07;4/27219;
D;090;884829;11;20251229 01:07;P;;;;;;
D;090;884829;11;20251229 01:07;P;;;;;;
D;090;884829;11;20251229 01:07;V;;;;;;
B;090;858213;12;20251229 01:07;;11;2;ADELAIDE ST;WEST RYDE;2114;58;M;20251121;20251222;440000;;R;RESIDENCE;11;;;;AV753643;
C;090;858213;12;20251229 01:07;11/SP20893;
D;090;858213;12;20251229 01:07;P;;;;;;
D;090;858213;12;20251229 01:07;V;;;;;;
B;090;874175;13;20251229 01:07;;;5;GLENDOWER AVE;EASTWOOD;2122;885.2;M;20250923;20251219;3860000;R2;R;RESIDENCE;;ECD;;;AV742078;
C;090;874175;13;20251229 01:07;44/20353;
D;090;874175;13;20251229 01:07;P;;;;;;
D;090;874175;13;20251229 01:07;V;;;;;;
D;090;874175;13;20251229 01:07;V;;;;;;
B;090;887564;14;20251229 01:07;;;42;RIVER AVE;CHATSWOOD WEST;2067;537.4;M;20251205;20251223;1750000;R2;R;RESIDENCE;;FB2;;;AV757332;
C;090;887564;14;20251229 01:07;69/16042;
D;090;887564;14;20251229 01:07;P;;;;;;
D;090;887564;14;20251229 01:07;P;;;;;;
D;090;887564;14;20251229 01:07;V;;;;;;
B;090;893596;15;20251229 01:07;;;527;VICTORIA RD;RYDE;2112;474.3;M;20251106;20251224;1773200;R4;3;COMMERCIAL;;EZ4;;;AV762225;
C;090;893596;15;20251229 01:07;A/358920;
D;090;893596;15;20251229 01:07;P;;;;;;
D;090;893596;15;20251229 01:07;V;;;;;;
B;090;860818;16;20251229 01:07;;;17;BEACH ST;TENNYSON POINT;2111;656.7;M;20250619;20251223;5200000;R2;R;RESIDENCE;;RSD;;;AV757514;
C;090;860818;16;20251229 01:07;1/712098;
D;090;860818;16;20251229 01:07;P;;;;;;
D;090;860818;16;20251229 01:07;P;;;;;;
D;090;860818;16;20251229 01:07;V;;;;;;
D;090;860818;16;20251229 01:07;V;;;;;;
B;090;876956;17;20251229 01:07;;;23;JOPLING ST;NORTH RYDE;2113;650.29;M;20251125;20251219;3340000;R2;R;RESIDENCE;;EAD;;;AV749076;
C;090;876956;17;20251229 01:07;64/205800;
D;090;876956;17;20251229 01:07;P;;;;;;
D;090;876956;17;20251229 01:07;V;;;;;;
D;090;876956;17;20251229 01:07;V;;;;;;
