A;RTSALEDATA;005;20251229 01:06;VALNET;
B;005;182162;1;20251229 01:06;;12;2 A;JUSTINE PDE;RUTHERFORD;2320;199;M;20251208;20251222;522000;;R;RESIDENCE;12;;;;AV755949;
C;005;182162;1;20251229 01:06;12/SP66944;
D;005;182162;1;20251229 01:06;P;;;;;;
D;005;182162;1;20251229 01:06;V;;;;;;
B;005;3403494;2;20251229 01:06;;;20;RILEY JAMES DR;RAWORTH;2321;691.8;M;20251121;20251219;845000;R1;R;RESIDENCE;;AAN;;;AV744531;
C;005;3403494;2;20251229 01:06;532/1127930;
D;005;3403494;2;20251229 01:06;P;;;;;;
D;005;3403494;2;20251229 01:06;P;;;;;;
D;005;3403494;2;20251229 01:06;V;;;;;;
B;005;4214154;3;20251229 01:06;;;13;THORNCLIFFE AVE;THORNTON;2322;298.2;M;20251127;20251219;715000;R1;R;RESIDENCE;;AAD;;;AV747639;
C;005;4214154;3;20251229 01:06;1/1253451;
D;005;4214154;3;20251229 01:06;P;;;;;;
D;005;4214154;3;20251229 01:06;P;;;;;;
D;005;4214154;3;20251229 01:06;V;;;;;;
D;005;4214154;3;20251229 01:06;V;;;;;;
B;005;6009291;4;20251229 01:06;;;31;HUNTERGLEN DR;BOLWARRA;2320;1085;M;20251205;20251219;590000;R1;V;VACANT LAND;;AAQ;;;AV746600;
C;005;6009291;4;20251229 01:06;413/1318385;
D;005;6009291;4;20251229 01:06;P;;;;;;
D;005;6009291;4;20251229 01:06;V;;;;;;
B;005;6024066;5;20251229 01:06;;;166;LAWES ST;EAST MAITLAND;2323;499.8;M;20251201;20251219;870000;R1;R;RESIDENCE;;AAL;;;AV750238;
C;005;6024066;5;20251229 01:06;1/1321236;
D;005;6024066;5;20251229 01:06;P;;;;;;
D;005;6024066;5;20251229 01:06;V;;;;;;
B;005;6010653;6;20251229 01:06;;;10;CORA WAY;CHISHOLM;2322;520.9;M;20251120;20251219;485000;R1;V;VACANT LAND;;AAB;;;AV749894;
C;005;6010653;6;20251229 01:06;9221/1300847;
D;005;6010653;6;20251229 01:06;P;;;;;;
D;005;6010653;6;20251229 01:06;P;;;;;;
D;005;6010653;6;20251229 01:06;V;;;;;;
B;005;6034221;7;20251229 01:06;;7;28;MITCHELL DR;EAST MAITLAND;2323;123;M;20240912;20251222;638000;;3;COMMERCIAL;7;;;;AV755841;
C;005;6034221;7;20251229 01:06;7/SP110601;
