A;RTSALEDATA;164;20251222 01:09;VALNET;
B;164;3445710;1;20251222 01:09;;;3;IBIS CT;NAMBUCCA HEADS;2448;488.4;M;20251126;20251215;650000;R1;R;RESIDENCE;;ANH;;;AV716083;
C;164;3445710;1;20251222 01:09;11/1134592;
D;164;3445710;1;20251222 01:09;P;;;;;;
D;164;3445710;1;20251222 01:09;P;;;;;;
D;164;3445710;1;20251222 01:09;V;;;;;;
D;164;3445710;1;20251222 01:09;V;;;;;;
B;164;6013771;2;20251222 01:09;;;37;JANGGAL JANGGAL RD;NAMBUCCA HEADS;2448;648.8;M;20251204;20251215;309000;R1;R;RESIDENCE;;ANH;;;AV716857;
C;164;6013771;2;20251222 01:09;110/1310374;
D;164;6013771;2;20251222 01:09;P;;;;;;
D;164;6013771;2;20251222 01:09;P;;;;;;
D;164;6013771;2;20251222 01:09;V;;;;;;
B;164;6013772;3;20251222 01:09;;;39;JANGGAL JANGGAL RD;NAMBUCCA HEADS;2448;646.2;M;20251128;20251215;309000;R1;R;RESIDENCE;;ANH;;;AV716560;
C;164;6013772;3;20251222 01:09;111/1310374;
D;164;6013772;3;20251222 01:09;P;;;;;;
D;164;6013772;3;20251222 01:09;P;;;;;;
D;164;6013772;3;20251222 01:09;V;;;;;;
B;164;6013774;4;20251222 01:09;;;43;JANGGAL JANGGAL RD;NAMBUCCA HEADS;2448;697.6;M;20251211;20251216;310000;R1;V;VACANT LAND;;ANH;;;AV725801;
C;164;6013774;4;20251222 01:09;113/1310374;
D;164;6013774;4;20251222 01:09;P;;;;;;
D;164;6013774;4;20251222 01:09;P;;;;;;
D;164;6013774;4;20251222 01:09;V;;;;;;
B;164;6031671;5;20251222 01:09;;;65 C;WALLACE ST;MACKSVILLE;2447;613.8;M;20250820;20251212;350000;R1;V;VACANT LAND;;AAE;;;AV709220;
C;164;6031671;5;20251222 01:09;13/1322344;
D;164;6031671;5;20251222 01:09;P;;;;;;
D;164;6031671;5;20251222 01:09;V;;;;;;
D;164;6031671;5;20251222 01:09;V;;;;;;
B;164;2981201;6;20251222 01:09;;;1;WAUGH AVE;NAMBUCCA HEADS;2448;556.4;M;20251105;20251217;750000;R1;R;RESIDENCE;;ANH;;;AV726971;
C;164;2981201;6;20251222 01:09;5/243551;
D;164;2981201;6;20251222 01:09;P;;;;;;
D;164;2981201;6;20251222 01:09;V;;;;;;
D;164;2981201;6;20251222 01:09;V;;;;;;
B;164;3112886;7;20251222 01:09;;;;WILSON RD;CONGARINNI NORTH;2447;59.62;H;20251127;20251217;433333;RU2;V;VACANT LAND;;RCD;;;AV731896;
C;164;3112886;7;20251222 01:09;3, 4, 5, 11/250668 2/580619;
D;164;3112886;7;20251222 01:09;P;;;;;;
D;164;3112886;7;20251222 01:09;V;;;;;;
D;164;3112886;7;20251222 01:09;V;;;;;;
D;164;3112886;7;20251222 01:09;V;;;;;;
B;164;4526444;8;20251222 01:09;;;;JOEY PL;CONGARINNI;2447;3.07;H;20251208;20251216;465000;R5;R;RESIDENCE;;ARC;;;AV721545;
C;164;4526444;8;20251222 01:09;2/1299354;
D;164;4526444;8;20251222 01:09;P;;;;;;
D;164;4526444;8;20251222 01:09;V;;;;;;
D;164;4526444;8;20251222 01:09;V;;;;;;
B;164;4611805;9;20251222 01:09;;;85;JANGGAL JANGGAL RD;NAMBUCCA HEADS;2448;629.1;M;20251119;20251217;317500;R1;V;VACANT LAND;;ANH;;;AV729533;
C;164;4611805;9;20251222 01:09;124/1310200;
D;164;4611805;9;20251222 01:09;P;;;;;;
D;164;4611805;9;20251222 01:09;V;;;;;;
B;164;4611820;10;20251222 01:09;;;11;NGAARRI CT;NAMBUCCA HEADS;2448;526.1;M;20251210;20251217;275000;R1;V;VACANT LAND;;ANH;;;AV729490;
C;164;4611820;10;20251222 01:09;139/1310200;
D;164;4611820;10;20251222 01:09;P;;;;;;
D;164;4611820;10;20251222 01:09;P;;;;;;
D;164;4611820;10;20251222 01:09;V;;;;;;
B;164;4611825;11;20251222 01:09;;;2;NGAARRI CT;NAMBUCCA HEADS;2448;502;M;20251201;20251217;290000;R1;V;VACANT LAND;;ANH;;;AV731234;
C;164;4611825;11;20251222 01:09;144/1310200;
D;164;4611825;11;20251222 01:09;P;;;;;;
D;164;4611825;11;20251222 01:09;V;;;;;;
B;164;4611826;12;20251222 01:09;;;112;JANGGAL JANGGAL RD;NAMBUCCA HEADS;2448;501.1;M;20251120;20251215;310000;R1;R;RESIDENCE;;ANH;;;AV716580;
C;164;4611826;12;20251222 01:09;145/1310200;
D;164;4611826;12;20251222 01:09;P;;;;;;
D;164;4611826;12;20251222 01:09;P;;;;;;
D;164;4611826;12;20251222 01:09;V;;;;;;
B;164;4611834;13;20251222 01:09;;;96;JANGGAL JANGGAL RD;NAMBUCCA HEADS;2448;609.7;M;20251127;20251217;320000;R1;V;VACANT LAND;;ANH;;;AV732163;
C;164;4611834;13;20251222 01:09;153/1310200;
D;164;4611834;13;20251222 01:09;P;;;;;;
D;164;4611834;13;20251222 01:09;P;;;;;;
D;164;4611834;13;20251222 01:09;V;;;;;;
B;164;1797474;14;20251222 01:09;;;27;NELSON ST;NAMBUCCA HEADS;2448;619.7;M;20251127;20251217;466667;R1;R;RESIDENCE;;ANH;;;AV732198;
C;164;1797474;14;20251222 01:09;11/508767;
D;164;1797474;14;20251222 01:09;P;;;;;;
D;164;1797474;14;20251222 01:09;V;;;;;;
D;164;1797474;14;20251222 01:09;V;;;;;;
D;164;1797474;14;20251222 01:09;V;;;;;;
B;164;1800807;15;20251222 01:09;;;307;MCHUGHS CREEK RD;SOUTH ARM;2449;80.96;H;20251126;20251218;482000;RU2;V;VACANT LAND;;RWF;;;AV733703;
C;164;1800807;15;20251222 01:09;2/574525;
D;164;1800807;15;20251222 01:09;P;;;;;;
D;164;1800807;15;20251222 01:09;P;;;;;;
D;164;1800807;15;20251222 01:09;V;;;;;;
B;164;1800856;16;20251222 01:09;;;173;LEMANS RD;YARRANBELLA;2447;20.25;H;20251105;20251217;900000;RU2;R;RESIDENCE;;RCD;;;AV729627;
C;164;1800856;16;20251222 01:09;2/716709;
D;164;1800856;16;20251222 01:09;P;;;;;;
D;164;1800856;16;20251222 01:09;P;;;;;;
D;164;1800856;16;20251222 01:09;V;;;;;;
B;164;1798117;17;20251222 01:09;;9;3;RUTLAND ST;NAMBUCCA HEADS;2448;;;20251103;20251215;549000;;R;RESIDENCE;10;;;;AV717011;
C;164;1798117;17;20251222 01:09;10/SP45585;
D;164;1798117;17;20251222 01:09;P;;;;;;
D;164;1798117;17;20251222 01:09;V;;;;;;
B;164;1798117;18;20251222 01:09;;6;3;RUTLAND ST;NAMBUCCA HEADS;2448;;;20251107;20251212;599000;;R;RESIDENCE;13;;;;AV712231;
C;164;1798117;18;20251222 01:09;13/SP50268;
D;164;1798117;18;20251222 01:09;P;;;;;;
D;164;1798117;18;20251222 01:09;P;;;;;;
D;164;1798117;18;20251222 01:09;V;;;;;;
D;164;1798117;18;20251222 01:09;V;;;;;;
B;164;1798212;19;20251222 01:09;;;54;SEAVIEW ST;NAMBUCCA HEADS;2448;632.3;M;20251113;20251218;735000;R1;R;RESIDENCE;;ANH;;;AV736557;
C;164;1798212;19;20251222 01:09;28/22770;
D;164;1798212;19;20251222 01:09;P;;;;;;
D;164;1798212;19;20251222 01:09;P;;;;;;
D;164;1798212;19;20251222 01:09;V;;;;;;
B;164;1798372;20;20251222 01:09;;;12;STRINGER ST;NAMBUCCA HEADS;2448;594;M;20251027;20251217;550000;R1;R;RESIDENCE;;ANH;;;AV730470;
C;164;1798372;20;20251222 01:09;130/262445;
D;164;1798372;20;20251222 01:09;P;;;;;;
D;164;1798372;20;20251222 01:09;V;;;;;;
B;164;1793113;21;20251222 01:09;;;11;YOUNG ST;BOWRAVILLE;2449;684.6;M;20251114;20251217;540000;RU5;R;RESIDENCE;;VBW;;;AV729474;
C;164;1793113;21;20251222 01:09;102/618066;
D;164;1793113;21;20251222 01:09;P;;;;;;
D;164;1793113;21;20251222 01:09;V;;;;;;
B;164;1795794;22;20251222 01:09;;;17;ALEXANDRA DR;NAMBUCCA HEADS;2448;874.1;M;20251112;20251212;860000;R1;R;RESIDENCE;;ANH;;;AV711071;
C;164;1795794;22;20251222 01:09;2/867138;
D;164;1795794;22;20251222 01:09;P;;;;;;
D;164;1795794;22;20251222 01:09;P;;;;;;
D;164;1795794;22;20251222 01:09;V;;;;;;
D;164;1795794;22;20251222 01:09;V;;;;;;
B;164;1798501;23;20251222 01:09;;;31;SHORT ST;NAMBUCCA HEADS;2448;531.1;M;20251113;20251215;695000;R3;R;RESIDENCE;;ACD;;;AV716509;
