A;RTSALEDATA;529;20251222 01:12;VALNET;
B;529;3440266;1;20251222 01:12;;;14;FIFE PL;GOULBURN;2580;1133;M;20251104;20251216;577500;E3;V;VACANT LAND;;GBS;;;AV721507;
C;529;3440266;1;20251222 01:12;16/1135523;
D;529;3440266;1;20251222 01:12;P;;;;;;
D;529;3440266;1;20251222 01:12;V;;;;;;
B;529;4227779;2;20251222 01:12;;;4;ASTON MARTIN DR;GOULBURN;2580;725;M;20251030;20251215;330000;R2;V;VACANT LAND;;GAP;;;AV715282;
C;529;4227779;2;20251222 01:12;120/1250044;
D;529;4227779;2;20251222 01:12;P;;;;;;
D;529;4227779;2;20251222 01:12;V;;;;;;
B;529;6032754;3;20251222 01:12;;;29;KAVANAGH ST;GOULBURN;2580;403.6;M;20231201;20251218;674000;;R;RESIDENCE;;;;;AV734075;
C;529;6032754;3;20251222 01:12;1/1305039;
D;529;6032754;3;20251222 01:12;P;;;;;;
D;529;6032754;3;20251222 01:12;V;;;;;;
B;529;6028038;4;20251222 01:12;;2;28;BONNEVILLE BVD;GOULBURN;2580;350;M;20251023;20251216;700000;R2;R;RESIDENCE;;GAP;;;AV724960;
C;529;6028038;4;20251222 01:12;1/1320191;
D;529;6028038;4;20251222 01:12;P;;;;;;
D;529;6028038;4;20251222 01:12;V;;;;;;
D;529;6028038;4;20251222 01:12;V;;;;;;
D;529;6028038;4;20251222 01:12;V;;;;;;
B;529;6028039;5;20251222 01:12;;1;28;BONNEVILLE BVD;GOULBURN;2580;0;M;20251024;20251216;700000;R2;R;RESIDENCE;;GAP;;;AV724247;
C;529;6028039;5;20251222 01:12;2/1320191;
D;529;6028039;5;20251222 01:12;P;;;;;;
D;529;6028039;5;20251222 01:12;P;;;;;;
D;529;6028039;5;20251222 01:12;V;;;;;;
D;529;6028039;5;20251222 01:12;V;;;;;;
D;529;6028039;5;20251222 01:12;V;;;;;;
B;529;430143;6;20251222 01:12;;;103;ALBERT ST;GOULBURN;2580;626;M;20251031;20251212;640000;R1;R;RESIDENCE;;GAC;;;AV710011;
C;529;430143;6;20251222 01:12;1/236794;
D;529;430143;6;20251222 01:12;P;;;;;;
D;529;430143;6;20251222 01:12;V;;;;;;
D;529;430143;6;20251222 01:12;V;;;;;;
B;529;430656;7;20251222 01:12;;;50;AVOCA ST;GOULBURN;2580;671;M;20251107;20251216;535000;R1;R;RESIDENCE;;GAX;;;AV721850;
C;529;430656;7;20251222 01:12;25/3/928963;
D;529;430656;7;20251222 01:12;P;;;;;;
D;529;430656;7;20251222 01:12;V;;;;;;
B;529;432979;8;20251222 01:12;;;57;ELEANOR ST;GOULBURN;2580;1012;M;20251107;20251212;850000;R2;R;RESIDENCE;;GAE;;;AV707404;
C;529;432979;8;20251222 01:12;1/196579;
D;529;432979;8;20251222 01:12;P;;;;;;
D;529;432979;8;20251222 01:12;V;;;;;;
D;529;432979;8;20251222 01:12;V;;;;;;
B;529;430865;9;20251222 01:12;;;5;BETTS ST;GOULBURN;2580;366.7;M;20251017;20251216;600000;R1;R;RESIDENCE;;GAG;;;AV724705;
C;529;430865;9;20251222 01:12;8/14001;
D;529;430865;9;20251222 01:12;P;;;;;;
D;529;430865;9;20251222 01:12;V;;;;;;
D;529;430865;9;20251222 01:12;V;;;;;;
B;529;433181;10;20251222 01:12;;;7;ERITH ST;GOULBURN;2580;259.2;M;20250104;20251216;522500;R1;R;RESIDENCE;;GAC;;;AV721510;
