A;RTSALEDATA;303;20251222 01:12;VALNET;
B;303;2904663;1;20251222 01:12;;;15;KING PARROT PDE;GULMARRAD;2463;4000;M;20251120;20251218;720000;R5;R;RESIDENCE;;JVV;;;AV736110;
C;303;2904663;1;20251222 01:12;42/1040474;
D;303;2904663;1;20251222 01:12;P;;;;;;
D;303;2904663;1;20251222 01:12;P;;;;;;
D;303;2904663;1;20251222 01:12;V;;;;;;
D;303;2904663;1;20251222 01:12;V;;;;;;
B;303;2900250;2;20251222 01:12;;;348;JAMES CREEK RD;JAMES CREEK;2463;5032;M;20251021;20251212;1060000;R5;R;RESIDENCE;;JVV;;;AV707791;
C;303;2900250;2;20251222 01:12;111/1038788;
D;303;2900250;2;20251222 01:12;P;;;;;;
D;303;2900250;2;20251222 01:12;V;;;;;;
B;303;3404645;3;20251222 01:12;;;167;YAMBA RD;YAMBA;2464;402.4;M;20251112;20251212;645000;R2;R;RESIDENCE;;AHH;;;AV707311;
C;303;3404645;3;20251222 01:12;1/1129682;
D;303;3404645;3;20251222 01:12;P;;;;;;
D;303;3404645;3;20251222 01:12;V;;;;;;
B;303;6033002;4;20251222 01:12;;2;14;GUNDAROO CRES;ILUKA;2466;371;M;20251029;20251215;880000;;R;RESIDENCE;2;;;;AV714829;
C;303;6033002;4;20251222 01:12;2/SP110082;
D;303;6033002;4;20251222 01:12;P;;;;;;
D;303;6033002;4;20251222 01:12;V;;;;;;
B;303;6033795;5;20251222 01:12;;;645;FRANKLINS RD;CALAMIA;2460;143.177;H;20251104;20251212;1120000;;3;FARM;;;;;AV713232;
C;303;6033795;5;20251222 01:12;11, 29, 66, 74/751358 1/1233914;
D;303;6033795;5;20251222 01:12;P;;;;;;
D;303;6033795;5;20251222 01:12;V;;;;;;
B;303;1720061;6;20251222 01:12;;;368;DOBIE ST;GRAFTON;2460;894.2;M;20251124;20251218;570000;R1;R;RESIDENCE;;EBB;;;AV733811;
C;303;1720061;6;20251222 01:12;16/789626;
D;303;1720061;6;20251222 01:12;P;;;;;;
D;303;1720061;6;20251222 01:12;P;;;;;;
D;303;1720061;6;20251222 01:12;V;;;;;;
B;303;1720316;7;20251222 01:12;;;13;EGGINS ST;GRAFTON;2460;600.7;M;20251022;20251217;585000;R1;R;RESIDENCE;;EBB;;;AV727259;
C;303;1720316;7;20251222 01:12;24, 25/238523;
D;303;1720316;7;20251222 01:12;P;;;;;;
D;303;1720316;7;20251222 01:12;V;;;;;;
B;303;1723220;8;20251222 01:12;;;132;POWELL ST;GRAFTON;2460;536.2;M;20251119;20251218;585000;R1;R;RESIDENCE;;EBB;;;AV735895;
C;303;1723220;8;20251222 01:12;23/745945;
D;303;1723220;8;20251222 01:12;P;;;;;;
D;303;1723220;8;20251222 01:12;P;;;;;;
D;303;1723220;8;20251222 01:12;V;;;;;;
D;303;1723220;8;20251222 01:12;V;;;;;;
B;303;1720649;9;20251222 01:12;;;55;FITZROY ST;GRAFTON;2460;809.4;M;20251114;20251215;1350000;E2;3;COMMERCIAL;;ECB;;;AV716048;
C;303;1720649;9;20251222 01:12;55/1104699;
D;303;1720649;9;20251222 01:12;P;;;;;;
D;303;1720649;9;20251222 01:12;P;;;;;;
D;303;1720649;9;20251222 01:12;V;;;;;;
B;303;1723484;10;20251222 01:12;;12;215;PRINCE ST;GRAFTON;2460;;;20251106;20251217;160000;;R;RESIDENCE;12;;;;AV732242;
C;303;1723484;10;20251222 01:12;12/SP62712;
D;303;1723484;10;20251222 01:12;P;;;;;;
D;303;1723484;10;20251222 01:12;V;;;;;;
B;303;1723599;11;20251222 01:12;;;14;QUEEN ST;GRAFTON;2460;539.48;M;20251114;20251218;445000;E2;R;RESIDENCE;;ECB;;;AV735664;
C;303;1723599;11;20251222 01:12;1/325259;
D;303;1723599;11;20251222 01:12;P;;;;;;
D;303;1723599;11;20251222 01:12;P;;;;;;
D;303;1723599;11;20251222 01:12;V;;;;;;
D;303;1723599;11;20251222 01:12;V;;;;;;
B;303;1718298;12;20251222 01:12;;;191;ARTHUR ST;GRAFTON;2460;569.1;M;20251202;20251218;655000;R1;R;RESIDENCE;;EBB;;;AV734783;
C;303;1718298;12;20251222 01:12;5/233289;
D;303;1718298;12;20251222 01:12;P;;;;;;
D;303;1718298;12;20251222 01:12;P;;;;;;
D;303;1718298;12;20251222 01:12;V;;;;;;
B;303;1718448;13;20251222 01:12;;;241;BACON ST;GRAFTON;2460;537.5;M;20251119;20251217;535000;R1;R;RESIDENCE;;EBB;;;AV728446;
C;303;1718448;13;20251222 01:12;2/501995;
D;303;1718448;13;20251222 01:12;P;;;;;;
D;303;1718448;13;20251222 01:12;P;;;;;;
D;303;1718448;13;20251222 01:12;V;;;;;;
D;303;1718448;13;20251222 01:12;V;;;;;;
B;303;1718502;14;20251222 01:12;;;103;BACON ST;GRAFTON;2460;488.2;M;20251120;20251216;560000;E2;3;COMMERCIAL;;ECB;;;AV722051;
C;303;1718502;14;20251222 01:12;1/996515;
D;303;1718502;14;20251222 01:12;P;;;;;;
D;303;1718502;14;20251222 01:12;V;;;;;;
B;303;1724148;15;20251222 01:12;;;285;RYAN ST;SOUTH GRAFTON;2460;1720;M;20251210;20251218;355000;R1;R;RESIDENCE;;ANN;;;AV738925;
C;303;1724148;15;20251222 01:12;8C/159766;
D;303;1724148;15;20251222 01:12;P;;;;;;
D;303;1724148;15;20251222 01:12;P;;;;;;
D;303;1724148;15;20251222 01:12;V;;;;;;
B;303;1721499;16;20251222 01:12;;;68;KELLY ST;SOUTH GRAFTON;2460;625.3;M;20251119;20251212;278000;R1;R;RESIDENCE;;ADD;;;AV707215;
C;303;1721499;16;20251222 01:12;52/866660;
D;303;1721499;16;20251222 01:12;P;;;;;;
D;303;1721499;16;20251222 01:12;P;;;;;;
D;303;1721499;16;20251222 01:12;V;;;;;;
B;303;1716277;17;20251222 01:12;;;3;CROWN ST;COPMANHURST;2460;2510;M;20251128;20251217;220000;R2;V;VACANT LAND;;CYY;;;AV727544;
C;303;1716277;17;20251222 01:12;434/809898;
D;303;1716277;17;20251222 01:12;P;;;;;;
D;303;1716277;17;20251222 01:12;V;;;;;;
B;303;1719028;18;20251222 01:12;;;11;BLACKWOOD CL;GRAFTON;2460;736.1;M;20251119;20251217;785000;R1;R;RESIDENCE;;AAA;;;AV726848;
