A;RTSALEDATA;164;20251229 01:07;VALNET;
B;164;3019023;1;20251229 01:07;;;72;MARSHALL WAY;NAMBUCCA HEADS;2448;589.2;M;20251202;20251219;725000;R1;R;RESIDENCE;;ANH;;;AV746310;
C;164;3019023;1;20251229 01:07;104/1049874;
D;164;3019023;1;20251229 01:07;P;;;;;;
D;164;3019023;1;20251229 01:07;P;;;;;;
D;164;3019023;1;20251229 01:07;P;;;;;;
D;164;3019023;1;20251229 01:07;P;;;;;;
D;164;3019023;1;20251229 01:07;V;;;;;;
D;164;3019023;1;20251229 01:07;V;;;;;;
B;164;4188014;2;20251229 01:07;;;7;JAAWAN ST;MACKSVILLE;2447;710.4;M;20251121;20251224;845000;R1;R;RESIDENCE;;AAE;;;AV761467;
C;164;4188014;2;20251229 01:07;111/1250154;
D;164;4188014;2;20251229 01:07;P;;;;;;
D;164;4188014;2;20251229 01:07;V;;;;;;
D;164;4188014;2;20251229 01:07;V;;;;;;
B;164;4521178;3;20251229 01:07;;;56;JANGGAL JANGGAL RD;NAMBUCCA HEADS;2448;548.8;M;20251215;20251219;300000;R1;V;VACANT LAND;;ANH;;;AV744632;
C;164;4521178;3;20251229 01:07;95/1297248;
D;164;4521178;3;20251229 01:07;P;;;;;;
D;164;4521178;3;20251229 01:07;P;;;;;;
D;164;4521178;3;20251229 01:07;V;;;;;;
B;164;4611810;4;20251229 01:07;;;95;JANGGAL JANGGAL RD;NAMBUCCA HEADS;2448;589.7;M;20251015;20251219;305000;R1;R;RESIDENCE;;ANH;;;AV746148;
C;164;4611810;4;20251229 01:07;129/1310200;
D;164;4611810;4;20251229 01:07;P;;;;;;
D;164;4611810;4;20251229 01:07;P;;;;;;
D;164;4611810;4;20251229 01:07;V;;;;;;
B;164;1792917;5;20251229 01:07;;;26;COOK ST;BOWRAVILLE;2449;809.43;M;20251218;20251223;149000;RU5;R;RESIDENCE;;VBW;;;AV760016;
C;164;1792917;5;20251229 01:07;A/368056;
D;164;1792917;5;20251229 01:07;P;;;;;;
D;164;1792917;5;20251229 01:07;V;;;;;;
D;164;1792917;5;20251229 01:07;V;;;;;;
B;164;1794191;6;20251229 01:07;;;16;NAMBUCCA ST;MACKSVILLE;2447;645.1;M;20251118;20251219;610000;R1;R;RESIDENCE;;AAE;;;AV749923;
C;164;1794191;6;20251229 01:07;7/C/5358;
D;164;1794191;6;20251229 01:07;P;;;;;;
D;164;1794191;6;20251229 01:07;P;;;;;;
D;164;1794191;6;20251229 01:07;V;;;;;;
D;164;1794191;6;20251229 01:07;V;;;;;;
B;164;1799670;7;20251229 01:07;;;4;HIBISCUS DR;VALLA BEACH;2448;949.8;M;20251121;20251222;840000;R1;R;RESIDENCE;;AAL;;;AV754882;
C;164;1799670;7;20251229 01:07;22/255481;
D;164;1799670;7;20251229 01:07;P;;;;;;
D;164;1799670;7;20251229 01:07;V;;;;;;
B;164;4483986;8;20251229 01:07;;;;TWIN RDGE;CONGARINNI;2447;1.209;H;20251203;20251219;510000;R5;R;RESIDENCE;;ARC;;;AV741022;
C;164;4483986;8;20251229 01:07;21/1293552;
D;164;4483986;8;20251229 01:07;P;;;;;;
D;164;4483986;8;20251229 01:07;V;;;;;;
D;164;4483986;8;20251229 01:07;V;;;;;;
Z;45;8;8;27;
