A;RTSALEDATA;123;20251229 01:07;VALNET;
B;123;1265048;1;20251229 01:07;;;29;ROSS ST;OBERON;2787;518.5;M;20251212;20251219;295000;R1;R;RESIDENCE;;AOB;;;AV744935;
C;123;1265048;1;20251229 01:07;10/2418;
D;123;1265048;1;20251229 01:07;P;;;;;;
D;123;1265048;1;20251229 01:07;V;;;;;;
B;123;3690335;2;20251229 01:07;;;36;JENOLAN ST;OBERON;2787;910.1;M;20251121;20251219;820000;R1;R;RESIDENCE;;AOB;;;AV741433;
C;123;3690335;2;20251229 01:07;1/1183701;
D;123;3690335;2;20251229 01:07;P;;;;;;
D;123;3690335;2;20251229 01:07;V;;;;;;
Z;10;2;2;4;
