A;RTSALEDATA;109;20251229 01:07;VALNET;
B;109;1214378;1;20251229 01:07;;;16;BRUCE ST;CUMNOCK;2867;954.8;M;20251208;20251219;330000;RU5;R;RESIDENCE;;ZVF;;;AV742707;
C;109;1214378;1;20251229 01:07;B/387348;
D;109;1214378;1;20251229 01:07;P;;;;;;
D;109;1214378;1;20251229 01:07;V;;;;;;
B;109;1216520;2;20251229 01:07;;;1;CAMP ST;EUGOWRA;2806;2023;M;20251126;20251219;550000;RU5;R;RESIDENCE;;ZVE;;;AV745724;
C;109;1216520;2;20251229 01:07;5, 6/18A/758396;
D;109;1216520;2;20251229 01:07;P;;;;;;
D;109;1216520;2;20251229 01:07;V;;;;;;
D;109;1216520;2;20251229 01:07;V;;;;;;
B;109;3638197;3;20251229 01:07;;;71;JASON ST;MOLONG;2866;4264;M;20251201;20251219;790000;R5;R;RESIDENCE;;RRA;;;AV741326;
C;109;3638197;3;20251229 01:07;105/1175408;
D;109;3638197;3;20251229 01:07;P;;;;;;
D;109;3638197;3;20251229 01:07;P;;;;;;
D;109;3638197;3;20251229 01:07;V;;;;;;
B;109;4272266;4;20251229 01:07;;;16 A;WADDELL ST;CANOWINDRA;2804;684.7;M;20251126;20251222;100000;R1;V;VACANT LAND;;ZNC;;;AV755837;
C;109;4272266;4;20251229 01:07;2/1260686;
D;109;4272266;4;20251229 01:07;P;;;;;;
D;109;4272266;4;20251229 01:07;V;;;;;;
D;109;4272266;4;20251229 01:07;V;;;;;;
Z;21;4;4;11;
