A;RTSALEDATA;117;20251222 01:09;VALNET;
B;117;1247643;1;20251222 01:09;;;145;FARNELL ST;FORBES;2871;825.1;M;20251120;20251215;565000;R1;R;RESIDENCE;;AAA;;;AV718983;
C;117;1247643;1;20251222 01:09;14/835295;
D;117;1247643;1;20251222 01:09;P;;;;;;
D;117;1247643;1;20251222 01:09;P;;;;;;
D;117;1247643;1;20251222 01:09;V;;;;;;
B;117;1248263;2;20251222 01:09;;;20;HILL ST;FORBES;2871;1012;M;20251202;20251217;250000;C3;R;RESIDENCE;;REM;;;AV728372;
C;117;1248263;2;20251222 01:09;5A/57/758418;
D;117;1248263;2;20251222 01:09;P;;;;;;
D;117;1248263;2;20251222 01:09;P;;;;;;
D;117;1248263;2;20251222 01:09;P;;;;;;
D;117;1248263;2;20251222 01:09;P;;;;;;
D;117;1248263;2;20251222 01:09;V;;;;;;
B;117;1248317;3;20251222 01:09;;;32;JACARANDA ST;FORBES;2871;657.3;M;20251031;20251212;580000;R1;R;RESIDENCE;;AAA;;;AV710897;
C;117;1248317;3;20251222 01:09;11/847150;
D;117;1248317;3;20251222 01:09;P;;;;;;
D;117;1248317;3;20251222 01:09;P;;;;;;
D;117;1248317;3;20251222 01:09;V;;;;;;
B;117;1248326;4;20251222 01:09;;;2;JOHN GIRDHAM PL;FORBES;2871;837.9;M;20251008;20251218;640000;R1;R;RESIDENCE;;AAC;;;AV735395;
C;117;1248326;4;20251222 01:09;21/859871;
D;117;1248326;4;20251222 01:09;P;;;;;;
D;117;1248326;4;20251222 01:09;P;;;;;;
D;117;1248326;4;20251222 01:09;V;;;;;;
D;117;1248326;4;20251222 01:09;V;;;;;;
B;117;1248346;5;20251222 01:09;;;48;JOHNSON ST;FORBES;2871;1132;M;20251106;20251218;460000;R1;R;RESIDENCE;;AAA;;;AV736034;
C;117;1248346;5;20251222 01:09;1/205573;
D;117;1248346;5;20251222 01:09;P;;;;;;
D;117;1248346;5;20251222 01:09;V;;;;;;
B;117;1248402;6;20251222 01:09;;;13;JUNCTION ST;FORBES;2871;1846;M;20251113;20251216;134520;MU1;V;VACANT LAND;;FMU;;;AV722069;
C;117;1248402;6;20251222 01:09;1/538708;
D;117;1248402;6;20251222 01:09;P;;;;;;
D;117;1248402;6;20251222 01:09;V;;;;;;
D;117;1248402;6;20251222 01:09;V;;;;;;
B;117;1248713;7;20251222 01:09;;;39;OXFORD ST;FORBES;2871;1290;M;20251204;20251218;945000;R1;R;RESIDENCE;;AAB;;;AV737388;
C;117;1248713;7;20251222 01:09;1/353077;
D;117;1248713;7;20251222 01:09;P;;;;;;
D;117;1248713;7;20251222 01:09;P;;;;;;
D;117;1248713;7;20251222 01:09;V;;;;;;
B;117;1248936;8;20251222 01:09;;;62;QUARRY RD;FORBES;2871;1147;M;20251121;20251217;575000;R1;R;RESIDENCE;;AAC;;;AV729092;
C;117;1248936;8;20251222 01:09;1/247743;
D;117;1248936;8;20251222 01:09;P;;;;;;
D;117;1248936;8;20251222 01:09;V;;;;;;
D;117;1248936;8;20251222 01:09;V;;;;;;
B;117;1246800;9;20251222 01:09;;;8;BLUE GUM ST;FORBES;2871;828.4;M;20251111;20251212;605000;R1;R;RESIDENCE;;AAA;;;AV708373;
C;117;1246800;9;20251222 01:09;26/247738;
D;117;1246800;9;20251222 01:09;P;;;;;;
D;117;1246800;9;20251222 01:09;P;;;;;;
D;117;1246800;9;20251222 01:09;V;;;;;;
B;117;1249570;10;20251222 01:09;;;47;UNION ST;FORBES;2871;1012;M;20251114;20251216;125000;E4;V;VACANT LAND;;IFB;;;AV726370;
C;117;1249570;10;20251222 01:09;5/1080782;
D;117;1249570;10;20251222 01:09;P;;;;;;
D;117;1249570;10;20251222 01:09;V;;;;;;
B;117;6019878;11;20251222 01:09;;;5;LOWER MORTON ST;FORBES;2871;4474;M;20251205;20251217;36546;R1;V;VACANT LAND;;AEL;;;AV729467;
C;117;6019878;11;20251222 01:09;65/1320512;
D;117;6019878;11;20251222 01:09;P;;;;;;
D;117;6019878;11;20251222 01:09;V;;;;;;
D;117;6019878;11;20251222 01:09;V;;;;;;
B;117;3028397;12;20251222 01:09;;;63;QUARRY RD;FORBES;2871;1150;M;20251031;20251212;660000;R1;R;RESIDENCE;;AAC;;;AV707225;
C;117;3028397;12;20251222 01:09;140/1056583;
D;117;3028397;12;20251222 01:09;P;;;;;;
D;117;3028397;12;20251222 01:09;V;;;;;;
D;117;3028397;12;20251222 01:09;V;;;;;;
B;117;4573561;13;20251222 01:09;;;2;OLYMPIC ST;FORBES;2871;748;M;20251111;20251218;178500;R1;V;VACANT LAND;;AAN;;;AV733696;
C;117;4573561;13;20251222 01:09;229/1301973;
D;117;4573561;13;20251222 01:09;P;;;;;;
D;117;4573561;13;20251222 01:09;V;;;;;;
B;117;3156852;14;20251222 01:09;ROSEGLEN;;;MACKEYS CREEK RD;EUGOWRA;2806;663.98;H;20251128;20251217;5675000;RU1;3;FARM;;RMR;;;AV730381;
C;117;3156852;14;20251222 01:09;4, 5/239621 9, 10, 11, 12, 13/239622 1/243371 7/251612 1/344000 16, 17;
C;117;3156852;14;20251222 01:09;, 18, 103, 121, 122, 164/750157 11/1030387 23/1076248;
D;117;3156852;14;20251222 01:09;P;;;;;;
D;117;3156852;14;20251222 01:09;P;;;;;;
D;117;3156852;14;20251222 01:09;V;;;;;;
D;117;3156852;14;20251222 01:09;V;;;;;;
Z;74;14;15;43;
