A;RTSALEDATA;266;20251229 01:09;VALNET;
B;266;414348;1;20251229 01:09;;;64;ALLANAN ST;YOUNG;2594;2049;M;20251110;20251219;1275000;SP2;R;RESIDENCE;;YRZ;;;AV751165;
C;266;414348;1;20251229 01:09;1/517380;
D;266;414348;1;20251229 01:09;P;;;;;;
D;266;414348;1;20251229 01:09;P;;;;;;
D;266;414348;1;20251229 01:09;V;;;;;;
D;266;414348;1;20251229 01:09;V;;;;;;
B;266;414364;2;20251229 01:09;;;8;JIM ANDERSON AVE;YOUNG;2594;950;M;20251117;20251219;790000;R1;R;RESIDENCE;;YAA;;;AV745105;
C;266;414364;2;20251229 01:09;37/778084;
D;266;414364;2;20251229 01:09;P;;;;;;
D;266;414364;2;20251229 01:09;V;;;;;;
D;266;414364;2;20251229 01:09;V;;;;;;
B;266;417227;3;20251229 01:09;;;11;WATSON ST;YOUNG;2594;2972;M;20251119;20251222;865000;R1;R;RESIDENCE;;YAB;;;AV755815;
C;266;417227;3;20251229 01:09;20/598999;
D;266;417227;3;20251229 01:09;P;;;;;;
D;266;417227;3;20251229 01:09;P;;;;;;
D;266;417227;3;20251229 01:09;V;;;;;;
D;266;417227;3;20251229 01:09;V;;;;;;
B;266;417472;4;20251229 01:09;;;122;WILLIAM ST;YOUNG;2594;1011;M;20251128;20251222;380000;R1;R;RESIDENCE;;YAB;;;AV752916;
C;266;417472;4;20251229 01:09;1/315727;
D;266;417472;4;20251229 01:09;P;;;;;;
D;266;417472;4;20251229 01:09;V;;;;;;
B;266;417480;5;20251229 01:09;;;134;WILLIAM ST;YOUNG;2594;1012;M;20251127;20251219;345000;R1;R;RESIDENCE;;YAB;;;AV748385;
C;266;417480;5;20251229 01:09;14/31/759144;
D;266;417480;5;20251229 01:09;P;;;;;;
D;266;417480;5;20251229 01:09;P;;;;;;
D;266;417480;5;20251229 01:09;V;;;;;;
D;266;417480;5;20251229 01:09;V;;;;;;
B;266;415020;6;20251229 01:09;;;62;CAMPBELL ST;YOUNG;2594;626;M;20251208;20251222;480000;R1;R;RESIDENCE;;YAC;;;AV753137;
C;266;415020;6;20251229 01:09;9/223114;
D;266;415020;6;20251229 01:09;P;;;;;;
D;266;415020;6;20251229 01:09;V;;;;;;
B;266;415074;7;20251229 01:09;;;33;CAPLE ST;YOUNG;2594;1163;M;20251201;20251219;736000;R1;R;RESIDENCE;;YAC;;;AV749199;
C;266;415074;7;20251229 01:09;20/50/759144;
D;266;415074;7;20251229 01:09;P;;;;;;
D;266;415074;7;20251229 01:09;P;;;;;;
D;266;415074;7;20251229 01:09;V;;;;;;
D;266;415074;7;20251229 01:09;V;;;;;;
B;266;417689;8;20251229 01:09;;;54;YASS ST;YOUNG;2594;758.8;M;20251127;20251219;459000;R1;R;RESIDENCE;;YAC;;;AV749190;
C;266;417689;8;20251229 01:09;1/536670;
D;266;417689;8;20251229 01:09;P;;;;;;
D;266;417689;8;20251229 01:09;P;;;;;;
D;266;417689;8;20251229 01:09;V;;;;;;
D;266;417689;8;20251229 01:09;V;;;;;;
B;266;415421;9;20251229 01:09;;;30;DWYER DR;YOUNG;2594;735;M;20251210;20251219;630000;R1;R;RESIDENCE;;YAD;;;AV742560;
C;266;415421;9;20251229 01:09;15/247083;
D;266;415421;9;20251229 01:09;P;;;;;;
D;266;415421;9;20251229 01:09;V;;;;;;
B;266;4200235;10;20251229 01:09;;;62;BRIAL ST;BOOROWA;2586;4097;M;20251211;20251219;565000;R1;R;RESIDENCE;;BAC;;;AV748511;
C;266;4200235;10;20251229 01:09;A/396416 15/1080205;
D;266;4200235;10;20251229 01:09;P;;;;;;
D;266;4200235;10;20251229 01:09;V;;;;;;
B;266;416115;11;20251229 01:09;;;1;LYNCH ST;YOUNG;2594;1012;M;20251025;20251219;690000;R1;R;RESIDENCE;;YAB;;;AV742112;
C;266;416115;11;20251229 01:09;A/324105;
D;266;416115;11;20251229 01:09;P;;;;;;
D;266;416115;11;20251229 01:09;V;;;;;;
D;266;416115;11;20251229 01:09;V;;;;;;
B;266;451954;12;20251229 01:09;;;10;QUEEN ST;MURRUMBURRAH;2587;714.5;M;20251215;20251222;190000;R1;R;RESIDENCE;;HAA;;;AV755684;
C;266;451954;12;20251229 01:09;24/31876;
D;266;451954;12;20251229 01:09;P;;;;;;
D;266;451954;12;20251229 01:09;V;;;;;;
