A;RTSALEDATA;274;20251229 01:09;VALNET;
B;274;2991477;1;20251229 01:09;;;14;WHITTY ST;TALBINGO;2720;1861;M;20251211;20251219;599000;RU5;R;RESIDENCE;;VTB;;;AV748402;
C;274;2991477;1;20251229 01:09;38/1053148;
D;274;2991477;1;20251229 01:09;P;;;;;;
D;274;2991477;1;20251229 01:09;V;;;;;;
D;274;2991477;1;20251229 01:09;V;;;;;;
B;274;554624;2;20251229 01:09;;;99;LOCKHART ST;ADELONG;2729;1012;M;20251212;20251223;320000;RU5;R;RESIDENCE;;VAD;;;AV756502;
C;274;554624;2;20251229 01:09;10/21/758009;
D;274;554624;2;20251229 01:09;P;;;;;;
D;274;554624;2;20251229 01:09;V;;;;;;
D;274;554624;2;20251229 01:09;V;;;;;;
B;274;554848;3;20251229 01:09;;;4;TRAVERS ST;ADELONG;2729;1005;M;20251210;20251222;535000;RU5;R;RESIDENCE;;VAD;;;AV753575;
C;274;554848;3;20251229 01:09;8/29/758009;
D;274;554848;3;20251229 01:09;P;;;;;;
D;274;554848;3;20251229 01:09;P;;;;;;
D;274;554848;3;20251229 01:09;V;;;;;;
B;274;557873;4;20251229 01:09;;;7;CEDAR CRES;TUMUT;2720;800.5;M;20251124;20251219;505000;R2;R;RESIDENCE;;RTF;;;AV749276;
C;274;557873;4;20251229 01:09;9/261524;
D;274;557873;4;20251229 01:09;P;;;;;;
D;274;557873;4;20251229 01:09;V;;;;;;
B;274;558435;5;20251229 01:09;;;;HERBERT ST;TUMUT;2720;8039;M;20251208;20251219;81496;R2;V;VACANT LAND;;RTE;;;AV746857;
C;274;558435;5;20251229 01:09;10/857035;
D;274;558435;5;20251229 01:09;P;;;;;;
D;274;558435;5;20251229 01:09;V;;;;;;
B;274;556174;6;20251229 01:09;;;158;EAST GILMORE RD;GILMORE;2720;30.02;H;20251202;20251219;1050000;RU1;3;FARM;;HUT;;;AV742515;
C;274;556174;6;20251229 01:09;67/849395;
D;274;556174;6;20251229 01:09;P;;;;;;
D;274;556174;6;20251229 01:09;P;;;;;;
D;274;556174;6;20251229 01:09;V;;;;;;
B;274;558917;7;20251229 01:09;;;;MCALISTER ST;TUMUT;2720;3998;M;20251208;20251219;40504;R2;V;VACANT LAND;;RTE;;;AV746855;
C;274;558917;7;20251229 01:09;4/846854;
D;274;558917;7;20251229 01:09;P;;;;;;
D;274;558917;7;20251229 01:09;V;;;;;;
D;274;558917;7;20251229 01:09;V;;;;;;
B;274;553683;8;20251229 01:09;;;59;ALBURY ST;TUMBARUMBA;2653;803;M;20251209;20251219;460000;R1;R;RESIDENCE;;RT1;;;AV744163;
C;274;553683;8;20251229 01:09;6/7902;
D;274;553683;8;20251229 01:09;P;;;;;;
D;274;553683;8;20251229 01:09;P;;;;;;
D;274;553683;8;20251229 01:09;V;;;;;;
D;274;553683;8;20251229 01:09;V;;;;;;
B;274;557076;9;20251229 01:09;;;5;CLAYTON ST;TALBINGO;2720;695.6;M;20251201;20251222;460000;RU5;R;RESIDENCE;;VTB;;;AV753363;
C;274;557076;9;20251229 01:09;54/238760;
D;274;557076;9;20251229 01:09;P;;;;;;
D;274;557076;9;20251229 01:09;P;;;;;;
D;274;557076;9;20251229 01:09;V;;;;;;
B;274;3690199;10;20251229 01:09;;;309;WESTBROOK RD;TARADALE;2653;216.59;H;20251219;20251219;48500;RU1;3;FARM;;GRC;;;AV750795;
C;274;3690199;10;20251229 01:09;102/740194 66/757230 1/1173280;
D;274;3690199;10;20251229 01:09;P;;;;;;
D;274;3690199;10;20251229 01:09;V;;;;;;
D;274;3690199;10;20251229 01:09;V;;;;;;
B;274;3826440;11;20251229 01:09;;;321;MOUNT GARLAND RD;TOOMA;2642;1.45;H;20251203;20251222;450000;RU1;R;RESIDENCE;;HUS;;;AV755547;
C;274;3826440;11;20251229 01:09;1/1203378;
D;274;3826440;11;20251229 01:09;P;;;;;;
D;274;3826440;11;20251229 01:09;P;;;;;;
D;274;3826440;11;20251229 01:09;V;;;;;;
D;274;3826440;11;20251229 01:09;V;;;;;;
D;274;3826440;11;20251229 01:09;V;;;;;;
D;274;3826440;11;20251229 01:09;V;;;;;;
Z;59;11;11;35;
