A;RTSALEDATA;222;20251229 01:08;VALNET;
B;222;2466871;1;20251229 01:08;;;351;MAIN ST;LITHGOW;2790;588.1;M;20251203;20251219;800000;MU1;R;RESIDENCE;;MUL;;;AV743966;
C;222;2466871;1;20251229 01:08;1/23637;
D;222;2466871;1;20251229 01:08;P;;;;;;
D;222;2466871;1;20251229 01:08;V;;;;;;
B;222;2469524;2;20251229 01:08;;;81;PARK VIEW AVE;PORTLAND;2847;2.074;H;20251104;20251219;1100000;R5;R;RESIDENCE;;APL;;;AV749515;
C;222;2469524;2;20251229 01:08;18/858869;
D;222;2469524;2;20251229 01:08;P;;;;;;
D;222;2469524;2;20251229 01:08;V;;;;;;
B;222;2466944;3;20251229 01:08;;;14;MAPLE CRES;LITHGOW;2790;885.2;M;20251114;20251219;825000;R1;R;RESIDENCE;;ACE;;;AV743248;
C;222;2466944;3;20251229 01:08;75/240220;
D;222;2466944;3;20251229 01:08;P;;;;;;
D;222;2466944;3;20251229 01:08;V;;;;;;
D;222;2466944;3;20251229 01:08;V;;;;;;
B;222;2467201;4;20251229 01:08;;;225;MORT ST;LITHGOW;2790;480.564;M;20251126;20251219;615500;R1;R;RESIDENCE;;ACE;;;AV746491;
C;222;2467201;4;20251229 01:08;1/1095701;
D;222;2467201;4;20251229 01:08;P;;;;;;
D;222;2467201;4;20251229 01:08;V;;;;;;
B;222;2467355;5;20251229 01:08;;;41;MUSKET PDE;LITHGOW;2790;717.3;M;20251110;20251219;560000;R1;R;RESIDENCE;;AAA;;;AV744907;
C;222;2467355;5;20251229 01:08;2/607624;
D;222;2467355;5;20251229 01:08;P;;;;;;
D;222;2467355;5;20251229 01:08;V;;;;;;
D;222;2467355;5;20251229 01:08;V;;;;;;
B;222;2470376;6;20251229 01:08;;;19;VALE ST;PORTLAND;2847;607;M;20251126;20251219;650000;E1;R;RESIDENCE;;EPC;;;AV746319;
C;222;2470376;6;20251229 01:08;1/324209;
D;222;2470376;6;20251229 01:08;P;;;;;;
D;222;2470376;6;20251229 01:08;V;;;;;;
B;222;2465541;7;20251229 01:08;;;4;HASSANS WALLS RD;LITHGOW;2790;569.1;M;20251119;20251219;500000;R1;R;RESIDENCE;;AAA;;;AV743291;
C;222;2465541;7;20251229 01:08;A/362462;
D;222;2465541;7;20251229 01:08;P;;;;;;
D;222;2465541;7;20251229 01:08;V;;;;;;
B;222;2468709;8;20251229 01:08;;;35;WRIGHTS RD;LITHGOW;2790;860;M;20251121;20251219;525000;R1;R;RESIDENCE;;AAA;;;AV750555;
C;222;2468709;8;20251229 01:08;72/8229;
D;222;2468709;8;20251229 01:08;P;;;;;;
D;222;2468709;8;20251229 01:08;V;;;;;;
D;222;2468709;8;20251229 01:08;V;;;;;;
B;222;2841905;9;20251229 01:08;;;15;BUSBY ST;MCKELLARS PARK;2790;977.2;M;20251114;20251219;425000;R1;R;RESIDENCE;;AAF;;;AV747492;
C;222;2841905;9;20251229 01:08;4/1029892;
D;222;2841905;9;20251229 01:08;P;;;;;;
D;222;2841905;9;20251229 01:08;P;;;;;;
D;222;2841905;9;20251229 01:08;V;;;;;;
D;222;2841905;9;20251229 01:08;V;;;;;;
B;222;2918858;10;20251229 01:08;;;4;AMBER GR;SOUTH BOWENFELS;2790;1370;M;20251204;20251219;265000;R2;R;RESIDENCE;;AAS;;;AV741519;
C;222;2918858;10;20251229 01:08;1/1041700;
D;222;2918858;10;20251229 01:08;P;;;;;;
D;222;2918858;10;20251229 01:08;V;;;;;;
B;222;3147378;11;20251229 01:08;;;1 A;CAMERON PL;BOWENFELS;2790;1033;M;20251110;20251224;275000;R2;R;RESIDENCE;;AAS;;;AV761350;
C;222;3147378;11;20251229 01:08;201/1076055;
D;222;3147378;11;20251229 01:08;P;;;;;;
D;222;3147378;11;20251229 01:08;P;;;;;;
D;222;3147378;11;20251229 01:08;V;;;;;;
B;222;3620940;12;20251229 01:08;;2;4;HILL ST;LITHGOW;2790;;;20251121;20251219;375000;;R;RESIDENCE;2;;;;AV746392;
C;222;3620940;12;20251229 01:08;2/SP86219;
D;222;3620940;12;20251229 01:08;P;;;;;;
D;222;3620940;12;20251229 01:08;V;;;;;;
D;222;3620940;12;20251229 01:08;V;;;;;;
B;222;2820960;13;20251229 01:08;;;440;MCKANES FALLS RD;SOUTH BOWENFELS;2790;109.03;H;20251107;20251219;800000;RU2;V;VACANT LAND;;SLS;;;AV744860;
C;222;2820960;13;20251229 01:08;14/859637;
D;222;2820960;13;20251229 01:08;P;;;;;;
D;222;2820960;13;20251229 01:08;V;;;;;;
D;222;2820960;13;20251229 01:08;V;;;;;;
Z;62;13;13;34;
