A;RTSALEDATA;231;20251222 01:10;VALNET;
B;231;2608034;1;20251222 01:10;;;30;UNGARIE ST;UNGARIE;2669;957.2;M;20251113;20251211;15000;RU5;R;RESIDENCE;;VUG;;;AV701447;
C;231;2608034;1;20251222 01:10;42/607473;
D;231;2608034;1;20251222 01:10;P;;;;;;
D;231;2608034;1;20251222 01:10;V;;;;;;
B;231;2608056;2;20251222 01:10;;;11;WOLLONGOUGH ST;UNGARIE;2669;1252;M;20251113;20251211;24000;RU5;R;RESIDENCE;;VUG;;;AV701588;
C;231;2608056;2;20251222 01:10;4/11806;
D;231;2608056;2;20251222 01:10;P;;;;;;
D;231;2608056;2;20251222 01:10;P;;;;;;
D;231;2608056;2;20251222 01:10;V;;;;;;
B;231;2608760;3;20251222 01:10;;;8;ACACIA ST;WEST WYALONG;2671;1124;M;20251105;20251212;469000;R1;R;RESIDENCE;;WWN;;;AV708894;
C;231;2608760;3;20251222 01:10;1/792048;
D;231;2608760;3;20251222 01:10;P;;;;;;
D;231;2608760;3;20251222 01:10;V;;;;;;
B;231;2608778;4;20251222 01:10;;;11;BELAR ST;WEST WYALONG;2671;610.5;M;20251031;20251216;490000;R1;R;RESIDENCE;;WWN;;;AV721884;
C;231;2608778;4;20251222 01:10;1/849537;
D;231;2608778;4;20251222 01:10;P;;;;;;
D;231;2608778;4;20251222 01:10;V;;;;;;
D;231;2608778;4;20251222 01:10;V;;;;;;
B;231;2609334;5;20251222 01:10;;;143;MAIN ST;WEST WYALONG;2671;584.3;M;20251209;20251215;500000;E1;3;SHOP;;BWW;;;AV718746;
C;231;2609334;5;20251222 01:10;169, 170, 171, 172/132794;
D;231;2609334;5;20251222 01:10;P;;;;;;
D;231;2609334;5;20251222 01:10;V;;;;;;
B;231;2609513;6;20251222 01:10;;;30;MONASH ST;WEST WYALONG;2671;708.2;M;20251120;20251218;470000;R1;R;RESIDENCE;;WWN;;;AV736906;
C;231;2609513;6;20251222 01:10;A/35630;
D;231;2609513;6;20251222 01:10;P;;;;;;
D;231;2609513;6;20251222 01:10;V;;;;;;
B;231;2609695;7;20251222 01:10;;;3;HOWARD ST;WEST WYALONG;2671;905.2;M;20251118;20251212;480000;R1;R;RESIDENCE;;WWN;;;AV706635;
C;231;2609695;7;20251222 01:10;22/590922;
D;231;2609695;7;20251222 01:10;P;;;;;;
D;231;2609695;7;20251222 01:10;P;;;;;;
D;231;2609695;7;20251222 01:10;V;;;;;;
D;231;2609695;7;20251222 01:10;V;;;;;;
B;231;2609739;8;20251222 01:10;;;57;PARK ST;WEST WYALONG;2671;1012;M;20251126;20251217;340000;R1;R;RESIDENCE;;WWN;;;AV728091;
C;231;2609739;8;20251222 01:10;1012/753135;
D;231;2609739;8;20251222 01:10;P;;;;;;
D;231;2609739;8;20251222 01:10;V;;;;;;
B;231;3057056;9;20251222 01:10;;;33;CEDAR ST;WEST WYALONG;2671;1644;M;20251104;20251212;760000;R1;R;RESIDENCE;;WWS;;;AV707158;
C;231;3057056;9;20251222 01:10;1/1063096;
D;231;3057056;9;20251222 01:10;P;;;;;;
D;231;3057056;9;20251222 01:10;P;;;;;;
D;231;3057056;9;20251222 01:10;V;;;;;;
D;231;3057056;9;20251222 01:10;V;;;;;;
B;231;3605571;10;20251222 01:10;;;1;WOLLONGOUGH ST;UNGARIE;2669;2960;M;20251113;20251211;22500;RU5;V;VACANT LAND;;VUG;;;AV701470;
C;231;3605571;10;20251222 01:10;9, 10/C/8548;
D;231;3605571;10;20251222 01:10;P;;;;;;
D;231;3605571;10;20251222 01:10;V;;;;;;
B;231;3783459;11;20251222 01:10;;;20;LADY MARY DR;WEST WYALONG;2671;785.2;M;20251204;20251217;545000;R1;R;RESIDENCE;;WWS;;;AV730400;
C;231;3783459;11;20251222 01:10;38/1196971;
D;231;3783459;11;20251222 01:10;P;;;;;;
D;231;3783459;11;20251222 01:10;P;;;;;;
D;231;3783459;11;20251222 01:10;V;;;;;;
Z;53;11;11;29;
