A;RTSALEDATA;254;20251229 01:08;VALNET;
B;254;2684540;1;20251229 01:08;;;3;MACQUARIE DR;WARREN;2824;1151;M;20251103;20251219;425000;R1;R;RESIDENCE;;AAC;;;AV746567;
C;254;2684540;1;20251229 01:08;37/239880;
D;254;2684540;1;20251229 01:08;P;;;;;;
D;254;2684540;1;20251229 01:08;P;;;;;;
D;254;2684540;1;20251229 01:08;V;;;;;;
B;254;2684815;2;20251229 01:08;;;22;WILSON ST;WARREN;2824;804.2;M;20251202;20251219;420000;R1;R;RESIDENCE;;AAD;;;AV744255;
C;254;2684815;2;20251229 01:08;330/822424;
D;254;2684815;2;20251229 01:08;P;;;;;;
D;254;2684815;2;20251229 01:08;P;;;;;;
D;254;2684815;2;20251229 01:08;V;;;;;;
B;254;4411554;3;20251229 01:08;;;;GUNNEGALDRA RD;WARREN;2824;4.183;H;20251119;20251219;750000;R5;R;RESIDENCE;;RRA;;;AV748950;
C;254;4411554;3;20251229 01:08;2/1216294;
D;254;4411554;3;20251229 01:08;P;;;;;;
D;254;4411554;3;20251229 01:08;P;;;;;;
D;254;4411554;3;20251229 01:08;V;;;;;;
D;254;4411554;3;20251229 01:08;V;;;;;;
Z;18;3;3;10;
