A;RTSALEDATA;538;20251229 01:09;VALNET;
B;538;4052352;1;20251229 01:09;;;275;CASSIDYS RD;PUCAWAN;2666;382.9;H;20251204;20251218;51764951;RU1;3;FARM;;MFN;;;AV738320;
C;538;4052352;1;20251229 01:09;581/129714 27, 28, 31, 32, 83/750859;
D;538;4052352;1;20251229 01:09;P;;;;;;
D;538;4052352;1;20251229 01:09;V;;;;;;
B;538;4089693;2;20251229 01:09;;;6;FERGUSONS RD;SPRINGDALE;2666;216.95;H;20251204;20251218;51764951;RU1;3;FARM;;MFN;;;AV738320;
C;538;4089693;2;20251229 01:09;90/750592 16/1236221;
D;538;4089693;2;20251229 01:09;P;;;;;;
D;538;4089693;2;20251229 01:09;V;;;;;;
B;538;2693298;3;20251229 01:09;;;1328;GOLDFIELDS WAY;GIDGINBUNG;2666;129.5;H;20251204;20251218;51764951;RU1;3;FARM;;MFN;;;AV738320;
C;538;2693298;3;20251229 01:09;106/750621;
D;538;2693298;3;20251229 01:09;P;;;;;;
D;538;2693298;3;20251229 01:09;V;;;;;;
B;538;2692308;4;20251229 01:09;;;141;VICTORIA ST;TEMORA;2666;847.3;M;20251124;20251219;570000;R1;R;RESIDENCE;;CNT;;;AV746804;
C;538;2692308;4;20251229 01:09;2/332004;
D;538;2692308;4;20251229 01:09;P;;;;;;
D;538;2692308;4;20251229 01:09;P;;;;;;
D;538;2692308;4;20251229 01:09;V;;;;;;
B;538;2692885;5;20251229 01:09;;;23;COOLAMON ST;ARIAH PARK;2665;1037;M;20251201;20251219;330000;RU5;R;RESIDENCE;;VAP;;;AV745069;
C;538;2692885;5;20251229 01:09;11/13604;
D;538;2692885;5;20251229 01:09;P;;;;;;
D;538;2692885;5;20251229 01:09;P;;;;;;
D;538;2692885;5;20251229 01:09;V;;;;;;
B;538;2692972;6;20251229 01:09;;;104;COOLAMON ST;ARIAH PARK;2665;1.343;H;20251204;20251223;340000;RU5;R;RESIDENCE;;VAP;;;AV756648;
C;538;2692972;6;20251229 01:09;1/859421;
D;538;2692972;6;20251229 01:09;P;;;;;;
D;538;2692972;6;20251229 01:09;V;;;;;;
D;538;2692972;6;20251229 01:09;V;;;;;;
Z;29;6;6;15;
