A;RTSALEDATA;144;20251222 01:09;VALNET;
B;144;1582044;1;20251222 01:09;;;44;ELOUERA RD;CRONULLA;2230;645;M;20251125;20251215;3151000;R3;R;RESIDENCE;;SRC;;;AV716380;
C;144;1582044;1;20251222 01:09;6/11648;
D;144;1582044;1;20251222 01:09;P;;;;;;
D;144;1582044;1;20251222 01:09;V;;;;;;
B;144;1593041;2;20251222 01:09;;;40;HAWKESBURY ESP;SYLVANIA WATERS;2224;556.4;M;20251024;20251212;2150000;R2;R;RESIDENCE;;HSW;;;AV709408;
C;144;1593041;2;20251222 01:09;669/238579;
D;144;1593041;2;20251222 01:09;P;;;;;;
D;144;1593041;2;20251222 01:09;P;;;;;;
D;144;1593041;2;20251222 01:09;V;;;;;;
B;144;1576969;3;20251222 01:09;;;1;COX PL;GYMEA;2227;562.8;M;20251114;20251212;1896000;R2;R;RESIDENCE;;HEA;;;AV711925;
C;144;1576969;3;20251222 01:09;17/217413;
D;144;1576969;3;20251222 01:09;P;;;;;;
D;144;1576969;3;20251222 01:09;P;;;;;;
D;144;1576969;3;20251222 01:09;V;;;;;;
D;144;1576969;3;20251222 01:09;V;;;;;;
B;144;1582409;4;20251222 01:09;;23;1;ENDEAVOUR RD;CARINGBAH;2229;;;20251121;20251216;1350000;;3;FACTORY;23;;;;AV725141;
C;144;1582409;4;20251222 01:09;23/SP36288;
D;144;1582409;4;20251222 01:09;P;;;;;;
D;144;1582409;4;20251222 01:09;V;;;;;;
B;144;1582450;5;20251222 01:09;;32;1 A;ENDEAVOUR RD;CARINGBAH;2229;;;20251128;20251218;1120000;;R;RESIDENCE;32;;;;AV735096;
C;144;1582450;5;20251222 01:09;32/SP40764;
D;144;1582450;5;20251222 01:09;P;;;;;;
D;144;1582450;5;20251222 01:09;V;;;;;;
D;144;1582450;5;20251222 01:09;V;;;;;;
B;144;1577265;6;20251222 01:09;;;27;CREMONA RD;COMO;2226;533.5;M;20251017;20251215;1825000;C4;R;RESIDENCE;;COC;;;AV719701;
C;144;1577265;6;20251222 01:09;4/787192;
D;144;1577265;6;20251222 01:09;P;;;;;;
D;144;1577265;6;20251222 01:09;P;;;;;;
D;144;1577265;6;20251222 01:09;V;;;;;;
D;144;1577265;6;20251222 01:09;V;;;;;;
B;144;1577352;7;20251222 01:09;;;12 B;CRESCENT RD;CARINGBAH SOUTH;2229;;;20251101;20251215;1720000;;R;RESIDENCE;2;;;;AV714793;
C;144;1577352;7;20251222 01:09;2/SP63058;
D;144;1577352;7;20251222 01:09;P;;;;;;
D;144;1577352;7;20251222 01:09;V;;;;;;
B;144;1590774;8;20251222 01:09;;;26;GORE AVE;KIRRAWEE;2232;739.8;M;20251119;20251218;1953000;C4;R;RESIDENCE;;CKG;;;AV736742;
C;144;1590774;8;20251222 01:09;15/228680;
D;144;1590774;8;20251222 01:09;P;;;;;;
D;144;1590774;8;20251222 01:09;P;;;;;;
D;144;1590774;8;20251222 01:09;V;;;;;;
B;144;1596147;9;20251222 01:09;;;7;JIRI PL;ENGADINE;2233;600.7;M;20251022;20251212;1659000;R2;R;RESIDENCE;;HEN;;;AV709370;
C;144;1596147;9;20251222 01:09;5/221965;
D;144;1596147;9;20251222 01:09;P;;;;;;
D;144;1596147;9;20251222 01:09;V;;;;;;
B;144;1591006;10;20251222 01:09;;5;10;GOSPORT ST;CRONULLA;2230;;;20251002;20251212;1090000;;R;RESIDENCE;5;;;;AV712154;
C;144;1591006;10;20251222 01:09;5/SP10931;
D;144;1591006;10;20251222 01:09;P;;;;;;
D;144;1591006;10;20251222 01:09;V;;;;;;
D;144;1591006;10;20251222 01:09;V;;;;;;
B;144;1591088;11;20251222 01:09;;;5;GOWRIE ST;CRONULLA;2230;600.7;M;20251021;20251212;5900000;C4;R;RESIDENCE;;CAG;;;AV709515;
C;144;1591088;11;20251222 01:09;26/10823;
D;144;1591088;11;20251222 01:09;P;;;;;;
D;144;1591088;11;20251222 01:09;P;;;;;;
D;144;1591088;11;20251222 01:09;V;;;;;;
D;144;1591088;11;20251222 01:09;V;;;;;;
B;144;1593909;12;20251222 01:09;;4;171;HOLT RD;TAREN POINT;2229;;;20250920;20251212;928000;;R;RESIDENCE;4;;;;AV709666;
C;144;1593909;12;20251222 01:09;4/SP32065;
D;144;1593909;12;20251222 01:09;P;;;;;;
D;144;1593909;12;20251222 01:09;V;;;;;;
B;144;1596608;13;20251222 01:09;;;51;JUVENIS AVE;OYSTER BAY;2225;1316.9;M;20250520;20250818;3800000;C3;R;RESIDENCE;;CFJ;;;AV341780;
C;144;1596608;13;20251222 01:09;4/20101 Licence 489601;
D;144;1596608;13;20251222 01:09;P;;;;;;
D;144;1596608;13;20251222 01:09;V;;;;;;
B;144;1596820;14;20251222 01:09;;;31;KANGAROO POINT RD;KANGAROO POINT;2224;1005.7;M;20251030;20251212;3600000;C3;R;RESIDENCE;;CFE;;;AV709972;
C;144;1596820;14;20251222 01:09;7/11338 Licence 508909;
D;144;1596820;14;20251222 01:09;P;;;;;;
D;144;1596820;14;20251222 01:09;P;;;;;;
D;144;1596820;14;20251222 01:09;V;;;;;;
D;144;1596820;14;20251222 01:09;V;;;;;;
B;144;1583527;15;20251222 01:09;;;84;ETON ST;SUTHERLAND;2232;556.4;M;20251017;20251212;1810000;R2;R;RESIDENCE;;HST;;;AV709280;
C;144;1583527;15;20251222 01:09;10/219953;
D;144;1583527;15;20251222 01:09;P;;;;;;
D;144;1583527;15;20251222 01:09;V;;;;;;
D;144;1583527;15;20251222 01:09;V;;;;;;
D;144;1583527;15;20251222 01:09;V;;;;;;
B;144;1578273;16;20251222 01:09;;1;6;CURTIS ST;CARINGBAH;2229;;;20251121;20251212;786000;;R;RESIDENCE;1;;;;AV709044;
C;144;1578273;16;20251222 01:09;1/SP35616;
D;144;1578273;16;20251222 01:09;P;;;;;;
D;144;1578273;16;20251222 01:09;V;;;;;;
B;144;1589120;17;20251222 01:09;;16;31;GERRALE ST;CRONULLA;2230;;;20251028;20251217;1270000;;R;RESIDENCE;45;;;;AV731294;
C;144;1589120;17;20251222 01:09;45/SP22491;
D;144;1589120;17;20251222 01:09;P;;;;;;
