A;RTSALEDATA;258;20251222 01:11;VALNET;
B;258;2779688;1;20251222 01:11;;8;82;SHERWOOD ST;REVESBY;2212;232;M;20251128;20251212;525000;;R;RESIDENCE;8;;;;AV707122;
C;258;2779688;1;20251222 01:11;8/SP66857;
D;258;2779688;1;20251222 01:11;P;;;;;;
D;258;2779688;1;20251222 01:11;P;;;;;;
D;258;2779688;1;20251222 01:11;V;;;;;;
D;258;2779688;1;20251222 01:11;V;;;;;;
B;258;2886965;2;20251222 01:11;;16;338;CANTERBURY RD;CANTERBURY;2193;;;20251105;20251217;1200000;;R;RESIDENCE;16;;;;AV729147;
C;258;2886965;2;20251222 01:11;16/SP66774;
D;258;2886965;2;20251222 01:11;P;;;;;;
D;258;2886965;2;20251222 01:11;P;;;;;;
D;258;2886965;2;20251222 01:11;V;;;;;;
B;258;2976116;3;20251222 01:11;;;9 A;FRANK ST;MOUNT LEWIS;2190;303.8;M;20250924;20251218;1280000;R2;R;RESIDENCE;;EKB;;;AV740281;
C;258;2976116;3;20251222 01:11;2/1050613;
D;258;2976116;3;20251222 01:11;P;;;;;;
D;258;2976116;3;20251222 01:11;P;;;;;;
D;258;2976116;3;20251222 01:11;V;;;;;;
D;258;2976116;3;20251222 01:11;V;;;;;;
B;258;2971711;4;20251222 01:11;;4;24;GREENFIELD PDE;BANKSTOWN;2200;;;20251106;20251218;1530000;;R;RESIDENCE;4;;;;AV738617;
C;258;2971711;4;20251222 01:11;4/SP69442;
D;258;2971711;4;20251222 01:11;P;;;;;;
D;258;2971711;4;20251222 01:11;V;;;;;;
B;258;4161317;5;20251222 01:11;;1;27;PERCY ST;BANKSTOWN;2200;124;M;20251031;20251215;657000;;R;RESIDENCE;1;;;;AV719008;
C;258;4161317;5;20251222 01:11;1/SP93861;
D;258;4161317;5;20251222 01:11;P;;;;;;
D;258;4161317;5;20251222 01:11;V;;;;;;
B;258;4180081;6;20251222 01:11;;206;211;CANTERBURY RD;CANTERBURY;2193;108;M;20251110;20251217;730000;;R;RESIDENCE;19;;;;AV732085;
C;258;4180081;6;20251222 01:11;19/SP96685;
D;258;4180081;6;20251222 01:11;P;;;;;;
D;258;4180081;6;20251222 01:11;P;;;;;;
D;258;4180081;6;20251222 01:11;V;;;;;;
B;258;4219316;7;20251222 01:11;;106;42;HILLCREST ST;PUNCHBOWL;2196;81;M;20251105;20251212;524000;;R;RESIDENCE;12;;;;AV709362;
C;258;4219316;7;20251222 01:11;12/SP99668;
D;258;4219316;7;20251222 01:11;P;;;;;;
D;258;4219316;7;20251222 01:11;V;;;;;;
B;258;6028885;8;20251222 01:11;;;9 B;YVONNE CRES;GEORGES HALL;2198;302.1;M;20250903;20251212;2065000;R2;R;RESIDENCE;;WLB;;;AV710625;
C;258;6028885;8;20251222 01:11;1/1318543;
D;258;6028885;8;20251222 01:11;P;;;;;;
D;258;6028885;8;20251222 01:11;P;;;;;;
D;258;6028885;8;20251222 01:11;V;;;;;;
