A;RTSALEDATA;620;20251222 01:12;VALNET;
B;620;1255722;1;20251222 01:12;;;101;MADEIRA RD;MUDGEE;2850;1086;M;20251014;20251215;859000;R1;R;RESIDENCE;;AAC;;;AV716275;
C;620;1255722;1;20251222 01:12;48/710324;
D;620;1255722;1;20251222 01:12;P;;;;;;
D;620;1255722;1;20251222 01:12;P;;;;;;
D;620;1255722;1;20251222 01:12;V;;;;;;
D;620;1255722;1;20251222 01:12;V;;;;;;
B;620;1255818;2;20251222 01:12;;;174;MARKET ST;MUDGEE;2850;663.9;M;20251103;20251215;670000;R1;R;RESIDENCE;;AAF;;;AV718985;
C;620;1255818;2;20251222 01:12;13/230260;
D;620;1255818;2;20251222 01:12;P;;;;;;
D;620;1255818;2;20251222 01:12;V;;;;;;
B;620;1253662;3;20251222 01:12;;;1 A;BURRUNDULLA AVE;MUDGEE;2850;632.3;M;20251106;20251218;800000;R1;R;RESIDENCE;;AAI;;;AV735325;
C;620;1253662;3;20251222 01:12;23/557038;
D;620;1253662;3;20251222 01:12;P;;;;;;
D;620;1253662;3;20251222 01:12;P;;;;;;
D;620;1253662;3;20251222 01:12;V;;;;;;
D;620;1253662;3;20251222 01:12;V;;;;;;
B;620;1254031;4;20251222 01:12;;;7;CLARENDON PL;MUDGEE;2850;1597;M;20251127;20251212;955000;R1;R;RESIDENCE;;AAI;;;AV710393;
C;620;1254031;4;20251222 01:12;12/248092;
D;620;1254031;4;20251222 01:12;P;;;;;;
D;620;1254031;4;20251222 01:12;P;;;;;;
D;620;1254031;4;20251222 01:12;V;;;;;;
D;620;1254031;4;20251222 01:12;V;;;;;;
B;620;1257817;5;20251222 01:12;;;12;CHESTNUT CL;PUTTA BUCCA;2850;4788;M;20251112;20251217;1275000;R2;R;RESIDENCE;;LDM;;;AV729543;
C;620;1257817;5;20251222 01:12;6/863443;
D;620;1257817;5;20251222 01:12;P;;;;;;
D;620;1257817;5;20251222 01:12;P;;;;;;
D;620;1257817;5;20251222 01:12;V;;;;;;
D;620;1257817;5;20251222 01:12;V;;;;;;
B;620;1258060;6;20251222 01:12;;;122;DRIP LANE;COOYAL;2850;10.14;H;20251202;20251218;930000;R5;R;RESIDENCE;;RRB;;;AV738909;
C;620;1258060;6;20251222 01:12;4/568917;
D;620;1258060;6;20251222 01:12;P;;;;;;
D;620;1258060;6;20251222 01:12;P;;;;;;
D;620;1258060;6;20251222 01:12;V;;;;;;
D;620;1258060;6;20251222 01:12;V;;;;;;
B;620;1256219;7;20251222 01:12;;6;151;MORTIMER ST;MUDGEE;2850;247;M;20251114;20251217;495000;;R;RESIDENCE;6;;;;AV730308;
C;620;1256219;7;20251222 01:12;6/SP41779;
D;620;1256219;7;20251222 01:12;P;;;;;;
D;620;1256219;7;20251222 01:12;P;;;;;;
D;620;1256219;7;20251222 01:12;V;;;;;;
D;620;1256219;7;20251222 01:12;V;;;;;;
B;620;1260860;8;20251222 01:12;;;281;SPRING FLAT RD;SPRING FLAT;2850;9.232;H;20250904;20251218;1600000;RU4;R;RESIDENCE;;RHM;;;AV735922;
C;620;1260860;8;20251222 01:12;1/995377;
D;620;1260860;8;20251222 01:12;P;;;;;;
D;620;1260860;8;20251222 01:12;P;;;;;;
D;620;1260860;8;20251222 01:12;V;;;;;;
D;620;1260860;8;20251222 01:12;V;;;;;;
B;620;1261106;9;20251222 01:12;;;52;DEPOT RD;MUDGEE;2850;3720;M;20251204;20251218;1550000;E4;3;WAREHOUSE;;EIM;;;AV737349;
C;620;1261106;9;20251222 01:12;3/731165;
D;620;1261106;9;20251222 01:12;P;;;;;;
D;620;1261106;9;20251222 01:12;V;;;;;;
B;620;1258555;10;20251222 01:12;;;1190;BLACK SPRINGS RD;ST FILLANS;2850;10.12;H;20251031;20251212;1535000;R5;R;RESIDENCE;;RRB;;;AV709679;
C;620;1258555;10;20251222 01:12;33/250349;
