A;RTSALEDATA;560;20251222 01:12;VALNET;
B;560;4196445;1;20251222 01:12;;;13;CADE CT;JINDERA;2642;912.4;M;20251117;20251215;819000;RU5;R;RESIDENCE;;VJA;;;AV716458;
C;560;4196445;1;20251222 01:12;7/1249885;
D;560;4196445;1;20251222 01:12;P;;;;;;
D;560;4196445;1;20251222 01:12;P;;;;;;
D;560;4196445;1;20251222 01:12;V;;;;;;
D;560;4196445;1;20251222 01:12;V;;;;;;
B;560;6016239;2;20251222 01:12;;;99;WALLA CEMETERY RD;WALLA WALLA;2659;60.57;H;20250701;20251212;1300000;RU1;3;FARM;;HRW;;;AV707270;
C;560;6016239;2;20251222 01:12;12/753764;
D;560;6016239;2;20251222 01:12;P;;;;;;
D;560;6016239;2;20251222 01:12;V;;;;;;
D;560;6016239;2;20251222 01:12;V;;;;;;
B;560;6033648;3;20251222 01:12;;;23;HUON ST;GEROGERY;2642;1.297;H;20251113;20251204;375000;;V;VACANT LAND;;;;;AV676853;
C;560;6033648;3;20251222 01:12;135/1275079;
D;560;6033648;3;20251222 01:12;P;;;;;;
D;560;6033648;3;20251222 01:12;V;;;;;;
D;560;6033648;3;20251222 01:12;V;;;;;;
B;560;520343;4;20251222 01:12;;;10;MACBEAN ST;CULCAIRN;2660;1012;M;20251128;20251218;280000;RU5;R;RESIDENCE;;VCA;;;AV734133;
C;560;520343;4;20251222 01:12;39/6/5886;
D;560;520343;4;20251222 01:12;P;;;;;;
D;560;520343;4;20251222 01:12;V;;;;;;
B;560;520345;5;20251222 01:12;;;6;MACBEAN ST;CULCAIRN;2660;954.8;M;20251030;20251215;350000;RU5;R;RESIDENCE;;VCA;;;AV716968;
C;560;520345;5;20251222 01:12;2/544797;
D;560;520345;5;20251222 01:12;P;;;;;;
D;560;520345;5;20251222 01:12;P;;;;;;
D;560;520345;5;20251222 01:12;V;;;;;;
D;560;520345;5;20251222 01:12;V;;;;;;
B;560;520678;6;20251222 01:12;;;1075;WALBUNDRIE RD;CULCAIRN;2660;92.84;H;20251007;20251218;1635000;RU1;R;RESIDENCE;;RNW;;;AV738955;
C;560;520678;6;20251222 01:12;2/838242;
D;560;520678;6;20251222 01:12;P;;;;;;
D;560;520678;6;20251222 01:12;P;;;;;;
D;560;520678;6;20251222 01:12;V;;;;;;
D;560;520678;6;20251222 01:12;V;;;;;;
B;560;3533229;7;20251222 01:12;;;49;URANA RD;BURRUMBUTTOCK;2642;2138;M;20251111;20251212;635000;RU5;R;RESIDENCE;;VBU;;;AV712011;
C;560;3533229;7;20251222 01:12;4/1150789;
D;560;3533229;7;20251222 01:12;P;;;;;;
D;560;3533229;7;20251222 01:12;P;;;;;;
D;560;3533229;7;20251222 01:12;V;;;;;;
D;560;3533229;7;20251222 01:12;V;;;;;;
B;560;3533230;8;20251222 01:12;;;51;URANA RD;BURRUMBUTTOCK;2642;1975;M;20251111;20251212;635000;RU5;R;RESIDENCE;;VBU;;;AV712011;
C;560;3533230;8;20251222 01:12;5/1150789;
D;560;3533230;8;20251222 01:12;P;;;;;;
D;560;3533230;8;20251222 01:12;P;;;;;;
D;560;3533230;8;20251222 01:12;V;;;;;;
D;560;3533230;8;20251222 01:12;V;;;;;;
B;560;3653540;9;20251222 01:12;;;;BROWNS RD;MOUNTAIN CREEK;2644;460.192;H;20250827;20251211;7000000;RU1;3;FARM;;RSC;;;AV705707;
C;560;3653540;9;20251222 01:12;6, 7, 8/252292 X, Y/409798 Enclosure Permit 647605;
D;560;3653540;9;20251222 01:12;P;;;;;;
D;560;3653540;9;20251222 01:12;V;;;;;;
B;560;4594321;10;20251222 01:12;;;20;KINVARA WAY;CULCAIRN;2660;1727;M;20251202;20251212;165000;RU5;R;RESIDENCE;;VCA;;;AV712776;
C;560;4594321;10;20251222 01:12;15/1306119;
D;560;4594321;10;20251222 01:12;P;;;;;;
D;560;4594321;10;20251222 01:12;P;;;;;;
D;560;4594321;10;20251222 01:12;V;;;;;;
B;560;531477;11;20251222 01:12;;;234;DRUMWOOD RD;JINDERA;2642;174.2;H;20251114;20251212;1200000;RU1;3;FARM;;RRW;;;AV709319;
C;560;531477;11;20251222 01:12;102/791421 Enclosure Permit 390063;
D;560;531477;11;20251222 01:12;P;;;;;;
D;560;531477;11;20251222 01:12;V;;;;;;
D;560;531477;11;20251222 01:12;V;;;;;;
B;560;531671;12;20251222 01:12;;;;SAWYER RD;JINDERA;2642;63.84;H;20251016;20251117;1500000;RU1;V;VACANT LAND;;HSX;;;AV618463;
C;560;531671;12;20251222 01:12;2/614656;
D;560;531671;12;20251222 01:12;P;;;;;;
D;560;531671;12;20251222 01:12;P;;;;;;
D;560;531671;12;20251222 01:12;V;;;;;;
D;560;531671;12;20251222 01:12;V;;;;;;
B;560;3178741;13;20251222 01:12;;;3120;OLYMPIC HWY;CULCAIRN;2660;4.047;H;20251208;20251218;320000;RU4;V;VACANT LAND;;FCA;;;AV735443;
C;560;3178741;13;20251222 01:12;4/7064;
D;560;3178741;13;20251222 01:12;P;;;;;;
D;560;3178741;13;20251222 01:12;V;;;;;;
D;560;3178741;13;20251222 01:12;V;;;;;;
B;560;3255089;14;20251222 01:12;;;7 A;MURRAY ST;HOLBROOK;2644;1012;M;20251202;20251217;442500;RU5;R;RESIDENCE;;VHA;;;AV729332;
C;560;3255089;14;20251222 01:12;51/1098158;
D;560;3255089;14;20251222 01:12;P;;;;;;
D;560;3255089;14;20251222 01:12;V;;;;;;
Z;75;14;14;45;
