A;RTSALEDATA;226;20251222 01:10;VALNET;
B;226;4149356;1;20251222 01:10;;;3;STANTON ST;THIRLMERE;2572;450.2;M;20251117;20251218;1050000;R2;R;RESIDENCE;;THI;;;AV735710;
C;226;4149356;1;20251222 01:10;217/1224298;
D;226;4149356;1;20251222 01:10;P;;;;;;
D;226;4149356;1;20251222 01:10;P;;;;;;
D;226;4149356;1;20251222 01:10;V;;;;;;
D;226;4149356;1;20251222 01:10;V;;;;;;
B;226;4200922;2;20251222 01:10;;;18;SWAINE DR;WILTON;2571;1011;M;20251027;20251216;1475000;R2;R;RESIDENCE;;WIL;;;AV726420;
C;226;4200922;2;20251222 01:10;22/1227311;
D;226;4200922;2;20251222 01:10;P;;;;;;
D;226;4200922;2;20251222 01:10;P;;;;;;
D;226;4200922;2;20251222 01:10;V;;;;;;
B;226;6007185;3;20251222 01:10;;;16;LEIGHAM HOLME WAY;TAHMOOR;2573;451.3;M;20251203;20251215;523000;R2;R;RESIDENCE;;TAE;;;AV720184;
C;226;6007185;3;20251222 01:10;31/1312259;
D;226;6007185;3;20251222 01:10;P;;;;;;
D;226;6007185;3;20251222 01:10;V;;;;;;
B;226;6020400;4;20251222 01:10;;;16;JOSEPH LANE;WILTON;2571;435;M;20251105;20251217;550000;UD;R;RESIDENCE;;WUR;;;AV731635;
C;226;6020400;4;20251222 01:10;1623/1298642;
D;226;6020400;4;20251222 01:10;P;;;;;;
D;226;6020400;4;20251222 01:10;P;;;;;;
D;226;6020400;4;20251222 01:10;V;;;;;;
D;226;6020400;4;20251222 01:10;V;;;;;;
B;226;6020415;5;20251222 01:10;;;27;HEWITT ST;WILTON;2571;392.2;M;20210708;20251217;304200;UD;V;VACANT LAND;;WUR;;;AV731260;
C;226;6020415;5;20251222 01:10;1638/1298642;
D;226;6020415;5;20251222 01:10;P;;;;;;
D;226;6020415;5;20251222 01:10;V;;;;;;
B;226;6020422;6;20251222 01:10;;;13;HEWITT ST;WILTON;2571;492.6;M;20220207;20251217;347100;UD;V;VACANT LAND;;WUR;;;AV731115;
C;226;6020422;6;20251222 01:10;1645/1298642;
D;226;6020422;6;20251222 01:10;P;;;;;;
D;226;6020422;6;20251222 01:10;V;;;;;;
B;226;6020436;7;20251222 01:10;;;1;IRENE LANE;WILTON;2571;292;M;20210713;20251217;259700;UD;V;VACANT LAND;;WUR;;;AV727984;
C;226;6020436;7;20251222 01:10;1657/1298642;
D;226;6020436;7;20251222 01:10;P;;;;;;
D;226;6020436;7;20251222 01:10;V;;;;;;
B;226;6006986;8;20251222 01:10;;;12;SARINA ST;SILVERDALE;2752;757.6;M;20251026;20251215;690000;R2;V;VACANT LAND;;SIL;;;AV715101;
C;226;6006986;8;20251222 01:10;117/1289469;
