A;RTSALEDATA;097;20251222 01:09;VALNET;
B;097;2903152;1;20251222 01:09;;213 A;202;BEACH RD;BATEHAVEN;2536;46;M;20251126;20251218;160000;;R;RESIDENCE;29;;;;AV739610;
C;097;2903152;1;20251222 01:09;29/SP67014;
D;097;2903152;1;20251222 01:09;P;;;;;;
D;097;2903152;1;20251222 01:09;V;;;;;;
B;097;2903152;2;20251222 01:09;;103;202;BEACH RD;BATEHAVEN;2536;84;M;20251120;20251215;275000;;R;RESIDENCE;3;;;;AV714530;
C;097;2903152;2;20251222 01:09;3/SP67014;
D;097;2903152;2;20251222 01:09;P;;;;;;
D;097;2903152;2;20251222 01:09;V;;;;;;
D;097;2903152;2;20251222 01:09;V;;;;;;
B;097;2903152;3;20251222 01:09;;214 A;202;BEACH RD;BATEHAVEN;2536;81;M;20251126;20251218;270000;;R;RESIDENCE;30;;;;AV736435;
C;097;2903152;3;20251222 01:09;30/SP67014;
D;097;2903152;3;20251222 01:09;P;;;;;;
D;097;2903152;3;20251222 01:09;V;;;;;;
B;097;2891446;4;20251222 01:09;;1;10;MARINE DR;NAROOMA;2546;;;20251118;20251216;937500;;R;RESIDENCE;1;;;;AV721574;
C;097;2891446;4;20251222 01:09;1/SP66621;
D;097;2891446;4;20251222 01:09;P;;;;;;
D;097;2891446;4;20251222 01:09;P;;;;;;
D;097;2891446;4;20251222 01:09;V;;;;;;
D;097;2891446;4;20251222 01:09;V;;;;;;
B;097;2871034;5;20251222 01:09;;;30;BLUEMOOR RD;NORTH BATEMANS BAY;2536;2.036;H;20251003;20251216;1240000;R5;R;RESIDENCE;;ERW;;;AV723257;
C;097;2871034;5;20251222 01:09;26/1035456;
D;097;2871034;5;20251222 01:09;P;;;;;;
D;097;2871034;5;20251222 01:09;V;;;;;;
D;097;2871034;5;20251222 01:09;V;;;;;;
B;097;999960;6;20251222 01:09;;1;304;BEACH RD;BATEHAVEN;2536;164;M;20251114;20251212;540000;;R;RESIDENCE;1;;;;AV708078;
C;097;999960;6;20251222 01:09;1/SP68207;
D;097;999960;6;20251222 01:09;P;;;;;;
D;097;999960;6;20251222 01:09;P;;;;;;
D;097;999960;6;20251222 01:09;V;;;;;;
B;097;3391503;7;20251222 01:09;;;52;WATERSON DR;SURF BEACH;2536;1.57;H;20251113;20251215;1285000;R5;R;RESIDENCE;;ERW;;;AV716512;
C;097;3391503;7;20251222 01:09;314/1127653;
D;097;3391503;7;20251222 01:09;P;;;;;;
D;097;3391503;7;20251222 01:09;V;;;;;;
B;097;4157836;8;20251222 01:09;;;112;FREYCINET DR;SUNSHINE BAY;2536;563.8;M;20251201;20251218;410000;R2;R;RESIDENCE;;ERF;;;AV737705;
C;097;4157836;8;20251222 01:09;220/1246378;
D;097;4157836;8;20251222 01:09;P;;;;;;
D;097;4157836;8;20251222 01:09;P;;;;;;
D;097;4157836;8;20251222 01:09;V;;;;;;
B;097;3569056;9;20251222 01:09;;;234;OLD MOSSY POINT RD;JEREMADRA;2536;2.407;H;20251023;20251212;1200000;RU1;R;RESIDENCE;;EUA;;;AV709065;
C;097;3569056;9;20251222 01:09;8/1160948;
D;097;3569056;9;20251222 01:09;P;;;;;;
D;097;3569056;9;20251222 01:09;P;;;;;;
D;097;3569056;9;20251222 01:09;V;;;;;;
B;097;4075017;10;20251222 01:09;;;2493;BELOWRA RD;BELOWRA;2545;504.81;H;20251202;20251218;1850000;RU1;3;FARM;;EUC;;;AV737792;
C;097;4075017;10;20251222 01:09;1, 2, 3/125570 8, 9, 14, 15, 18, 32, 35, 60, 61, 83/752128 50/880672;
D;097;4075017;10;20251222 01:09;P;;;;;;
D;097;4075017;10;20251222 01:09;V;;;;;;
B;097;4130240;11;20251222 01:09;;;11;KETTLE RD;LONG BEACH;2536;2.951;H;20251216;20251216;750000;C4;R;RESIDENCE;;ECB;;;AV725744;
C;097;4130240;11;20251222 01:09;2/1243878;
D;097;4130240;11;20251222 01:09;P;;;;;;
D;097;4130240;11;20251222 01:09;V;;;;;;
D;097;4130240;11;20251222 01:09;V;;;;;;
B;097;4504054;12;20251222 01:09;;;13;CORYMBIA PL;MALUA BAY;2536;1348;M;20251118;20251212;450000;R2;V;VACANT LAND;;ERH;;;AV710400;
C;097;4504054;12;20251222 01:09;31/1295896;
D;097;4504054;12;20251222 01:09;P;;;;;;
D;097;4504054;12;20251222 01:09;P;;;;;;
D;097;4504054;12;20251222 01:09;V;;;;;;
B;097;6007447;13;20251222 01:09;;;9;QUEEN ST;MORUYA;2537;552.5;M;20251121;20251217;355000;R2;R;RESIDENCE;;ERM;;;AV730793;
C;097;6007447;13;20251222 01:09;191/1301861;
D;097;6007447;13;20251222 01:09;P;;;;;;
D;097;6007447;13;20251222 01:09;V;;;;;;
D;097;6007447;13;20251222 01:09;V;;;;;;
B;097;4566417;14;20251222 01:09;;;4;ROSEDALE PDE;ROSEDALE;2536;1135;M;20251120;20251218;500000;C4;R;RESIDENCE;;ECA;;;AV737693;
C;097;4566417;14;20251222 01:09;2/1303318;
D;097;4566417;14;20251222 01:09;P;;;;;;
D;097;4566417;14;20251222 01:09;V;;;;;;
B;097;1000957;15;20251222 01:09;;;133;COUNTRY CLUB DR;CATALINA;2536;604.4;M;20251114;20251212;620000;R2;R;RESIDENCE;;ERD;;;AV706671;
C;097;1000957;15;20251222 01:09;639/249461;
D;097;1000957;15;20251222 01:09;P;;;;;;
D;097;1000957;15;20251222 01:09;V;;;;;;
B;097;1002171;16;20251222 01:09;;;30;HUME RD;SURF BEACH;2536;680.2;M;20251128;20251218;822000;R2;R;RESIDENCE;;ERG;;;AV734898;
C;097;1002171;16;20251222 01:09;110/262952;
D;097;1002171;16;20251222 01:09;P;;;;;;
D;097;1002171;16;20251222 01:09;P;;;;;;
D;097;1002171;16;20251222 01:09;V;;;;;;
D;097;1002171;16;20251222 01:09;V;;;;;;
B;097;1001271;17;20251222 01:09;;1;5;DRINNAN CL;SURF BEACH;2536;;;20251210;20251217;545000;;R;RESIDENCE;1;;;;AV731929;
C;097;1001271;17;20251222 01:09;1/SP35202;
D;097;1001271;17;20251222 01:09;P;;;;;;
D;097;1001271;17;20251222 01:09;P;;;;;;
D;097;1001271;17;20251222 01:09;V;;;;;;
