A;RTSALEDATA;254;20251222 01:10;VALNET;
B;254;2951335;1;20251222 01:10;;;20;TRANGIE ST;NEVERTIRE;2826;2024;M;20251020;20251215;205000;RU5;R;RESIDENCE;;ZZN;;;AV719205;
C;254;2951335;1;20251222 01:10;14, 15/10/758766;
D;254;2951335;1;20251222 01:10;P;;;;;;
D;254;2951335;1;20251222 01:10;V;;;;;;
D;254;2951335;1;20251222 01:10;V;;;;;;
B;254;2683288;2;20251222 01:10;;;68;BUNDEMAR ST;COLLIE;2827;4048;M;20251216;20251216;3750;RU5;V;VACANT LAND;;ZZD;;;AV722193;
C;254;2683288;2;20251222 01:10;7, 8, 9, 10/2/758264;
D;254;2683288;2;20251222 01:10;P;;;;;;
D;254;2683288;2;20251222 01:10;V;;;;;;
B;254;2683719;3;20251222 01:10;CHASECOTE;;;WARREN RD;BULLAGREEN;2824;930;H;20250624;20250909;2530000;RU1;3;FARM;;RGK;;;AV407303;
C;254;2683719;3;20251222 01:10;31/753470 Enclosure Permit 665150;
D;254;2683719;3;20251222 01:10;P;;;;;;
D;254;2683719;3;20251222 01:10;V;;;;;;
B;254;2683999;4;20251222 01:10;;;38;BUNDEMAR ST;WARREN;2824;1012;M;20251027;20251215;215000;R1;R;RESIDENCE;;AAD;;;AV717715;
C;254;2683999;4;20251222 01:10;26/13/759056;
D;254;2683999;4;20251222 01:10;P;;;;;;
D;254;2683999;4;20251222 01:10;P;;;;;;
D;254;2683999;4;20251222 01:10;V;;;;;;
D;254;2683999;4;20251222 01:10;V;;;;;;
D;254;2683999;4;20251222 01:10;V;;;;;;
B;254;2684171;5;20251222 01:10;;;26;DEACON DR;WARREN;2824;914.5;M;20251205;20251218;440000;R1;R;RESIDENCE;;AAP;;;AV737108;
C;254;2684171;5;20251222 01:10;15/716353;
D;254;2684171;5;20251222 01:10;P;;;;;;
D;254;2684171;5;20251222 01:10;P;;;;;;
D;254;2684171;5;20251222 01:10;V;;;;;;
B;254;2684269;6;20251222 01:10;;;81;DUBBO ST;WARREN;2824;910.5;M;20251105;20251217;5000;E1;V;VACANT LAND;;BBP;;;AV727535;
C;254;2684269;6;20251222 01:10;B/414092;
D;254;2684269;6;20251222 01:10;P;;;;;;
D;254;2684269;6;20251222 01:10;V;;;;;;
B;254;2684909;7;20251222 01:10;;;1;DUBBO ST;WARREN;2824;2.33;H;20251119;20251217;450000;R5;R;RESIDENCE;;RRA;;;AV732408;
C;254;2684909;7;20251222 01:10;1/121611;
D;254;2684909;7;20251222 01:10;P;;;;;;
D;254;2684909;7;20251222 01:10;V;;;;;;
Z;35;7;7;19;
