A;RTSALEDATA;199;20251229 01:07;VALNET;
B;199;1882262;1;20251229 01:07;;;26;LEECE RD;URALLA;2358;8043;M;20251203;20251219;350000;R2;R;RESIDENCE;;ULD;;;AV743462;
C;199;1882262;1;20251229 01:07;379/755846;
D;199;1882262;1;20251229 01:07;P;;;;;;
D;199;1882262;1;20251229 01:07;V;;;;;;
B;199;1882303;2;20251229 01:07;;;53;MAITLAND ST;URALLA;2358;967.5;M;20251203;20251219;545000;R1;R;RESIDENCE;;ULA;;;AV745090;
C;199;1882303;2;20251229 01:07;22/359781;
D;199;1882303;2;20251229 01:07;P;;;;;;
D;199;1882303;2;20251229 01:07;V;;;;;;
D;199;1882303;2;20251229 01:07;V;;;;;;
B;199;1880179;3;20251229 01:07;NEW ENGLAND RETREAT;;189;BALALA RD;BALALA;2358;6.661;H;20251212;20251219;830000;RU2;R;RESIDENCE;;URG;;;AV749809;
C;199;1880179;3;20251229 01:07;3/285189;
D;199;1880179;3;20251229 01:07;P;;;;;;
D;199;1880179;3;20251229 01:07;V;;;;;;
Z;15;3;3;7;
