A;RTSALEDATA;187;20251229 01:07;VALNET;
B;187;4095993;1;20251229 01:07;;;164;LITTLE BLOOMFIELD ST;GUNNEDAH;2380;4046;M;20251209;20251219;99999;R3;R;RESIDENCE;;AAF;;;AV742578;
C;187;4095993;1;20251229 01:07;13, 14/976238;
D;187;4095993;1;20251229 01:07;P;;;;;;
D;187;4095993;1;20251229 01:07;V;;;;;;
B;187;1851034;2;20251229 01:07;;;7;LITTLE BEULAH ST;GUNNEDAH;2380;901;M;20251203;20251219;650000;R3;R;RESIDENCE;;AAF;;;AV745849;
C;187;1851034;2;20251229 01:07;1/714163;
D;187;1851034;2;20251229 01:07;P;;;;;;
D;187;1851034;2;20251229 01:07;P;;;;;;
D;187;1851034;2;20251229 01:07;V;;;;;;
B;187;1851927;3;20251229 01:07;;;75;STOCK RD;GUNNEDAH;2380;879;M;20251125;20251219;547000;R2;R;RESIDENCE;;AAS;;;AV748843;
C;187;1851927;3;20251229 01:07;8/26864;
D;187;1851927;3;20251229 01:07;P;;;;;;
D;187;1851927;3;20251229 01:07;P;;;;;;
D;187;1851927;3;20251229 01:07;V;;;;;;
B;187;1848785;4;20251229 01:07;;1;18;BANDO ST;GUNNEDAH;2380;;;20251203;20251219;250000;;R;RESIDENCE;1;;;;AV741781;
C;187;1848785;4;20251229 01:07;1/SP20204;
D;187;1848785;4;20251229 01:07;P;;;;;;
D;187;1848785;4;20251229 01:07;V;;;;;;
B;187;1849005;5;20251229 01:07;;;90;BEULAH ST;GUNNEDAH;2380;1581;M;20251212;20251222;905000;R3;R;RESIDENCE;;AAF;;;AV753991;
C;187;1849005;5;20251229 01:07;D/324956 1/380804;
D;187;1849005;5;20251229 01:07;P;;;;;;
D;187;1849005;5;20251229 01:07;P;;;;;;
D;187;1849005;5;20251229 01:07;V;;;;;;
D;187;1849005;5;20251229 01:07;V;;;;;;
B;187;1849352;6;20251229 01:07;;;54;BRIDGE ST;GUNNEDAH;2380;1670;M;20251216;20251219;585000;R2;R;RESIDENCE;;AAS;;;AV747056;
C;187;1849352;6;20251229 01:07;1/598320;
D;187;1849352;6;20251229 01:07;P;;;;;;
D;187;1849352;6;20251229 01:07;P;;;;;;
D;187;1849352;6;20251229 01:07;V;;;;;;
D;187;1849352;6;20251229 01:07;V;;;;;;
B;187;3318887;7;20251229 01:07;;;161;LITTLE BLOOMFIELD ST;GUNNEDAH;2380;1340;M;20251209;20251219;99999;R3;R;RESIDENCE;;AAF;;;AV742578;
C;187;3318887;7;20251229 01:07;66/611361;
D;187;3318887;7;20251229 01:07;P;;;;;;
D;187;3318887;7;20251229 01:07;V;;;;;;
B;187;4453631;8;20251229 01:07;;;32;FORREST WAY;GUNNEDAH;2380;879.3;M;20251204;20251219;142500;R2;R;RESIDENCE;;AAR;;;AV742150;
C;187;4453631;8;20251229 01:07;25/1288389;
D;187;4453631;8;20251229 01:07;P;;;;;;
D;187;4453631;8;20251229 01:07;P;;;;;;
D;187;4453631;8;20251229 01:07;V;;;;;;
B;187;3827708;9;20251229 01:07;;;10;FORREST WAY;GUNNEDAH;2380;845.6;M;20251205;20251219;760000;R2;R;RESIDENCE;;AAR;;;AV744937;
C;187;3827708;9;20251229 01:07;15/1204723;
D;187;3827708;9;20251229 01:07;P;;;;;;
D;187;3827708;9;20251229 01:07;V;;;;;;
D;187;3827708;9;20251229 01:07;V;;;;;;
Z;46;9;9;26;
