A;RTSALEDATA;214;20251222 01:10;VALNET;
B;214;2848535;1;20251222 01:10;;;48;KING ST;RIVERSTONE;2765;590;M;20251014;20251212;1230000;R2;R;RESIDENCE;;RRB;;;AV711311;
C;214;2848535;1;20251222 01:10;103/1031822;
D;214;2848535;1;20251222 01:10;P;;;;;;
D;214;2848535;1;20251222 01:10;P;;;;;;
D;214;2848535;1;20251222 01:10;V;;;;;;
B;214;2200816;2;20251222 01:10;;13;24;LUXFORD RD;MOUNT DRUITT;2770;;;20251025;20251212;444555;;R;RESIDENCE;13;;;;AV712321;
C;214;2200816;2;20251222 01:10;13/SP67717;
D;214;2200816;2;20251222 01:10;P;;;;;;
D;214;2200816;2;20251222 01:10;P;;;;;;
D;214;2200816;2;20251222 01:10;V;;;;;;
B;214;2876661;3;20251222 01:10;;;58 A;MALVERN RD;GLENWOOD;2768;369.4;M;20251122;20251218;1550000;R2;R;RESIDENCE;;RAA;;;AV738708;
C;214;2876661;3;20251222 01:10;105/1035763;
D;214;2876661;3;20251222 01:10;P;;;;;;
D;214;2876661;3;20251222 01:10;V;;;;;;
B;214;2228585;4;20251222 01:10;;2;32;SORRENTO DR;GLENWOOD;2768;;;20251019;20251212;1250000;;R;RESIDENCE;2;;;;AV711992;
C;214;2228585;4;20251222 01:10;2/SP69165;
D;214;2228585;4;20251222 01:10;P;;;;;;
D;214;2228585;4;20251222 01:10;P;;;;;;
D;214;2228585;4;20251222 01:10;V;;;;;;
D;214;2228585;4;20251222 01:10;V;;;;;;
B;214;2931473;5;20251222 01:10;;;18;CANTWELL ST;GLENWOOD;2768;383.2;M;20251108;20251217;16597;R2;R;RESIDENCE;;RAA;;;AV730219;
C;214;2931473;5;20251222 01:10;111/1041361;
D;214;2931473;5;20251222 01:10;P;;;;;;
D;214;2931473;5;20251222 01:10;P;;;;;;
D;214;2931473;5;20251222 01:10;V;;;;;;
D;214;2931473;5;20251222 01:10;V;;;;;;
D;214;2931473;5;20251222 01:10;V;;;;;;
B;214;2961571;6;20251222 01:10;;;7;KARRI PL;PARKLEA;2768;298.4;M;20251116;20251216;1251000;R2;R;RESIDENCE;;RQH;;;AV721957;
C;214;2961571;6;20251222 01:10;34/1045145;
D;214;2961571;6;20251222 01:10;P;;;;;;
D;214;2961571;6;20251222 01:10;P;;;;;;
D;214;2961571;6;20251222 01:10;V;;;;;;
D;214;2961571;6;20251222 01:10;V;;;;;;
B;214;3018132;7;20251222 01:10;;26;2;HYTHE ST;MOUNT DRUITT;2770;;;20251127;20251218;440000;;R;RESIDENCE;26;;;;AV736159;
C;214;3018132;7;20251222 01:10;26/SP69966;
D;214;3018132;7;20251222 01:10;P;;;;;;
D;214;3018132;7;20251222 01:10;V;;;;;;
B;214;3372824;8;20251222 01:10;;;14;WIDGEON RD;THE PONDS;2769;592;M;20251018;20251216;1930000;R3;R;RESIDENCE;;R3K;;;AV725724;
C;214;3372824;8;20251222 01:10;811/1119045;
D;214;3372824;8;20251222 01:10;P;;;;;;
D;214;3372824;8;20251222 01:10;P;;;;;;
D;214;3372824;8;20251222 01:10;V;;;;;;
D;214;3372824;8;20251222 01:10;V;;;;;;
D;214;3372824;8;20251222 01:10;V;;;;;;
B;214;3409583;9;20251222 01:10;;;38;BANDICOOT DR;WOODCROFT;2767;198.5;M;20251122;20251215;942500;R2;R;RESIDENCE;;RDW;;;AV716480;
C;214;3409583;9;20251222 01:10;119/270508;
D;214;3409583;9;20251222 01:10;P;;;;;;
D;214;3409583;9;20251222 01:10;V;;;;;;
D;214;3409583;9;20251222 01:10;V;;;;;;
B;214;3424880;10;20251222 01:10;;;51;BANDICOOT DR;WOODCROFT;2767;203;M;20251114;20251218;935000;R2;R;RESIDENCE;;RDW;;;AV740602;
C;214;3424880;10;20251222 01:10;136/270508;
D;214;3424880;10;20251222 01:10;P;;;;;;
D;214;3424880;10;20251222 01:10;P;;;;;;
D;214;3424880;10;20251222 01:10;V;;;;;;
B;214;3473011;11;20251222 01:10;;15;20;FOURTH AVE;BLACKTOWN;2148;;;20251122;20251218;565000;;R;RESIDENCE;15;;;;AV735827;
C;214;3473011;11;20251222 01:10;15/SP82649;
D;214;3473011;11;20251222 01:10;P;;;;;;
D;214;3473011;11;20251222 01:10;V;;;;;;
B;214;3478631;12;20251222 01:10;;;17;SUNNYBRAE ST;KELLYVILLE RIDGE;2155;450;M;20251107;20251212;2025000;R2;R;RESIDENCE;;RKR;;;AV708422;
C;214;3478631;12;20251222 01:10;941/1137349;
D;214;3478631;12;20251222 01:10;P;;;;;;
D;214;3478631;12;20251222 01:10;P;;;;;;
D;214;3478631;12;20251222 01:10;V;;;;;;
B;214;4139792;13;20251222 01:10;;;61 D;SOLANDER RD;KINGS LANGLEY;2147;;;20251105;20251217;1186000;;R;RESIDENCE;5;;;;AV727270;
C;214;4139792;13;20251222 01:10;5/SP98002;
D;214;4139792;13;20251222 01:10;P;;;;;;
D;214;4139792;13;20251222 01:10;P;;;;;;
D;214;4139792;13;20251222 01:10;V;;;;;;
D;214;4139792;13;20251222 01:10;V;;;;;;
B;214;4177765;14;20251222 01:10;;;132;NEWTON RD;BLACKTOWN;2148;645.2;M;20251127;20251215;1000000;R2;3;OFFICE;;RDN;;;AV713621;
C;214;4177765;14;20251222 01:10;61/1244536;
D;214;4177765;14;20251222 01:10;P;;;;;;
D;214;4177765;14;20251222 01:10;V;;;;;;
B;214;4174499;15;20251222 01:10;;;3;PARKWAY DR;MARSDEN PARK;2765;242.5;M;20251104;20251212;1005000;R3;R;RESIDENCE;;RRC;;;AV708772;
C;214;4174499;15;20251222 01:10;11/270993;
D;214;4174499;15;20251222 01:10;P;;;;;;
D;214;4174499;15;20251222 01:10;P;;;;;;
D;214;4174499;15;20251222 01:10;V;;;;;;
D;214;4174499;15;20251222 01:10;V;;;;;;
B;214;4189360;16;20251222 01:10;;;3;BROLGA CCT;MARSDEN PARK;2765;270;M;20251106;20251218;1100000;R2;R;RESIDENCE;;RMP;;;AV735231;
C;214;4189360;16;20251222 01:10;305/1238980;
D;214;4189360;16;20251222 01:10;P;;;;;;
D;214;4189360;16;20251222 01:10;V;;;;;;
D;214;4189360;16;20251222 01:10;V;;;;;;
B;214;4188319;17;20251222 01:10;;;47;BIRDIE CCT;BLACKTOWN;2148;243.3;M;20251115;20251215;1065000;R1;R;RESIDENCE;;RRD;;;AV719599;
C;214;4188319;17;20251222 01:10;3223/1235088;
D;214;4188319;17;20251222 01:10;P;;;;;;
D;214;4188319;17;20251222 01:10;P;;;;;;
D;214;4188319;17;20251222 01:10;V;;;;;;
B;214;4247316;18;20251222 01:10;;1506;5;SECOND AVE;BLACKTOWN;2148;98;M;20251119;20251217;482000;;R;RESIDENCE;98;;;;AV728522;
C;214;4247316;18;20251222 01:10;98/SP99454;
D;214;4247316;18;20251222 01:10;P;;;;;;
