A;RTSALEDATA;537;20251222 01:12;VALNET;
B;537;1220845;1;20251222 01:12;;;8;IRWIN ST;COOLAH;2843;976;M;20251124;20251216;295000;R1;R;RESIDENCE;;ACL;;;AV722629;
C;537;1220845;1;20251222 01:12;9/37686;
D;537;1220845;1;20251222 01:12;P;;;;;;
D;537;1220845;1;20251222 01:12;V;;;;;;
D;537;1220845;1;20251222 01:12;V;;;;;;
B;537;1219659;2;20251222 01:12;;;633;PATRICK RD;DUNEDOO;2844;40;H;20251126;20251212;380000;RU1;R;RESIDENCE;;HFS;;;AV708330;
C;537;1219659;2;20251222 01:12;7/262932;
D;537;1219659;2;20251222 01:12;P;;;;;;
D;537;1219659;2;20251222 01:12;P;;;;;;
D;537;1219659;2;20251222 01:12;V;;;;;;
B;537;1219946;3;20251222 01:12;;;19;MERRYGOEN ST;DUNEDOO;2844;2023;M;20251106;20251218;100000;R1;3;COMMERCIAL;;ADU;;;AV733860;
C;537;1219946;3;20251222 01:12;1/14/758364;
D;537;1219946;3;20251222 01:12;P;;;;;;
D;537;1219946;3;20251222 01:12;V;;;;;;
B;537;1220128;4;20251222 01:12;;;13;TUCKLAN ST;DUNEDOO;2844;1819;M;20251125;20251216;310000;R1;R;RESIDENCE;;ADU;;;AV723199;
C;537;1220128;4;20251222 01:12;2, 3/600084;
D;537;1220128;4;20251222 01:12;P;;;;;;
D;537;1220128;4;20251222 01:12;V;;;;;;
B;537;1220175;5;20251222 01:12;;;28;TUCKLAN ST;DUNEDOO;2844;1010;M;20251121;20251212;435000;R1;R;RESIDENCE;;ADU;;;AV712602;
C;537;1220175;5;20251222 01:12;1/826066;
D;537;1220175;5;20251222 01:12;P;;;;;;
D;537;1220175;5;20251222 01:12;V;;;;;;
B;537;1220574;6;20251222 01:12;;;101;BINNIA ST;COOLAH;2843;1126;M;20251202;20251216;365000;R1;R;RESIDENCE;;ACL;;;AV723277;
C;537;1220574;6;20251222 01:12;20/5546;
D;537;1220574;6;20251222 01:12;P;;;;;;
D;537;1220574;6;20251222 01:12;V;;;;;;
B;537;2629814;7;20251222 01:12;;;20;HARVEYS LANE;COONABARABRAN;2357;3.939;H;20251120;20251215;625000;RU1;R;RESIDENCE;;HFC;;;AV719386;
C;537;2629814;7;20251222 01:12;1/259773;
D;537;2629814;7;20251222 01:12;P;;;;;;
D;537;2629814;7;20251222 01:12;P;;;;;;
D;537;2629814;7;20251222 01:12;V;;;;;;
B;537;2630243;8;20251222 01:12;;;47;COWPER ST;COONABARABRAN;2357;815.7;M;20251117;20251215;123200;R1;3;COMMERCIAL;;ACN;;;AV713915;
C;537;2630243;8;20251222 01:12;91/546418;
D;537;2630243;8;20251222 01:12;P;;;;;;
D;537;2630243;8;20251222 01:12;V;;;;;;
B;537;2630497;9;20251222 01:12;;;109;EDWARDS ST;COONABARABRAN;2357;902.5;M;20251113;20251218;164000;R1;R;RESIDENCE;;ACN;;;AV738731;
C;537;2630497;9;20251222 01:12;24/740998;
D;537;2630497;9;20251222 01:12;P;;;;;;
D;537;2630497;9;20251222 01:12;P;;;;;;
D;537;2630497;9;20251222 01:12;V;;;;;;
D;537;2630497;9;20251222 01:12;V;;;;;;
B;537;2630907;10;20251222 01:12;;;8;MASMAN ST;COONABARABRAN;2357;827.1;M;20251127;20251215;378000;R1;R;RESIDENCE;;PCN;;;AV714167;
C;537;2630907;10;20251222 01:12;3/513237;
D;537;2630907;10;20251222 01:12;P;;;;;;
D;537;2630907;10;20251222 01:12;V;;;;;;
B;537;2630942;11;20251222 01:12;;;44;NAMOI ST;COONABARABRAN;2357;780;M;20251014;20251111;112000;R1;R;RESIDENCE;;ACN;;;AV598048;
C;537;2630942;11;20251222 01:12;4/844790;
D;537;2630942;11;20251222 01:12;P;;;;;;
D;537;2630942;11;20251222 01:12;V;;;;;;
D;537;2630942;11;20251222 01:12;V;;;;;;
B;537;2630943;12;20251222 01:12;;;46;NAMOI ST;COONABARABRAN;2357;780;M;20251014;20251111;112000;R1;R;RESIDENCE;;ACN;;;AV598048;
C;537;2630943;12;20251222 01:12;5/844790;
D;537;2630943;12;20251222 01:12;P;;;;;;
D;537;2630943;12;20251222 01:12;V;;;;;;
D;537;2630943;12;20251222 01:12;V;;;;;;
B;537;3532014;13;20251222 01:12;NEWSTEAD;;2764;WYUNA RD;NAPIER LANE;2379;1781;H;20250630;20251212;14000000;RU1;3;FARM;;RFE;;;AV709830;
C;537;3532014;13;20251222 01:12;6, 7, 8, 9, 10/134097 3/632820 12/730879 34, 46/755482 1/1153834;
D;537;3532014;13;20251222 01:12;P;;;;;;
D;537;3532014;13;20251222 01:12;V;;;;;;
B;537;4575154;14;20251222 01:12;;;10;GARDINER ST;BARADINE;2396;1080;M;20250805;20250902;265000;RU5;R;RESIDENCE;;ZBA;;;AV386293;
C;537;4575154;14;20251222 01:12;5/B/12175;
D;537;4575154;14;20251222 01:12;P;;;;;;
D;537;4575154;14;20251222 01:12;V;;;;;;
B;537;4575155;15;20251222 01:12;;;;GARDINER ST;BARADINE;2396;157.3;M;20250805;20250902;265000;RU5;R;RESIDENCE;;ZBA;;;AV386293;
C;537;4575155;15;20251222 01:12;2/582141;
D;537;4575155;15;20251222 01:12;P;;;;;;
D;537;4575155;15;20251222 01:12;V;;;;;;
B;537;3194308;16;20251222 01:12;;;70;TUCKLAN ST;DUNEDOO;2844;1012;M;20251118;20251216;430000;R1;R;RESIDENCE;;ADU;;;AV723950;
C;537;3194308;16;20251222 01:12;31/597916;
D;537;3194308;16;20251222 01:12;P;;;;;;
D;537;3194308;16;20251222 01:12;V;;;;;;
Z;73;16;16;39;
