A;RTSALEDATA;084;20251229 01:06;VALNET;
B;084;3507129;1;20251229 01:06;CLARA;22;6;CULWORTH AVE;KILLARA;2071;;;20251107;20251219;1500000;;R;RESIDENCE;22;;;;AV745514;
C;084;3507129;1;20251229 01:06;22/SP83405;
D;084;3507129;1;20251229 01:06;P;;;;;;
D;084;3507129;1;20251229 01:06;V;;;;;;
B;084;4178139;2;20251229 01:06;;401;28;DUMARESQ ST;GORDON;2072;120;M;20251120;20251222;1120000;;R;RESIDENCE;23;;;;AV753983;
C;084;4178139;2;20251229 01:06;23/SP98278;
D;084;4178139;2;20251229 01:06;P;;;;;;
D;084;4178139;2;20251229 01:06;V;;;;;;
D;084;4178139;2;20251229 01:06;V;;;;;;
B;084;3083719;3;20251229 01:06;;;2;GARRICK RD;ST IVES;2075;610.1;M;20251108;20251218;2241000;R2;R;RESIDENCE;;RGY;;;AV737991;
C;084;3083719;3;20251229 01:06;42/1067506;
D;084;3083719;3;20251229 01:06;P;;;;;;
D;084;3083719;3;20251229 01:06;P;;;;;;
D;084;3083719;3;20251229 01:06;V;;;;;;
B;084;3588041;4;20251229 01:06;BUILDING B;203;1;BUCKINGHAM RD;KILLARA;2071;;;20251216;20251224;1040000;;R;RESIDENCE;23;;;;AV760903;
C;084;3588041;4;20251229 01:06;23/SP85481;
D;084;3588041;4;20251229 01:06;P;;;;;;
D;084;3588041;4;20251229 01:06;V;;;;;;
B;084;3615121;5;20251229 01:06;;14;3;NOLA RD;ROSEVILLE;2069;106;M;20251115;20251219;1015000;;R;RESIDENCE;14;;;;AV746019;
C;084;3615121;5;20251229 01:06;14/SP86210;
D;084;3615121;5;20251229 01:06;P;;;;;;
D;084;3615121;5;20251229 01:06;V;;;;;;
B;084;4040825;6;20251229 01:06;;10;12;CECIL ST;GORDON;2072;;;20251114;20251219;941000;;R;RESIDENCE;10;;;;AV747837;
C;084;4040825;6;20251229 01:06;10/SP95750;
D;084;4040825;6;20251229 01:06;P;;;;;;
D;084;4040825;6;20251229 01:06;V;;;;;;
B;084;4083272;7;20251229 01:06;;203;71;RIDGE ST;GORDON;2072;103;M;20251202;20251219;831000;;R;RESIDENCE;20;;;;AV745805;
C;084;4083272;7;20251229 01:06;20/SP96735;
D;084;4083272;7;20251229 01:06;P;;;;;;
D;084;4083272;7;20251229 01:06;P;;;;;;
D;084;4083272;7;20251229 01:06;V;;;;;;
D;084;4083272;7;20251229 01:06;V;;;;;;
B;084;4609073;8;20251229 01:06;;1;2;ETON RD;LINDFIELD;2070;252.4;M;20251201;20251223;2400000;;R;RESIDENCE;1;;;;AV756816;
C;084;4609073;8;20251229 01:06;1/SP108421;
D;084;4609073;8;20251229 01:06;P;;;;;;
D;084;4609073;8;20251229 01:06;V;;;;;;
D;084;4609073;8;20251229 01:06;V;;;;;;
B;084;4609073;9;20251229 01:06;;2;2;ETON RD;LINDFIELD;2070;344.8;M;20251105;20251219;2992500;;R;RESIDENCE;2;;;;AV742688;
C;084;4609073;9;20251229 01:06;2/SP108421;
D;084;4609073;9;20251229 01:06;P;;;;;;
D;084;4609073;9;20251229 01:06;V;;;;;;
D;084;4609073;9;20251229 01:06;V;;;;;;
B;084;707578;10;20251229 01:06;;13;181;PACIFIC HWY;LINDFIELD;2070;;;20251111;20251219;940000;;R;RESIDENCE;13;;;;AV741423;
C;084;707578;10;20251229 01:06;13/SP8042;
