A;RTSALEDATA;123;20251222 01:09;VALNET;
B;123;2841543;1;20251222 01:09;BUNDALEER;;25;BUNDALEER RD;O'CONNELL;2795;73.9;H;20250509;20250909;3600000;RU1;3;FARM;;RNB;;;AV404744;
C;123;2841543;1;20251222 01:09;10/1145681 Enclosure Permit 649549;
D;123;2841543;1;20251222 01:09;P;;;;;;
D;123;2841543;1;20251222 01:09;V;;;;;;
B;123;1265482;2;20251222 01:09;;;372;IVERS FOREST RD;CHATHAM VALLEY;2787;39.98;H;20251107;20251215;1550000;RU1;R;RESIDENCE;;RSB;;;AV716806;
C;123;1265482;2;20251222 01:09;201/877082;
D;123;1265482;2;20251222 01:09;P;;;;;;
D;123;1265482;2;20251222 01:09;P;;;;;;
D;123;1265482;2;20251222 01:09;V;;;;;;
D;123;1265482;2;20251222 01:09;V;;;;;;
B;123;3078182;3;20251222 01:09;;;59;HOPES RD;ESSINGTON;2787;20.49;H;20251124;20251212;750000;RU1;R;RESIDENCE;;RNB;;;AV709542;
C;123;3078182;3;20251222 01:09;202/1032500;
D;123;3078182;3;20251222 01:09;P;;;;;;
D;123;3078182;3;20251222 01:09;V;;;;;;
B;123;4533461;4;20251222 01:09;;;;WILSON DR;OBERON;2787;2.526;H;20251114;20251217;430000;R5;V;VACANT LAND;;OLL;;;AV728571;
C;123;4533461;4;20251222 01:09;243/1302754;
D;123;4533461;4;20251222 01:09;P;;;;;;
D;123;4533461;4;20251222 01:09;P;;;;;;
D;123;4533461;4;20251222 01:09;P;;;;;;
D;123;4533461;4;20251222 01:09;P;;;;;;
D;123;4533461;4;20251222 01:09;V;;;;;;
B;123;3224607;5;20251222 01:09;;;1146;EDITH RD;EDITH;2787;2880;M;20251104;20251216;420000;RU1;R;RESIDENCE;;RNA;;;AV721522;
C;123;3224607;5;20251222 01:09;1/1089745;
D;123;3224607;5;20251222 01:09;P;;;;;;
D;123;3224607;5;20251222 01:09;V;;;;;;
B;123;4423586;6;20251222 01:09;;;44;SPRINGFIELD ST;OBERON;2787;837.5;M;20251204;20251216;270000;R1;R;RESIDENCE;;AOB;;;AV722070;
C;123;4423586;6;20251222 01:09;45/1283335;
D;123;4423586;6;20251222 01:09;P;;;;;;
D;123;4423586;6;20251222 01:09;V;;;;;;
B;123;4461210;7;20251222 01:09;;;204;HAWKEN ST;OBERON;2787;4946;M;20251124;20251212;396000;E4;V;VACANT LAND;;EOI;;;AV708042;
C;123;4461210;7;20251222 01:09;204/1289137;
D;123;4461210;7;20251222 01:09;P;;;;;;
D;123;4461210;7;20251222 01:09;V;;;;;;
D;123;4461210;7;20251222 01:09;V;;;;;;
Z;36;7;7;20;
