A;RTSALEDATA;210;20251229 01:08;VALNET;
B;210;2092919;1;20251229 01:08;;;15;NEILD AVE;PADDINGTON;2021;150.3;M;20251110;20251219;3620000;R2;R;RESIDENCE;;ALL;;;AV748132;
C;210;2092919;1;20251229 01:08;1/625250;
D;210;2092919;1;20251229 01:08;P;;;;;;
D;210;2092919;1;20251229 01:08;P;;;;;;
D;210;2092919;1;20251229 01:08;V;;;;;;
D;210;2092919;1;20251229 01:08;V;;;;;;
B;210;2103578;2;20251229 01:08;;6;100;WALLIS ST;WOOLLAHRA;2025;56;M;20251111;20251219;1130000;;R;RESIDENCE;6;;;;AV749282;
C;210;2103578;2;20251229 01:08;6/SP10481;
D;210;2103578;2;20251229 01:08;P;;;;;;
D;210;2103578;2;20251229 01:08;V;;;;;;
B;210;2085200;3;20251229 01:08;;49;2;EASTBOURNE RD;DARLING POINT;2027;94.5;M;20251008;20251215;3150000;;R;RESIDENCE;49;;;;AV714180;
C;210;2085200;3;20251229 01:08;49/SP4781;
D;210;2085200;3;20251229 01:08;P;;;;;;
D;210;2085200;3;20251229 01:08;V;;;;;;
B;210;2085200;4;20251229 01:08;;19;2;EASTBOURNE RD;DARLING POINT;2027;17.4;M;20251008;20251215;3150000;;R;RESIDENCE;62;;;;AV714180;
C;210;2085200;4;20251229 01:08;62/SP4781;
D;210;2085200;4;20251229 01:08;P;;;;;;
D;210;2085200;4;20251229 01:08;V;;;;;;
B;210;2093097;5;20251229 01:08;;5;5;NEW BEACH RD;DARLING POINT;2027;101;M;20251203;20251222;1800000;;R;RESIDENCE;5;;;;AV752172;
C;210;2093097;5;20251229 01:08;5/SP12820;
D;210;2093097;5;20251229 01:08;P;;;;;;
D;210;2093097;5;20251229 01:08;P;;;;;;
D;210;2093097;5;20251229 01:08;V;;;;;;
B;210;2104278;6;20251229 01:08;;;43;WILLIAM ST;DOUBLE BAY;2028;790.4;M;20251218;20251222;15000000;R3;R;RESIDENCE;;AMD;;;AV751819;
C;210;2104278;6;20251229 01:08;1/10997;
D;210;2104278;6;20251229 01:08;P;;;;;;
D;210;2104278;6;20251229 01:08;P;;;;;;
D;210;2104278;6;20251229 01:08;V;;;;;;
B;210;2085200;7;20251229 01:08;;130;2;EASTBOURNE RD;DARLING POINT;2027;23;M;20251008;20251215;3150000;;R;RESIDENCE;130;;;;AV714180;
C;210;2085200;7;20251229 01:08;130/SP4781;
D;210;2085200;7;20251229 01:08;P;;;;;;
D;210;2085200;7;20251229 01:08;V;;;;;;
B;210;2090629;8;20251229 01:08;;;45;JERSEY RD;WOOLLAHRA;2025;170.7;M;20250924;20251219;7600000;R2;R;RESIDENCE;;ALO;;;AV745444;
C;210;2090629;8;20251229 01:08;2/544513;
D;210;2090629;8;20251229 01:08;P;;;;;;
D;210;2090629;8;20251229 01:08;V;;;;;;
B;210;2101199;9;20251229 01:08;;25;186;SUTHERLAND ST;PADDINGTON;2021;;;20251108;20251216;980000;;R;RESIDENCE;13;;;;AV721159;
C;210;2101199;9;20251229 01:08;13/SP9502;
D;210;2101199;9;20251229 01:08;P;;;;;;
D;210;2101199;9;20251229 01:08;V;;;;;;
B;210;2101199;10;20251229 01:08;CAR SPACE;88;186;SUTHERLAND ST;PADDINGTON;2021;;;20251108;20251216;980000;;R;RESIDENCE;88;;;;AV721159;
C;210;2101199;10;20251229 01:08;88/SP9502;
D;210;2101199;10;20251229 01:08;P;;;;;;
D;210;2101199;10;20251229 01:08;V;;;;;;
B;210;2082825;11;20251229 01:08;;;53;COMBER ST;PADDINGTON;2021;107.5;M;20250821;20251219;2250000;R2;R;RESIDENCE;;ALE;;;AV745987;
C;210;2082825;11;20251229 01:08;E/928961;
D;210;2082825;11;20251229 01:08;P;;;;;;
D;210;2082825;11;20251229 01:08;V;;;;;;
B;210;2082929;12;20251229 01:08;;3;26;COOPER ST;DOUBLE BAY;2028;91;M;20251119;20251219;1450000;;R;RESIDENCE;3;;;;AV743869;
C;210;2082929;12;20251229 01:08;3/SP11137;
D;210;2082929;12;20251229 01:08;P;;;;;;
D;210;2082929;12;20251229 01:08;V;;;;;;
B;210;2088249;13;20251229 01:08;;;267;GLENMORE RD;PADDINGTON;2021;139.1;M;20251201;20251219;4635000;R2;R;RESIDENCE;;ALE;;;AV744343;
C;210;2088249;13;20251229 01:08;1/217564;
D;210;2088249;13;20251229 01:08;P;;;;;;
D;210;2088249;13;20251229 01:08;V;;;;;;
B;210;2090784;14;20251229 01:08;;;158;JERSEY RD;PADDINGTON;2021;96.1;M;20251117;20251215;4800000;R2;R;RESIDENCE;;ALE;;;AV717266;
C;210;2090784;14;20251229 01:08;1/517589 520/1049790;
D;210;2090784;14;20251229 01:08;P;;;;;;
D;210;2090784;14;20251229 01:08;P;;;;;;
D;210;2090784;14;20251229 01:08;V;;;;;;
B;210;2090785;15;20251229 01:08;;;156;JERSEY RD;PADDINGTON;2021;88.5;M;20251117;20251215;4800000;R2;R;RESIDENCE;;ALE;;;AV717266;
C;210;2090785;15;20251229 01:08;1/33829;
D;210;2090785;15;20251229 01:08;P;;;;;;
D;210;2090785;15;20251229 01:08;P;;;;;;
D;210;2090785;15;20251229 01:08;V;;;;;;
B;210;2098734;16;20251229 01:08;;;103;PADDINGTON ST;PADDINGTON;2021;158.1;M;20251113;20251219;4530000;R2;R;RESIDENCE;;ALL;;;AV744686;
C;210;2098734;16;20251229 01:08;5/33104;
D;210;2098734;16;20251229 01:08;P;;;;;;
D;210;2098734;16;20251229 01:08;P;;;;;;
D;210;2098734;16;20251229 01:08;V;;;;;;
D;210;2098734;16;20251229 01:08;V;;;;;;
B;210;2098863;17;20251229 01:08;;;24;PARSLEY RD;VAUCLUSE;2030;758.8;M;20250325;20251223;10750000;R2;R;RESIDENCE;;ALV;;;AV756995;
C;210;2098863;17;20251229 01:08;1/958559;
D;210;2098863;17;20251229 01:08;P;;;;;;
D;210;2098863;17;20251229 01:08;V;;;;;;
B;210;2088546;18;20251229 01:08;;;66;GLENMORE RD;PADDINGTON;2021;102.3;M;20251101;20251219;2725000;R2;R;RESIDENCE;;ALE;;;AV745717;
C;210;2088546;18;20251229 01:08;5/34070;
D;210;2088546;18;20251229 01:08;P;;;;;;
D;210;2088546;18;20251229 01:08;V;;;;;;
D;210;2088546;18;20251229 01:08;V;;;;;;
B;210;2093905;19;20251229 01:08;;4;744;NEW SOUTH HEAD RD;ROSE BAY;2029;;;20251108;20251219;2225000;;R;RESIDENCE;4;;;;AV746085;
C;210;2093905;19;20251229 01:08;4/SP743;
D;210;2093905;19;20251229 01:08;P;;;;;;
D;210;2093905;19;20251229 01:08;V;;;;;;
B;210;2093938;20;20251229 01:08;;;730;NEW SOUTH HEAD RD;ROSE BAY;2029;84;M;20251030;20251219;2150000;;3;SHOP;6;;;;AV742151;
C;210;2093938;20;20251229 01:08;6/SP21183;
D;210;2093938;20;20251229 01:08;P;;;;;;
D;210;2093938;20;20251229 01:08;V;;;;;;
B;210;2096710;21;20251229 01:08;;3;62;OCEAN ST;WOOLLAHRA;2025;143.7;M;20251219;20251219;1980000;;R;RESIDENCE;3;;;;AV749458;
C;210;2096710;21;20251229 01:08;3/SP838;
D;210;2096710;21;20251229 01:08;P;;;;;;
D;210;2096710;21;20251229 01:08;V;;;;;;
D;210;2096710;21;20251229 01:08;V;;;;;;
B;210;2102015;22;20251229 01:08;;;17;TRANSVAAL AVE;DOUBLE BAY;2028;240.3;M;20251120;20251219;11532840;E1;3;COMMERCIAL;;ELA;;;AV745804;
C;210;2102015;22;20251229 01:08;3/10997;
D;210;2102015;22;20251229 01:08;P;;;;;;
D;210;2102015;22;20251229 01:08;V;;;;;;
B;210;2086194;23;20251229 01:08;;30;297;EDGECLIFF RD;WOOLLAHRA;2025;116.9;M;20251111;20251219;1575000;;R;RESIDENCE;30;;;;AV750135;
C;210;2086194;23;20251229 01:08;30/SP8535;
D;210;2086194;23;20251229 01:08;P;;;;;;
D;210;2086194;23;20251229 01:08;V;;;;;;
D;210;2086194;23;20251229 01:08;V;;;;;;
B;210;2102110;24;20251229 01:08;;10;8;UNDERWOOD ST;PADDINGTON;2021;41;M;20251112;20251224;680000;;R;RESIDENCE;8;;;;AV760926;
C;210;2102110;24;20251229 01:08;8/SP62142;
D;210;2102110;24;20251229 01:08;P;;;;;;
D;210;2102110;24;20251229 01:08;V;;;;;;
B;210;2078463;25;20251229 01:08;;;3;ALTON ST;WOOLLAHRA;2025;113.8;M;20251031;20251223;3850000;R3;R;RESIDENCE;;AMO;;;AV756954;
C;210;2078463;25;20251229 01:08;2/415794;
D;210;2078463;25;20251229 01:08;P;;;;;;
D;210;2078463;25;20251229 01:08;P;;;;;;
D;210;2078463;25;20251229 01:08;V;;;;;;
B;210;2102206;26;20251229 01:08;;;166;UNDERWOOD ST;PADDINGTON;2021;113.8;M;20251003;20251216;4050000;R2;R;RESIDENCE;;ALE;;;AV723336;
C;210;2102206;26;20251229 01:08;1/119127;
D;210;2102206;26;20251229 01:08;P;;;;;;
D;210;2102206;26;20251229 01:08;V;;;;;;
D;210;2102206;26;20251229 01:08;V;;;;;;
B;210;2104437;27;20251229 01:08;;;76;WINDSOR ST;PADDINGTON;2021;145.4;M;20251115;20251219;4500000;R2;R;RESIDENCE;;ALE;;;AV741278;
C;210;2104437;27;20251229 01:08;1/202182;
D;210;2104437;27;20251229 01:08;P;;;;;;
D;210;2104437;27;20251229 01:08;V;;;;;;
B;210;2100020;28;20251229 01:08;;3;39;SALISBURY RD;ROSE BAY;2029;113.3;M;20241018;20251215;2180000;;R;RESIDENCE;4;;;;AV716176;
C;210;2100020;28;20251229 01:08;4/SP760;
D;210;2100020;28;20251229 01:08;P;;;;;;
D;210;2100020;28;20251229 01:08;V;;;;;;
D;210;2100020;28;20251229 01:08;V;;;;;;
B;210;2100020;29;20251229 01:08;CAR SPACE;3;39;SALISBURY RD;ROSE BAY;2029;11.6;M;20241018;20251215;2180000;;R;RESIDENCE;6;;;;AV716176;
C;210;2100020;29;20251229 01:08;6/SP760;
D;210;2100020;29;20251229 01:08;P;;;;;;
D;210;2100020;29;20251229 01:08;V;;;;;;
D;210;2100020;29;20251229 01:08;V;;;;;;
B;210;2094769;30;20251229 01:08;;510;180;OCEAN ST;EDGECLIFF;2027;;;20251215;20251219;15000;;V;VACANT LAND;184;;;;AV742190;
C;210;2094769;30;20251229 01:08;184/SP22762;
D;210;2094769;30;20251229 01:08;P;;;;;;
D;210;2094769;30;20251229 01:08;V;;;;;;
D;210;2094769;30;20251229 01:08;V;;;;;;
B;210;2081904;31;20251229 01:08;;;59;CAMBRIDGE ST;PADDINGTON;2021;219.6;M;20251107;20251219;6700000;R2;R;RESIDENCE;;ALL;;;AV742158;
C;210;2081904;31;20251229 01:08;1/577231;
D;210;2081904;31;20251229 01:08;P;;;;;;
D;210;2081904;31;20251229 01:08;V;;;;;;
B;210;2084539;32;20251229 01:08;;2;26;DOVER RD;ROSE BAY;2029;292;M;20251119;20251219;3850000;;R;RESIDENCE;2;;;;AV748152;
C;210;2084539;32;20251229 01:08;2/SP53449;
D;210;2084539;32;20251229 01:08;P;;;;;;
D;210;2084539;32;20251229 01:08;P;;;;;;
D;210;2084539;32;20251229 01:08;V;;;;;;
D;210;2084539;32;20251229 01:08;V;;;;;;
B;210;2095216;33;20251229 01:08;;9;509;NEW SOUTH HEAD RD;DOUBLE BAY;2028;131.9;M;20251209;20251219;2030000;;R;RESIDENCE;9;;;;AV748953;
C;210;2095216;33;20251229 01:08;9/SP6406;
D;210;2095216;33;20251229 01:08;P;;;;;;
D;210;2095216;33;20251229 01:08;V;;;;;;
B;210;2104010;34;20251229 01:08;;;15;WEST ST;PADDINGTON;2021;151.8;M;20251024;20251222;3430000;R2;R;RESIDENCE;;ALL;;;AV752381;
C;210;2104010;34;20251229 01:08;D/105076;
D;210;2104010;34;20251229 01:08;P;;;;;;
D;210;2104010;34;20251229 01:08;V;;;;;;
D;210;2104010;34;20251229 01:08;V;;;;;;
B;210;2104071;35;20251229 01:08;;3;15;WILBERFORCE AVE;ROSE BAY;2029;159;M;20251114;20251219;2765000;;R;RESIDENCE;3;;;;AV745696;
C;210;2104071;35;20251229 01:08;3/SP61585;
D;210;2104071;35;20251229 01:08;P;;;;;;
D;210;2104071;35;20251229 01:08;V;;;;;;
B;210;2093392;36;20251229 01:08;;13;43;NEWCASTLE ST;ROSE BAY;2029;227;M;20020603;20251223;300000;;R;RESIDENCE;26;;;;AV756946;
C;210;2093392;36;20251229 01:08;26/SP106816;
D;210;2093392;36;20251229 01:08;P;;;;;;
D;210;2093392;36;20251229 01:08;P;;;;;;
D;210;2093392;36;20251229 01:08;V;;;;;;
B;210;3653270;37;20251229 01:08;;1;370;EDGECLIFF RD;WOOLLAHRA;2025;;;20250715;20251217;2084703;;R;RESIDENCE;1;;;;AV731814;
C;210;3653270;37;20251229 01:08;1/SP86950;
D;210;3653270;37;20251229 01:08;P;;;;;;
D;210;3653270;37;20251229 01:08;V;;;;;;
B;210;3350088;38;20251229 01:08;;4;52;GLENMORE RD;PADDINGTON;2021;178;M;20251215;20251219;860000;;R;RESIDENCE;4;;;;AV741310;
C;210;3350088;38;20251229 01:08;4/SP79658;
D;210;3350088;38;20251229 01:08;P;;;;;;
D;210;3350088;38;20251229 01:08;P;;;;;;
D;210;3350088;38;20251229 01:08;P;;;;;;
D;210;3350088;38;20251229 01:08;V;;;;;;
