A;RTSALEDATA;269;20251222 01:11;VALNET;
B;269;6033630;1;20251222 01:12;;;130;LOCKHART RD;TOOLEYBUC;2736;18.59;H;20251002;20251205;450000;;3;FARM;;;;;AV681370;
C;269;6033630;1;20251222 01:12;2/618701;
D;269;6033630;1;20251222 01:12;P;;;;;;
D;269;6033630;1;20251222 01:12;V;;;;;;
B;269;4516251;2;20251222 01:12;;;16;CENTENNIAL ST;MOAMA;2731;760;M;20251117;20251216;248000;R1;V;VACANT LAND;;ZA1;;;AV725445;
C;269;4516251;2;20251222 01:12;311/1294514;
D;269;4516251;2;20251222 01:12;P;;;;;;
D;269;4516251;2;20251222 01:12;P;;;;;;
D;269;4516251;2;20251222 01:12;V;;;;;;
B;269;4549484;3;20251222 01:12;;;29;BOTANICAL DR;MOAMA;2731;948;M;20251113;20251215;265000;R1;V;VACANT LAND;;ZA1;;;AV714763;
C;269;4549484;3;20251222 01:12;81/1303980;
D;269;4549484;3;20251222 01:12;P;;;;;;
D;269;4549484;3;20251222 01:12;V;;;;;;
B;269;4549490;4;20251222 01:12;;;28;BOTANICAL DR;MOAMA;2731;879;M;20251110;20251215;255000;R1;V;VACANT LAND;;ZA1;;;AV714963;
C;269;4549490;4;20251222 01:12;87/1303980;
D;269;4549490;4;20251222 01:12;P;;;;;;
D;269;4549490;4;20251222 01:12;V;;;;;;
B;269;4549492;5;20251222 01:12;;;32;BOTANICAL DR;MOAMA;2731;876;M;20251117;20251212;255000;R1;V;VACANT LAND;;ZA1;;;AV706437;
C;269;4549492;5;20251222 01:12;89/1303980;
D;269;4549492;5;20251222 01:12;P;;;;;;
D;269;4549492;5;20251222 01:12;V;;;;;;
B;269;4549496;6;20251222 01:12;;;40;BOTANICAL DR;MOAMA;2731;871;M;20251125;20251215;255000;R1;V;VACANT LAND;;ZA1;;;AV714949;
C;269;4549496;6;20251222 01:12;93/1303980;
D;269;4549496;6;20251222 01:12;P;;;;;;
D;269;4549496;6;20251222 01:12;P;;;;;;
D;269;4549496;6;20251222 01:12;V;;;;;;
B;269;4516803;7;20251222 01:12;;;20;FALCON RISE;MOAMA;2731;1120;M;20251024;20251215;280000;R1;V;VACANT LAND;;ZA1;;;AV716434;
C;269;4516803;7;20251222 01:12;24/1278527;
D;269;4516803;7;20251222 01:12;P;;;;;;
D;269;4516803;7;20251222 01:12;V;;;;;;
B;269;543842;8;20251222 01:12;;;;THYRA RD;MOAMA;2731;40.31;H;20251103;20251215;350000;RU1;3;FARM;;RC1;;;AV718994;
C;269;543842;8;20251222 01:12;2/841690;
D;269;543842;8;20251222 01:12;P;;;;;;
D;269;543842;8;20251222 01:12;V;;;;;;
D;269;543842;8;20251222 01:12;V;;;;;;
B;269;546677;9;20251222 01:12;;;6;LIGNUM RD;MOAMA;2731;3017;M;20251121;20251217;1285000;R5;R;RESIDENCE;;RR4;;;AV730629;
C;269;546677;9;20251222 01:12;7/285591;
D;269;546677;9;20251222 01:12;P;;;;;;
D;269;546677;9;20251222 01:12;P;;;;;;
D;269;546677;9;20251222 01:12;V;;;;;;
D;269;546677;9;20251222 01:12;V;;;;;;
B;269;544817;10;20251222 01:12;;;74;BOUNDARY RD;MOAMA;2731;4143;M;20251121;20251217;1050000;R1;R;RESIDENCE;;ZA1;;;AV730632;
C;269;544817;10;20251222 01:12;2/875080;
D;269;544817;10;20251222 01:12;P;;;;;;
D;269;544817;10;20251222 01:12;V;;;;;;
B;269;545146;11;20251222 01:12;;;22;GLENCOE BVD;MOAMA;2731;825;M;20251113;20251216;630000;R1;R;RESIDENCE;;ZA1;;;AV723168;
C;269;545146;11;20251222 01:12;5/1009556;
D;269;545146;11;20251222 01:12;P;;;;;;
D;269;545146;11;20251222 01:12;P;;;;;;
D;269;545146;11;20251222 01:12;V;;;;;;
D;269;545146;11;20251222 01:12;V;;;;;;
