A;RTSALEDATA;007;20251222 01:08;VALNET;
B;007;3460605;1;20251222 01:08;;;4;ALMOND ST;DENMAN;2328;633.9;M;20251112;20251217;185000;RU5;V;VACANT LAND;;DV;;;AV728294;
C;007;3460605;1;20251222 01:08;6/1135271;
D;007;3460605;1;20251222 01:08;P;;;;;;
D;007;3460605;1;20251222 01:08;V;;;;;;
B;007;198845;2;20251222 01:08;;;132;HILL ST;MUSWELLBROOK;2333;499.5;M;20251126;20251216;570000;R1;R;RESIDENCE;;AT;;;AV722711;
C;007;198845;2;20251222 01:08;3/3628;
D;007;198845;2;20251222 01:08;P;;;;;;
D;007;198845;2;20251222 01:08;P;;;;;;
D;007;198845;2;20251222 01:08;V;;;;;;
B;007;199160;3;20251222 01:08;;;28;KAMILAROI ST;MUSWELLBROOK;2333;780;M;20251104;20251216;645000;R1;R;RESIDENCE;;AC;;;AV725026;
C;007;199160;3;20251222 01:08;14/260467;
D;007;199160;3;20251222 01:08;P;;;;;;
D;007;199160;3;20251222 01:08;V;;;;;;
D;007;199160;3;20251222 01:08;V;;;;;;
B;007;196673;4;20251222 01:08;;;1290;SANDY CREEK RD;MUSWELLBROOK;2333;4.57;H;20251104;20251216;1040000;RU1;R;RESIDENCE;;HR;;;AV725926;
C;007;196673;4;20251222 01:08;3/622408;
D;007;196673;4;20251222 01:08;P;;;;;;
D;007;196673;4;20251222 01:08;P;;;;;;
D;007;196673;4;20251222 01:08;V;;;;;;
B;007;199380;5;20251222 01:08;;;4;LOWER WILLIAM ST;MUSWELLBROOK;2333;537.6;M;20251126;20251215;500000;R1;R;RESIDENCE;;AR;;;AV715562;
C;007;199380;5;20251222 01:08;1/150757;
D;007;199380;5;20251222 01:08;P;;;;;;
D;007;199380;5;20251222 01:08;P;;;;;;
D;007;199380;5;20251222 01:08;V;;;;;;
B;007;197366;6;20251222 01:08;;;26;BEECH ST;MUSWELLBROOK;2333;740;M;20251021;20251216;750000;R1;R;RESIDENCE;;AL;;;AV723750;
C;007;197366;6;20251222 01:08;1060/262816;
D;007;197366;6;20251222 01:08;P;;;;;;
D;007;197366;6;20251222 01:08;P;;;;;;
D;007;197366;6;20251222 01:08;V;;;;;;
D;007;197366;6;20251222 01:08;V;;;;;;
B;007;197563;7;20251222 01:08;;;67;BRECHT ST;MUSWELLBROOK;2333;942.2;M;20251103;20251215;520000;R1;R;RESIDENCE;;AW;;;AV715986;
C;007;197563;7;20251222 01:08;A/329593;
D;007;197563;7;20251222 01:08;P;;;;;;
D;007;197563;7;20251222 01:08;V;;;;;;
D;007;197563;7;20251222 01:08;V;;;;;;
B;007;197779;8;20251222 01:08;;;17;BROOK ST;MUSWELLBROOK;2333;891.5;M;20251212;20251218;460000;R1;R;RESIDENCE;;AR;;;AV739209;
C;007;197779;8;20251222 01:08;1/154146;
D;007;197779;8;20251222 01:08;P;;;;;;
D;007;197779;8;20251222 01:08;V;;;;;;
