A;RTSALEDATA;251;20251229 01:08;VALNET;
B;251;2675141;1;20251229 01:08;;;73;MANILDRA ST;NARROMINE;2821;735.7;M;20251029;20251219;438000;R1;R;RESIDENCE;;NRN;;;AV746046;
C;251;2675141;1;20251229 01:08;9/249367;
D;251;2675141;1;20251229 01:08;P;;;;;;
D;251;2675141;1;20251229 01:08;V;;;;;;
B;251;2673495;2;20251229 01:08;;;58;WARREN RD;NARROMINE;2821;1.556;H;20251121;20251219;809000;R5;R;RESIDENCE;;NRL;;;AV741377;
C;251;2673495;2;20251229 01:08;2/806839;
D;251;2673495;2;20251229 01:08;P;;;;;;
D;251;2673495;2;20251229 01:08;P;;;;;;
D;251;2673495;2;20251229 01:08;V;;;;;;
D;251;2673495;2;20251229 01:08;V;;;;;;
Z;12;2;2;6;
