A;RTSALEDATA;575;20251222 01:12;VALNET;
B;575;2902642;1;20251222 01:12;;;15;GALING PL;WAGGA WAGGA;2650;385.3;M;20251120;20251217;630000;R3;R;RESIDENCE;;CMD;;;AV727492;
C;575;2902642;1;20251222 01:12;4/1040094;
D;575;2902642;1;20251222 01:12;P;;;;;;
D;575;2902642;1;20251222 01:12;V;;;;;;
B;575;3449021;2;20251222 01:12;;;24;BRINDABELLA DR;TATTON;2650;425.5;M;20251017;20251212;700000;R1;R;RESIDENCE;;RFP;;;AV711370;
C;575;3449021;2;20251222 01:12;3/286224;
D;575;3449021;2;20251222 01:12;P;;;;;;
D;575;3449021;2;20251222 01:12;V;;;;;;
D;575;3449021;2;20251222 01:12;V;;;;;;
B;575;3493421;3;20251222 01:12;;;71;ABBOTS LANE;LADYSMITH;2652;17.849;H;20250925;20251212;1650000;RU1;R;RESIDENCE;;HSR;;;AV711392;
C;575;3493421;3;20251222 01:12;1/661994 75/757253;
D;575;3493421;3;20251222 01:12;P;;;;;;
D;575;3493421;3;20251222 01:12;P;;;;;;
D;575;3493421;3;20251222 01:12;V;;;;;;
D;575;3493421;3;20251222 01:12;V;;;;;;
B;575;4250448;4;20251222 01:12;;;30;ALMA CRES;ESTELLA;2650;705.5;M;20251118;20251217;824000;R1;R;RESIDENCE;;ESN;;;AV730208;
C;575;4250448;4;20251222 01:12;21/1254806;
D;575;4250448;4;20251222 01:12;P;;;;;;
D;575;4250448;4;20251222 01:12;P;;;;;;
D;575;4250448;4;20251222 01:12;V;;;;;;
D;575;4250448;4;20251222 01:12;V;;;;;;
B;575;6026149;5;20251222 01:12;;;18;MONARCH AVE;ESTELLA;2650;828.5;M;20251212;20251218;320000;R1;V;VACANT LAND;;ESR;;;AV734441;
C;575;6026149;5;20251222 01:12;1532/1318011;
D;575;6026149;5;20251222 01:12;P;;;;;;
D;575;6026149;5;20251222 01:12;P;;;;;;
D;575;6026149;5;20251222 01:12;V;;;;;;
B;575;6026152;6;20251222 01:12;;;24;MONARCH AVE;ESTELLA;2650;1072;M;20250923;20251218;350000;R1;V;VACANT LAND;;ESR;;;AV734161;
C;575;6026152;6;20251222 01:12;1535/1318011;
D;575;6026152;6;20251222 01:12;P;;;;;;
D;575;6026152;6;20251222 01:12;V;;;;;;
B;575;6026155;7;20251222 01:12;;;12;OXFORD LOOP;ESTELLA;2650;799.5;M;20251007;20251218;302000;R1;V;VACANT LAND;;ESR;;;AV736830;
C;575;6026155;7;20251222 01:12;1538/1318011;
D;575;6026155;7;20251222 01:12;P;;;;;;
D;575;6026155;7;20251222 01:12;V;;;;;;
B;575;6026156;8;20251222 01:12;;;10;OXFORD LOOP;ESTELLA;2650;799.5;M;20251007;20251212;302000;R1;V;VACANT LAND;;ESR;;;AV707364;
C;575;6026156;8;20251222 01:12;1539/1318011;
D;575;6026156;8;20251222 01:12;P;;;;;;
D;575;6026156;8;20251222 01:12;V;;;;;;
