A;RTSALEDATA;273;20251229 01:09;VALNET;
B;273;442581;1;20251229 01:09;;;4;ARTHUR AVE;COOMA;2630;619.7;M;20251212;20251219;601234;R2;R;RESIDENCE;;C2S;;;AV744638;
C;273;442581;1;20251229 01:09;5/24983;
D;273;442581;1;20251229 01:09;P;;;;;;
D;273;442581;1;20251229 01:09;P;;;;;;
D;273;442581;1;20251229 01:09;V;;;;;;
B;273;443645;2;20251229 01:09;;;20;ELIZABETH ST;COOMA;2630;827.5;M;20251204;20251219;550000;R2;R;RESIDENCE;;C2S;;;AV747166;
C;273;443645;2;20251229 01:09;8/27499;
D;273;443645;2;20251229 01:09;P;;;;;;
D;273;443645;2;20251229 01:09;P;;;;;;
D;273;443645;2;20251229 01:09;V;;;;;;
D;273;443645;2;20251229 01:09;V;;;;;;
B;273;443688;3;20251229 01:09;;;6;GEEBUNG ST;POLO FLAT;2630;1133;M;20251118;20251218;745000;E4;3;COMMERCIAL;;ICP;;;AV740207;
C;273;443688;3;20251229 01:09;9/800391;
D;273;443688;3;20251229 01:09;P;;;;;;
D;273;443688;3;20251229 01:09;P;;;;;;
D;273;443688;3;20251229 01:09;V;;;;;;
D;273;443688;3;20251229 01:09;V;;;;;;
B;273;3618210;4;20251229 01:09;;;1531;BUNGARBY RD;BUNGARBY;2630;1053.8;H;20251205;20251222;3000000;RU1;R;RESIDENCE;;RGL;;;AV752241;
C;273;3618210;4;20251229 01:09;149, 174/756820 3, 5, 39, 41/756850 3/1010064 10/1080696;
D;273;3618210;4;20251229 01:09;P;;;;;;
D;273;3618210;4;20251229 01:09;P;;;;;;
D;273;3618210;4;20251229 01:09;V;;;;;;
D;273;3618210;4;20251229 01:09;V;;;;;;
B;273;2666750;5;20251229 01:09;;;10;MYACK ST;BERRIDALE;2628;1011;M;20251124;20251219;606000;RU5;R;RESIDENCE;;VBE;;;AV746670;
C;273;2666750;5;20251229 01:09;1/569197;
D;273;2666750;5;20251229 01:09;P;;;;;;
D;273;2666750;5;20251229 01:09;P;;;;;;
D;273;2666750;5;20251229 01:09;V;;;;;;
B;273;2662621;6;20251229 01:09;;;13;CAMP ST;ADAMINABY;2629;1562;M;20251125;20251219;780000;RU5;R;RESIDENCE;;VAR;;;AV745124;
C;273;2662621;6;20251229 01:09;185/756677;
D;273;2662621;6;20251229 01:09;P;;;;;;
D;273;2662621;6;20251229 01:09;V;;;;;;
D;273;2662621;6;20251229 01:09;V;;;;;;
B;273;2667574;7;20251229 01:09;;;55;ILLAWONG RD;ANGLERS REACH;2629;664;M;20251119;20251219;470000;RU5;R;RESIDENCE;;VOA;;;AV743832;
C;273;2667574;7;20251229 01:09;18/213212;
D;273;2667574;7;20251229 01:09;P;;;;;;
D;273;2667574;7;20251229 01:09;V;;;;;;
B;273;2667595;8;20251229 01:09;;;56;ILLAWONG RD;ANGLERS REACH;2629;664;M;20251210;20251219;360000;RU5;R;RESIDENCE;;VOA;;;AV744927;
C;273;2667595;8;20251229 01:09;33/213212;
D;273;2667595;8;20251229 01:09;P;;;;;;
D;273;2667595;8;20251229 01:09;V;;;;;;
B;273;2663485;9;20251229 01:09;;1;27;BOGONG ST;JINDABYNE;2627;;;20251127;20251219;805000;;R;RESIDENCE;1;;;;AV743676;
C;273;2663485;9;20251229 01:09;1/SP20712;
D;273;2663485;9;20251229 01:09;P;;;;;;
D;273;2663485;9;20251229 01:09;P;;;;;;
D;273;2663485;9;20251229 01:09;V;;;;;;
B;273;3337088;10;20251229 01:09;;;73;KUNAMA DR;EAST JINDABYNE;2627;1503;M;20251107;20251219;400000;RU5;R;RESIDENCE;;VET;;;AV745749;
C;273;3337088;10;20251229 01:09;33/1116460;
D;273;3337088;10;20251229 01:09;P;;;;;;
D;273;3337088;10;20251229 01:09;P;;;;;;
D;273;3337088;10;20251229 01:09;V;;;;;;
D;273;3337088;10;20251229 01:09;V;;;;;;
B;273;3763197;11;20251229 01:09;;;15;NIANGALA ST;COOMA;2630;831.9;M;20251210;20251222;858000;R2;R;RESIDENCE;;C2N;;;AV752161;
C;273;3763197;11;20251229 01:09;17/1162861;
D;273;3763197;11;20251229 01:09;P;;;;;;
D;273;3763197;11;20251229 01:09;V;;;;;;
D;273;3763197;11;20251229 01:09;V;;;;;;
Z;59;11;11;35;
