A;RTSALEDATA;171;20251229 01:07;VALNET;
B;171;2877465;1;20251229 01:07;;86;2;FALCON WAY;TWEED HEADS SOUTH;2486;;;20251111;20251219;879000;;R;RESIDENCE;19;;;;AV749538;
C;171;2877465;1;20251229 01:07;19/SP68754;
D;171;2877465;1;20251229 01:07;P;;;;;;
D;171;2877465;1;20251229 01:07;V;;;;;;
B;171;3427699;2;20251229 01:07;AZURE BAY;4;48 A;DRY DOCK RD;TWEED HEADS SOUTH;2486;;;20251107;20251219;710000;;R;RESIDENCE;4;;;;AV743358;
C;171;3427699;2;20251229 01:07;4/SP81679;
D;171;3427699;2;20251229 01:07;P;;;;;;
D;171;3427699;2;20251229 01:07;V;;;;;;
D;171;3427699;2;20251229 01:07;V;;;;;;
B;171;3427699;3;20251229 01:07;AZURE BAY;27;33;LLOYD ST;TWEED HEADS SOUTH;2486;;;20251203;20251223;780000;;R;RESIDENCE;27;;;;AV758462;
C;171;3427699;3;20251229 01:07;27/SP81679;
D;171;3427699;3;20251229 01:07;P;;;;;;
D;171;3427699;3;20251229 01:07;P;;;;;;
D;171;3427699;3;20251229 01:07;V;;;;;;
B;171;3429849;4;20251229 01:07;;;13;SOVEREIGN WAY;MURWILLUMBAH;2484;841;M;20251121;20251219;1020000;R2;R;RESIDENCE;;ALR;;;AV744608;
C;171;3429849;4;20251229 01:07;36/1119104;
D;171;3429849;4;20251229 01:07;P;;;;;;
D;171;3429849;4;20251229 01:07;V;;;;;;
D;171;3429849;4;20251229 01:07;V;;;;;;
B;171;3479052;5;20251229 01:07;;24;20;THOMSON ST;TWEED HEADS;2485;;;20251114;20251219;1495000;;R;RESIDENCE;24;;;;AV742670;
C;171;3479052;5;20251229 01:07;24/SP82638;
D;171;3479052;5;20251229 01:07;P;;;;;;
D;171;3479052;5;20251229 01:07;P;;;;;;
D;171;3479052;5;20251229 01:07;V;;;;;;
D;171;3479052;5;20251229 01:07;V;;;;;;
B;171;6017438;6;20251229 01:07;;;;BACK CREEK RD;BACK CREEK;2484;777.5;M;20250620;20250711;650000;RU2;V;VACANT LAND;;RRZ;;;AV276384;
C;171;6017438;6;20251229 01:07;8, 13/877438;
D;171;6017438;6;20251229 01:07;P;;;;;;
D;171;6017438;6;20251229 01:07;P;;;;;;
D;171;6017438;6;20251229 01:07;V;;;;;;
B;171;3051756;7;20251229 01:07;LU ELLE PALMS;2;1;GRAY ST;TWEED HEADS WEST;2485;;;20251119;20251219;660000;;R;RESIDENCE;2;;;;AV743024;
C;171;3051756;7;20251229 01:07;2/SP71205;
D;171;3051756;7;20251229 01:07;P;;;;;;
D;171;3051756;7;20251229 01:07;V;;;;;;
B;171;3133861;8;20251229 01:07;;;108;CRABBES CREEK RD;CRABBES CREEK;2483;2;H;20251105;20251219;1200000;RU2;R;RESIDENCE;;RRB;;;AV742947;
C;171;3133861;8;20251229 01:07;2/800789;
D;171;3133861;8;20251229 01:07;P;;;;;;
D;171;3133861;8;20251229 01:07;P;;;;;;
D;171;3133861;8;20251229 01:07;V;;;;;;
B;171;3606853;9;20251229 01:07;;;36;HUNGERFORD LANE;KINGSCLIFF;2487;322.9;M;20251125;20251223;6000000;R3;R;RESIDENCE;;AKK;;;AV757140;
C;171;3606853;9;20251229 01:07;71/1168804;
D;171;3606853;9;20251229 01:07;P;;;;;;
D;171;3606853;9;20251229 01:07;P;;;;;;
D;171;3606853;9;20251229 01:07;V;;;;;;
B;171;4075547;10;20251229 01:07;;;10;BARTLE FRERE CL;TERRANORA;2486;729.9;M;20251205;20251222;1400000;R1;R;RESIDENCE;;AJZ;;;AV752457;
C;171;4075547;10;20251229 01:07;124/1233026;
D;171;4075547;10;20251229 01:07;P;;;;;;
D;171;4075547;10;20251229 01:07;V;;;;;;
D;171;4075547;10;20251229 01:07;V;;;;;;
B;171;4591410;11;20251229 01:07;;;644;CUDGEN RD;CUDGEN;2487;1072;M;20251216;20251219;1170000;R2;R;RESIDENCE;;AJD;;;AV742924;
C;171;4591410;11;20251229 01:07;7/1307463;
D;171;4591410;11;20251229 01:07;P;;;;;;
D;171;4591410;11;20251229 01:07;V;;;;;;
B;171;1807641;12;20251229 01:07;;4;8;BUCHAN AVE;TWEED HEADS;2485;;;20251124;20251219;766130;;R;RESIDENCE;4;;;;AV745128;
C;171;1807641;12;20251229 01:07;4/SP15749;
D;171;1807641;12;20251229 01:07;P;;;;;;
D;171;1807641;12;20251229 01:07;V;;;;;;
B;171;1805083;13;20251229 01:07;;;7;BANORA HILLS DR;BANORA POINT;2486;673;M;20251124;20251219;1350000;R2;R;RESIDENCE;;AHM;;;AV743642;
C;171;1805083;13;20251229 01:07;78/253699;
D;171;1805083;13;20251229 01:07;P;;;;;;
D;171;1805083;13;20251229 01:07;P;;;;;;
D;171;1805083;13;20251229 01:07;V;;;;;;
B;171;1805162;14;20251229 01:07;;;25;BARNBY ST;MURWILLUMBAH;2484;847.3;M;20251210;20251222;1130000;R2;R;RESIDENCE;;AJQ;;;AV753028;
C;171;1805162;14;20251229 01:07;14/25665;
D;171;1805162;14;20251229 01:07;P;;;;;;
D;171;1805162;14;20251229 01:07;V;;;;;;
D;171;1805162;14;20251229 01:07;V;;;;;;
B;171;1805731;15;20251229 01:07;;;6;BENEVIS PL;TERRANORA;2486;4332;M;20251107;20251219;1300000;R5;R;RESIDENCE;;RRD;;;AV750220;
C;171;1805731;15;20251229 01:07;76/829141;
D;171;1805731;15;20251229 01:07;P;;;;;;
D;171;1805731;15;20251229 01:07;P;;;;;;
D;171;1805731;15;20251229 01:07;V;;;;;;
D;171;1805731;15;20251229 01:07;V;;;;;;
D;171;1805731;15;20251229 01:07;V;;;;;;
B;171;1806294;16;20251229 01:07;KINGSCLIFF BEACH RETIREMENT VILLAGE;10;1;BLUE JAY CCT;KINGSCLIFF;2487;204;M;20250402;20251112;611000;;R;RESIDENCE;10;;;;AV601849;
C;171;1806294;16;20251229 01:07;10/SP51791;
D;171;1806294;16;20251229 01:07;P;;;;;;
D;171;1806294;16;20251229 01:07;V;;;;;;
