A;RTSALEDATA;143;20251222 01:09;VALNET;
B;143;4221284;1;20251222 01:09;;204;12;MANDEMAR AVE;HOMEBUSH WEST;2140;102;M;20251114;20251212;680000;;R;RESIDENCE;13;;;;AV706869;
C;143;4221284;1;20251222 01:09;13/SP99722;
D;143;4221284;1;20251222 01:09;P;;;;;;
D;143;4221284;1;20251222 01:09;V;;;;;;
D;143;4221284;1;20251222 01:09;V;;;;;;
B;143;4241695;2;20251222 01:09;;402 A;37;LOFTUS CRES;HOMEBUSH;2140;124;M;20251105;20251212;745000;;R;RESIDENCE;44;;;;AV709952;
C;143;4241695;2;20251222 01:09;44/SP100242;
D;143;4241695;2;20251222 01:09;P;;;;;;
D;143;4241695;2;20251222 01:09;P;;;;;;
D;143;4241695;2;20251222 01:09;V;;;;;;
B;143;4139102;3;20251222 01:09;;704;16;SMALLWOOD AVE;HOMEBUSH;2140;;;20251031;20251212;545000;;R;RESIDENCE;57;;;;AV709880;
C;143;4139102;3;20251222 01:09;57/SP94433;
D;143;4139102;3;20251222 01:09;P;;;;;;
D;143;4139102;3;20251222 01:09;V;;;;;;
B;143;2920592;4;20251222 01:09;;131;14;STATION ST;HOMEBUSH;2140;;;20251121;20251217;710000;;R;RESIDENCE;131;;;;AV727448;
C;143;2920592;4;20251222 01:09;131/SP69526;
D;143;2920592;4;20251222 01:09;P;;;;;;
D;143;2920592;4;20251222 01:09;V;;;;;;
B;143;3069133;5;20251222 01:09;;16;76;COURALLIE AVE;HOMEBUSH WEST;2140;;;20251111;20251216;500000;;R;RESIDENCE;16;;;;AV725797;
C;143;3069133;5;20251222 01:09;16/SP72259;
D;143;3069133;5;20251222 01:09;P;;;;;;
D;143;3069133;5;20251222 01:09;V;;;;;;
D;143;3069133;5;20251222 01:09;V;;;;;;
B;143;4053683;6;20251222 01:09;;11;43;MACKENZIE ST;STRATHFIELD;2135;292;M;20251114;20251215;2258000;;R;RESIDENCE;11;;;;AV714666;
C;143;4053683;6;20251222 01:09;11/SP95914;
D;143;4053683;6;20251222 01:09;P;;;;;;
D;143;4053683;6;20251222 01:09;V;;;;;;
D;143;4053683;6;20251222 01:09;V;;;;;;
B;143;4065217;7;20251222 01:09;;606;19;PARRAMATTA RD;HOMEBUSH;2140;75;M;20251121;20251218;545000;;R;RESIDENCE;74;;;;AV736674;
