A;RTSALEDATA;223;20251222 01:10;VALNET;
B;223;2477580;1;20251222 01:10;;8;21 A;BATHURST ST;LIVERPOOL;2170;;;20251104;20251216;405000;;R;RESIDENCE;8;;;;AV723286;
C;223;2477580;1;20251222 01:10;8/SP3625;
D;223;2477580;1;20251222 01:10;P;;;;;;
D;223;2477580;1;20251222 01:10;V;;;;;;
B;223;2485529;2;20251222 01:10;;;34;COOPER AVE;MOOREBANK;2170;724.8;M;20251028;20251215;1480000;R2;R;RESIDENCE;;LPP;;;AV717232;
C;223;2485529;2;20251222 01:10;39, 40/2/2429;
D;223;2485529;2;20251222 01:10;P;;;;;;
D;223;2485529;2;20251222 01:10;P;;;;;;
D;223;2485529;2;20251222 01:10;V;;;;;;
B;223;2477665;3;20251222 01:10;;25;57;BATHURST ST;LIVERPOOL;2170;;;20251128;20251212;490000;;R;RESIDENCE;25;;;;AV711773;
C;223;2477665;3;20251222 01:10;25/SP61831;
D;223;2477665;3;20251222 01:10;P;;;;;;
D;223;2477665;3;20251222 01:10;V;;;;;;
B;223;2477817;4;20251222 01:10;;5;2;BEALE ST;LIVERPOOL;2170;;;20251106;20251218;454000;;R;RESIDENCE;5;;;;AV738656;
C;223;2477817;4;20251222 01:10;5/SP13896;
D;223;2477817;4;20251222 01:10;P;;;;;;
D;223;2477817;4;20251222 01:10;P;;;;;;
D;223;2477817;4;20251222 01:10;V;;;;;;
B;223;2477852;5;20251222 01:10;;10;4;BEALE ST;LIVERPOOL;2170;;;20251103;20251215;470000;;R;RESIDENCE;10;;;;AV715279;
C;223;2477852;5;20251222 01:10;10/SP13895;
D;223;2477852;5;20251222 01:10;P;;;;;;
D;223;2477852;5;20251222 01:10;V;;;;;;
D;223;2477852;5;20251222 01:10;V;;;;;;
B;223;2477852;6;20251222 01:10;;14;4;BEALE ST;LIVERPOOL;2170;;;20251112;20251218;320000;;R;RESIDENCE;14;;;;AV737111;
C;223;2477852;6;20251222 01:10;14/SP13895;
D;223;2477852;6;20251222 01:10;P;;;;;;
D;223;2477852;6;20251222 01:10;V;;;;;;
B;223;2475523;7;20251222 01:10;;;8;ARROWFIELD DR;WATTLE GROVE;2173;675;M;20251109;20251218;1800000;R3;R;RESIDENCE;;LQQ;;;AV737285;
C;223;2475523;7;20251222 01:10;6016/817613;
D;223;2475523;7;20251222 01:10;P;;;;;;
D;223;2475523;7;20251222 01:10;P;;;;;;
D;223;2475523;7;20251222 01:10;V;;;;;;
D;223;2475523;7;20251222 01:10;V;;;;;;
B;223;2478263;8;20251222 01:10;;;2;BERGALIA CL;PRESTONS;2170;469.9;M;20251031;20251212;1125000;R2;R;RESIDENCE;;MPP;;;AV710843;
C;223;2478263;8;20251222 01:10;401/869437;
D;223;2478263;8;20251222 01:10;P;;;;;;
D;223;2478263;8;20251222 01:10;V;;;;;;
D;223;2478263;8;20251222 01:10;V;;;;;;
B;223;2480913;9;20251222 01:10;;;94;BUGONG ST;PRESTONS;2170;394.4;M;20251103;20251215;970000;R2;R;RESIDENCE;;MPP;;;AV714907;
C;223;2480913;9;20251222 01:10;77/864948;
D;223;2480913;9;20251222 01:10;P;;;;;;
D;223;2480913;9;20251222 01:10;P;;;;;;
D;223;2480913;9;20251222 01:10;V;;;;;;
B;223;2480989;10;20251222 01:10;;;4;BULLI CL;PRESTONS;2170;540.9;M;20251110;20251218;1285000;R2;R;RESIDENCE;;MPP;;;AV736134;
C;223;2480989;10;20251222 01:10;71/876128;
D;223;2480989;10;20251222 01:10;P;;;;;;
D;223;2480989;10;20251222 01:10;P;;;;;;
D;223;2480989;10;20251222 01:10;V;;;;;;
B;223;2487239;11;20251222 01:10;;;2;DALMENY DR;PRESTONS;2170;543.5;M;20251030;20251218;1800000;R2;R;RESIDENCE;;MPP;;;AV737645;
C;223;2487239;11;20251222 01:10;105/1007419;
D;223;2487239;11;20251222 01:10;P;;;;;;
D;223;2487239;11;20251222 01:10;P;;;;;;
D;223;2487239;11;20251222 01:10;V;;;;;;
