A;RTSALEDATA;275;20251222 01:12;VALNET;
B;275;1229024;1;20251222 01:12;;;20;JOHNS AVE;DUBBO;2830;755.4;M;20251030;20251212;560000;R2;R;RESIDENCE;;LDS;;;AV706800;
C;275;1229024;1;20251222 01:12;32/576282;
D;275;1229024;1;20251222 01:12;P;;;;;;
D;275;1229024;1;20251222 01:12;P;;;;;;
D;275;1229024;1;20251222 01:12;V;;;;;;
B;275;1229116;2;20251222 01:12;;;8;JUBILEE ST;DUBBO;2830;674;M;20251017;20251215;615000;R2;R;RESIDENCE;;LDS;;;AV716575;
C;275;1229116;2;20251222 01:12;A/314149;
D;275;1229116;2;20251222 01:12;P;;;;;;
D;275;1229116;2;20251222 01:12;V;;;;;;
B;275;1223724;3;20251222 01:12;;;2 L;BOUNDARY CREEK RD;DUBBO;2830;10.02;H;20251113;20251212;803000;RU2;R;RESIDENCE;;RFR;;;AV711263;
C;275;1223724;3;20251222 01:12;72/251842;
D;275;1223724;3;20251222 01:12;P;;;;;;
D;275;1223724;3;20251222 01:12;P;;;;;;
D;275;1223724;3;20251222 01:12;V;;;;;;
B;275;1226578;4;20251222 01:12;;;25;DOUGLAS MAWSON RD;DUBBO;2830;3286;M;20251105;20251217;1222000;E4;3;COMMERCIAL;;DIE;;;AV727872;
C;275;1226578;4;20251222 01:12;334/599803;
D;275;1226578;4;20251222 01:12;P;;;;;;
D;275;1226578;4;20251222 01:12;P;;;;;;
D;275;1226578;4;20251222 01:12;V;;;;;;
B;275;1232006;5;20251222 01:12;;;51;OXLEY CIR;DUBBO;2830;850.6;M;20251103;20251212;615000;R2;R;RESIDENCE;;LDE;;;AV709502;
C;275;1232006;5;20251222 01:12;87/246392;
D;275;1232006;5;20251222 01:12;P;;;;;;
D;275;1232006;5;20251222 01:12;P;;;;;;
D;275;1232006;5;20251222 01:12;V;;;;;;
B;275;1223850;6;20251222 01:12;;;79;BOURKE ST;DUBBO;2830;809.4;M;20251118;20251218;450510;R1;R;RESIDENCE;;GRN;;;AV738293;
C;275;1223850;6;20251222 01:12;13/1064594;
D;275;1223850;6;20251222 01:12;P;;;;;;
D;275;1223850;6;20251222 01:12;P;;;;;;
D;275;1223850;6;20251222 01:12;V;;;;;;
D;275;1223850;6;20251222 01:12;V;;;;;;
B;275;1232197;7;20251222 01:12;;;16;PARK ST;DUBBO;2830;1035;M;20251031;20251212;1065000;R1;R;RESIDENCE;;GRU;;;AV713192;
C;275;1232197;7;20251222 01:12;1/199844;
D;275;1232197;7;20251222 01:12;P;;;;;;
D;275;1232197;7;20251222 01:12;V;;;;;;
B;275;1226913;8;20251222 01:12;;;38;ELIZABETH ST;DUBBO;2830;635.82;M;20251121;20251216;540000;R1;R;RESIDENCE;;GRN;;;AV721366;
C;275;1226913;8;20251222 01:12;4/25860;
D;275;1226913;8;20251222 01:12;P;;;;;;
D;275;1226913;8;20251222 01:12;P;;;;;;
D;275;1226913;8;20251222 01:12;V;;;;;;
B;275;1224262;9;20251222 01:12;;;114;BULTJE ST;DUBBO;2830;682.9;M;20251106;20251212;795000;MU1;R;RESIDENCE;;DMU;;;AV709979;
C;275;1224262;9;20251222 01:12;5/225613;
D;275;1224262;9;20251222 01:12;P;;;;;;
D;275;1224262;9;20251222 01:12;V;;;;;;
D;275;1224262;9;20251222 01:12;V;;;;;;
B;275;1227334;10;20251222 01:12;;1;228;FITZROY ST;DUBBO;2830;1012;M;20251029;20251215;1590000;R2;R;RESIDENCE;;LDU;;;AV716720;
C;275;1227334;10;20251222 01:12;1/525793;
D;275;1227334;10;20251222 01:12;P;;;;;;
D;275;1227334;10;20251222 01:12;V;;;;;;
B;275;1235405;11;20251222 01:12;;;377;WHEELERS LANE;DUBBO;2830;686;M;20251125;20251216;595000;R2;R;RESIDENCE;;LDF;;;AV723611;
C;275;1235405;11;20251222 01:12;6/259867;
D;275;1235405;11;20251222 01:12;P;;;;;;
D;275;1235405;11;20251222 01:12;P;;;;;;
D;275;1235405;11;20251222 01:12;V;;;;;;
D;275;1235405;11;20251222 01:12;V;;;;;;
B;275;1230135;12;20251222 01:12;;;264;MACQUARIE ST;DUBBO;2830;765.1;M;20251015;20251216;1120000;E2;3;COMMERCIAL;;DCC;;;AV723357;
C;275;1230135;12;20251222 01:12;B/349702;
D;275;1230135;12;20251222 01:12;P;;;;;;
D;275;1230135;12;20251222 01:12;V;;;;;;
B;275;1232801;13;20251222 01:12;;;19 R;ROCKY RD;DUBBO;2830;14.95;H;20251103;20251216;2400000;RU4;R;RESIDENCE;;RIR;;;AV723340;
C;275;1232801;13;20251222 01:12;14/258406;
D;275;1232801;13;20251222 01:12;P;;;;;;
D;275;1232801;13;20251222 01:12;V;;;;;;
D;275;1232801;13;20251222 01:12;V;;;;;;
B;275;1227731;14;20251222 01:12;;;10;GASNIER PL;DUBBO;2830;783.1;M;20251121;20251212;745000;R2;R;RESIDENCE;;LDE;;;AV711830;
C;275;1227731;14;20251222 01:12;40/839402;
D;275;1227731;14;20251222 01:12;P;;;;;;
D;275;1227731;14;20251222 01:12;P;;;;;;
D;275;1227731;14;20251222 01:12;V;;;;;;
B;275;1233176;15;20251222 01:12;;;12 L;SANDY PINES RD;DUBBO;2830;10.53;H;20251112;20251215;1035000;RU2;R;RESIDENCE;;RFR;;;AV715403;
C;275;1233176;15;20251222 01:12;11/255376;
D;275;1233176;15;20251222 01:12;P;;;;;;
D;275;1233176;15;20251222 01:12;P;;;;;;
D;275;1233176;15;20251222 01:12;V;;;;;;
D;275;1233176;15;20251222 01:12;V;;;;;;
B;275;1235814;16;20251222 01:12;;;96;WINGEWARRA ST;DUBBO;2830;752.5;M;20251018;20251216;815000;MU1;3;COMMERCIAL;;DMU;;;AV723305;
C;275;1235814;16;20251222 01:12;23/320847;
D;275;1235814;16;20251222 01:12;P;;;;;;
D;275;1235814;16;20251222 01:12;V;;;;;;
D;275;1235814;16;20251222 01:12;V;;;;;;
B;275;1227876;17;20251222 01:12;;;9;GILLIS ST;DUBBO;2830;1290;M;20251114;20251218;695000;R2;R;RESIDENCE;;LDE;;;AV733695;
C;275;1227876;17;20251222 01:12;31/23530;
D;275;1227876;17;20251222 01:12;P;;;;;;
D;275;1227876;17;20251222 01:12;V;;;;;;
D;275;1227876;17;20251222 01:12;V;;;;;;
B;275;1228172;18;20251222 01:12;;;7;GREENSLOPES CT;DUBBO;2830;714.5;M;20251023;20251216;795000;R2;R;RESIDENCE;;LDD;;;AV721265;
C;275;1228172;18;20251222 01:12;4/240236;
D;275;1228172;18;20251222 01:12;P;;;;;;
D;275;1228172;18;20251222 01:12;P;;;;;;
D;275;1228172;18;20251222 01:12;V;;;;;;
D;275;1228172;18;20251222 01:12;V;;;;;;
B;275;1222670;19;20251222 01:12;;;13;BALMORAL PL;DUBBO;2830;900;M;20251124;20251218;670000;R2;R;RESIDENCE;;LDF;;;AV739321;
C;275;1222670;19;20251222 01:12;304/262470;
D;275;1222670;19;20251222 01:12;P;;;;;;
D;275;1222670;19;20251222 01:12;P;;;;;;
D;275;1222670;19;20251222 01:12;V;;;;;;
B;275;1228394;20;20251222 01:12;;;4;HAZELWOOD DR;DUBBO;2830;784.1;M;20251028;20251216;500000;R2;R;RESIDENCE;;LDD;;;AV725721;
C;275;1228394;20;20251222 01:12;2/229075;
D;275;1228394;20;20251222 01:12;P;;;;;;
D;275;1228394;20;20251222 01:12;V;;;;;;
D;275;1228394;20;20251222 01:12;V;;;;;;
B;275;1233818;21;20251222 01:12;;;36;STERLING ST;DUBBO;2830;812.18;M;20251020;20251215;947000;R2;R;RESIDENCE;;LDS;;;AV720685;
C;275;1233818;21;20251222 01:12;3/12113;
D;275;1233818;21;20251222 01:12;P;;;;;;
D;275;1233818;21;20251222 01:12;V;;;;;;
B;275;1223209;22;20251222 01:12;;;130;BIRCH AVE;DUBBO;2830;800;M;20251106;20251218;600000;R2;R;RESIDENCE;;LDF;;;AV735056;
C;275;1223209;22;20251222 01:12;207/262001;
D;275;1223209;22;20251222 01:12;P;;;;;;
D;275;1223209;22;20251222 01:12;V;;;;;;
B;275;1223363;23;20251222 01:12;;;147;BIRCH AVE;DUBBO;2830;722;M;20251126;20251218;730000;R2;R;RESIDENCE;;LDF;;;AV734135;
C;275;1223363;23;20251222 01:12;109/834286;
D;275;1223363;23;20251222 01:12;P;;;;;;
D;275;1223363;23;20251222 01:12;V;;;;;;
B;275;6023416;24;20251222 01:12;;3;19 R;ROSEDALE RD;DUBBO;2830;8;H;20251114;20251215;635000;R5;R;RESIDENCE;;LRR;;;AV720687;
C;275;6023416;24;20251222 01:12;4/271564;
D;275;6023416;24;20251222 01:12;P;;;;;;
D;275;6023416;24;20251222 01:12;P;;;;;;
D;275;6023416;24;20251222 01:12;V;;;;;;
B;275;6033728;25;20251222 01:12;;;8;ZILLIE CL;DUBBO;2830;420.1;H;20250917;20251217;161700;;V;VACANT LAND;;;;;AV727418;
C;275;6033728;25;20251222 01:12;1804/1318131;
D;275;6033728;25;20251222 01:12;P;;;;;;
D;275;6033728;25;20251222 01:12;V;;;;;;
B;275;6029764;26;20251222 01:12;;;33;DELTA RD;DUBBO;2830;2025;M;20251024;20251218;460000;R2;V;VACANT LAND;;LDN;;;AV737565;
