A;RTSALEDATA;008;20251222 01:08;VALNET;
B;008;2860156;1;20251222 01:08;;;62 A;DECORA CRES;WARABROOK;2304;391.5;M;20251119;20251218;871000;R2;R;RESIDENCE;;AJW;;;AV736423;
C;008;2860156;1;20251222 01:08;461/850267;
D;008;2860156;1;20251222 01:08;P;;;;;;
D;008;2860156;1;20251222 01:08;P;;;;;;
D;008;2860156;1;20251222 01:08;V;;;;;;
B;008;3033160;2;20251222 01:08;;2;31;MEREWETHER ST;MEREWETHER;2291;;;20251105;20251218;1205000;;R;RESIDENCE;2;;;;AV736510;
C;008;3033160;2;20251222 01:08;2/SP66362;
D;008;3033160;2;20251222 01:08;P;;;;;;
D;008;3033160;2;20251222 01:08;V;;;;;;
D;008;3033160;2;20251222 01:08;V;;;;;;
D;008;3033160;2;20251222 01:08;V;;;;;;
B;008;2832393;3;20251222 01:08;;;54;BEAUMONT ST;HAMILTON;2303;819.5;M;20251104;20251217;4100000;E1;3;SHOP;;CNF;;;AV729290;
C;008;2832393;3;20251222 01:08;10/1028613;
D;008;2832393;3;20251222 01:08;P;;;;;;
D;008;2832393;3;20251222 01:08;V;;;;;;
B;008;2892537;4;20251222 01:08;;;9;WIBBI ST;MARYLAND;2287;777.6;M;20251119;20251217;1250000;R2;R;RESIDENCE;;AAA;;;AV728367;
C;008;2892537;4;20251222 01:08;1505/1037425;
D;008;2892537;4;20251222 01:08;P;;;;;;
D;008;2892537;4;20251222 01:08;P;;;;;;
D;008;2892537;4;20251222 01:08;V;;;;;;
B;008;2924980;5;20251222 01:08;;;641 A;GLEBE RD;ADAMSTOWN;2289;212;M;20251211;20251217;150000;R4;R;RESIDENCE;;AFR;;;AV728636;
C;008;2924980;5;20251222 01:08;20/1043218;
D;008;2924980;5;20251222 01:08;P;;;;;;
D;008;2924980;5;20251222 01:08;V;;;;;;
B;008;207644;6;20251222 01:08;;5;53;BOUSFIELD ST;WALLSEND;2287;;;20251104;20251212;655000;;R;RESIDENCE;5;;;;AV712069;
C;008;207644;6;20251222 01:08;5/SP69451;
D;008;207644;6;20251222 01:08;P;;;;;;
