A;RTSALEDATA;159;20251229 01:07;VALNET;
B;159;1744851;1;20251229 01:07;;;214;BALLINA RD;LISMORE;2480;897.9;M;20251210;20251222;575000;R1;R;RESIDENCE;;ADD;;;AV754913;
C;159;1744851;1;20251229 01:07;3/409877;
D;159;1744851;1;20251229 01:07;P;;;;;;
D;159;1744851;1;20251229 01:07;V;;;;;;
D;159;1744851;1;20251229 01:07;V;;;;;;
B;159;1752245;2;20251229 01:07;;;6;AMBER ST;GOONELLABAH;2480;865.1;M;20251104;20251219;745000;R1;R;RESIDENCE;;AHH;;;AV748082;
C;159;1752245;2;20251229 01:07;15/836236;
D;159;1752245;2;20251229 01:07;P;;;;;;
D;159;1752245;2;20251229 01:07;P;;;;;;
D;159;1752245;2;20251229 01:07;V;;;;;;
D;159;1752245;2;20251229 01:07;V;;;;;;
B;159;1754998;3;20251229 01:07;;;61;UNION ST;SOUTH LISMORE;2480;579.9;M;20251205;20251219;180000;E1;R;RESIDENCE;;ECC;;;AV748080;
C;159;1754998;3;20251229 01:07;102/857808;
D;159;1754998;3;20251229 01:07;P;;;;;;
D;159;1754998;3;20251229 01:07;V;;;;;;
D;159;1754998;3;20251229 01:07;V;;;;;;
B;159;1757946;4;20251229 01:07;;;180;WHIAN WHIAN RD;WHIAN WHIAN;2480;17.81;H;20251125;20251219;2630000;RU1;3;FARM;;RUK;;;AV750959;
C;159;1757946;4;20251229 01:07;1/118985 1/973903;
D;159;1757946;4;20251229 01:07;P;;;;;;
D;159;1757946;4;20251229 01:07;P;;;;;;
D;159;1757946;4;20251229 01:07;V;;;;;;
D;159;1757946;4;20251229 01:07;V;;;;;;
B;159;1747360;5;20251229 01:07;;;35;DEEGAN DR;GOONELLABAH;2480;823;M;20251015;20251219;905000;R1;R;RESIDENCE;;APP;;;AV749290;
C;159;1747360;5;20251229 01:07;30/255009;
D;159;1747360;5;20251229 01:07;P;;;;;;
D;159;1747360;5;20251229 01:07;P;;;;;;
D;159;1747360;5;20251229 01:07;V;;;;;;
D;159;1747360;5;20251229 01:07;V;;;;;;
B;159;1747495;6;20251229 01:07;;;42;DIADEM ST;LISMORE;2480;646.9;M;20251120;20251218;585000;R3;R;RESIDENCE;;ADA;;;AV735947;
C;159;1747495;6;20251229 01:07;3/4555;
D;159;1747495;6;20251229 01:07;P;;;;;;
D;159;1747495;6;20251229 01:07;P;;;;;;
D;159;1747495;6;20251229 01:07;V;;;;;;
B;159;1750065;7;20251229 01:07;;;8;JAMES ST;GIRARDS HILL;2480;843.1;M;20251201;20251219;672779;R1;R;RESIDENCE;;AEE;;;AV741026;
C;159;1750065;7;20251229 01:07;1/781096;
D;159;1750065;7;20251229 01:07;P;;;;;;
D;159;1750065;7;20251229 01:07;V;;;;;;
B;159;1755508;8;20251229 01:07;;;33;WILLIAM BLAIR AVE;GOONELLABAH;2480;695.6;M;20251211;20251219;535000;R1;R;RESIDENCE;;AJJ;;;AV747272;
C;159;1755508;8;20251229 01:07;25/239507;
D;159;1755508;8;20251229 01:07;P;;;;;;
D;159;1755508;8;20251229 01:07;P;;;;;;
D;159;1755508;8;20251229 01:07;V;;;;;;
D;159;1755508;8;20251229 01:07;V;;;;;;
B;159;1758834;9;20251229 01:07;;;63;ZOUCH RD;STONY CHUTE;2480;5.061;H;20251217;20251219;900000;RU1;R;RESIDENCE;;RHW;;;AV750267;
C;159;1758834;9;20251229 01:07;2/746876;
