A;RTSALEDATA;139;20251222 01:09;VALNET;
B;139;1904051;1;20251222 01:09;;57;100;WILLIAM ST;FIVE DOCK;2046;;;20250916;20251216;1450000;;R;RESIDENCE;26;;;;AV723413;
C;139;1904051;1;20251222 01:09;26/SP64727;
D;139;1904051;1;20251222 01:09;P;;;;;;
D;139;1904051;1;20251222 01:09;V;;;;;;
D;139;1904051;1;20251222 01:09;V;;;;;;
D;139;1904051;1;20251222 01:09;V;;;;;;
B;139;1455578;2;20251222 01:09;CONCORD SCHOOL OF ARTS;16;4;PARRAMATTA RD;STRATHFIELD;2135;;;20251101;20251215;560000;;R;RESIDENCE;16;;;;AV714057;
C;139;1455578;2;20251222 01:09;16/SP65828;
D;139;1455578;2;20251222 01:09;P;;;;;;
D;139;1455578;2;20251222 01:09;V;;;;;;
B;139;2981120;3;20251222 01:09;NAUTICA APARTMENTS;17;2;BECHERT RD;CHISWICK;2046;;;20250915;20251218;1205000;;R;RESIDENCE;17;;;;AV737052;
C;139;2981120;3;20251222 01:09;17/SP69974;
D;139;2981120;3;20251222 01:09;P;;;;;;
D;139;2981120;3;20251222 01:09;V;;;;;;
D;139;2981120;3;20251222 01:09;V;;;;;;
B;139;3444890;4;20251222 01:09;;812;15;PENINSULA DR;BREAKFAST POINT;2137;;;20250905;20251215;2730000;;R;RESIDENCE;80;;;;AV719958;
C;139;3444890;4;20251222 01:09;80/SP82025;
D;139;3444890;4;20251222 01:09;P;;;;;;
D;139;3444890;4;20251222 01:09;P;;;;;;
D;139;3444890;4;20251222 01:09;V;;;;;;
B;139;3452399;5;20251222 01:09;BUILDING D;613;91;SHORELINE DR;RHODES;2138;128;M;20251104;20251216;880000;;R;RESIDENCE;124;;;;AV722019;
C;139;3452399;5;20251222 01:09;124/SP81965;
D;139;3452399;5;20251222 01:09;P;;;;;;
D;139;3452399;5;20251222 01:09;V;;;;;;
D;139;3452399;5;20251222 01:09;V;;;;;;
B;139;4171381;6;20251222 01:09;;205;16;HILLY ST;MORTLAKE;2137;;;20250814;20251215;815000;;R;RESIDENCE;47;;;;AV719270;
C;139;4171381;6;20251222 01:09;47/SP95582;
D;139;4171381;6;20251222 01:09;P;;;;;;
D;139;4171381;6;20251222 01:09;P;;;;;;
D;139;4171381;6;20251222 01:09;V;;;;;;
B;139;4171381;7;20251222 01:09;;505;5;NORTHCOTE ST;MORTLAKE;2137;;;20251112;20251215;835000;;R;RESIDENCE;148;;;;AV720606;
C;139;4171381;7;20251222 01:09;148/SP95582;
D;139;4171381;7;20251222 01:09;P;;;;;;
