A;RTSALEDATA;255;20251229 01:08;VALNET;
B;255;4179553;1;20251229 01:08;;;189 B;GOL GOL NORTH RD;GOL GOL;2738;7091;M;20251201;20251223;560000;R5;R;RESIDENCE;;RRG;;;AV756620;
C;255;4179553;1;20251229 01:08;15/1248641;
D;255;4179553;1;20251229 01:08;P;;;;;;
D;255;4179553;1;20251229 01:08;P;;;;;;
D;255;4179553;1;20251229 01:08;V;;;;;;
B;255;6009925;2;20251229 01:08;;;10;TWO UP DR;BURONGA;2739;3115;M;20251021;20251219;411180;E4;V;VACANT LAND;;EBI;;;AV750673;
C;255;6009925;2;20251229 01:08;23/1305730;
D;255;6009925;2;20251229 01:08;P;;;;;;
D;255;6009925;2;20251229 01:08;V;;;;;;
B;255;2953396;3;20251229 01:08;;;14;HELENA ST;WENTWORTH;2648;503;M;20251125;20251219;340000;E1;R;RESIDENCE;;EWC;;;AV750194;
C;255;2953396;3;20251229 01:08;2/1047443;
D;255;2953396;3;20251229 01:08;P;;;;;;
D;255;2953396;3;20251229 01:08;P;;;;;;
D;255;2953396;3;20251229 01:08;P;;;;;;
D;255;2953396;3;20251229 01:08;V;;;;;;
B;255;4501311;4;20251229 01:08;;;44;LIVINGSTONE DR;GOL GOL;2738;830;M;20251217;20251222;170000;RU5;V;VACANT LAND;;AV1;;;AV754165;
C;255;4501311;4;20251229 01:08;36/1296843;
D;255;4501311;4;20251229 01:08;P;;;;;;
D;255;4501311;4;20251229 01:08;P;;;;;;
D;255;4501311;4;20251229 01:08;V;;;;;;
B;255;4533201;5;20251229 01:08;;;25;GRANDVIEW DR;BURONGA;2739;716;M;20251126;20251219;172250;RU5;V;VACANT LAND;;AA1;;;AV743016;
C;255;4533201;5;20251229 01:08;43/1300121;
D;255;4533201;5;20251229 01:08;P;;;;;;
D;255;4533201;5;20251229 01:08;P;;;;;;
D;255;4533201;5;20251229 01:08;V;;;;;;
B;255;2686226;6;20251229 01:08;;;53;MITCHELL AVE;DARETON;2717;733.5;M;20251203;20251219;350000;RU5;R;RESIDENCE;;AJ1;;;AV744617;
C;255;2686226;6;20251229 01:08;15/8/758338;
D;255;2686226;6;20251229 01:08;P;;;;;;
D;255;2686226;6;20251229 01:08;P;;;;;;
D;255;2686226;6;20251229 01:08;V;;;;;;
B;255;3262075;7;20251229 01:08;;;9;SUMMER DR;BURONGA;2739;1197;M;20251103;20251222;805000;RU5;R;RESIDENCE;;AA1;;;AV751682;
C;255;3262075;7;20251229 01:08;50/1098922;
D;255;3262075;7;20251229 01:08;P;;;;;;
D;255;3262075;7;20251229 01:08;V;;;;;;
D;255;3262075;7;20251229 01:08;V;;;;;;
B;255;3309529;8;20251229 01:08;;;26;CARRAMAR DR;GOL GOL;2738;2081;M;20251002;20251222;1550000;RU5;R;RESIDENCE;;AV1;;;AV754164;
C;255;3309529;8;20251229 01:08;1/1110792;
D;255;3309529;8;20251229 01:08;P;;;;;;
D;255;3309529;8;20251229 01:08;P;;;;;;
D;255;3309529;8;20251229 01:08;V;;;;;;
B;255;4263741;9;20251229 01:08;;;30;LEE CT;GOL GOL;2738;806;M;20251202;20251219;170000;RU5;V;VACANT LAND;;AV1;;;AV750733;
C;255;4263741;9;20251229 01:08;44/1259103;
D;255;4263741;9;20251229 01:08;P;;;;;;
D;255;4263741;9;20251229 01:08;P;;;;;;
D;255;4263741;9;20251229 01:08;V;;;;;;
Z;47;9;9;27;
