A;RTSALEDATA;231;20251229 01:08;VALNET;
B;231;2608017;1;20251229 01:08;;;10;ROBERT ST;UNGARIE;2669;1012;M;20251201;20251219;270000;RU5;R;RESIDENCE;;VUG;;;AV741104;
C;231;2608017;1;20251229 01:08;6/G/8548;
D;231;2608017;1;20251229 01:08;P;;;;;;
D;231;2608017;1;20251229 01:08;P;;;;;;
D;231;2608017;1;20251229 01:08;V;;;;;;
D;231;2608017;1;20251229 01:08;V;;;;;;
B;231;2608675;2;20251229 01:08;;;23;NEELD ST;WYALONG;2671;2024;M;20250926;20251024;335000;E3;R;RESIDENCE;;BPS;;;AV542298;
C;231;2608675;2;20251229 01:08;11, 12/21/759123;
D;231;2608675;2;20251229 01:08;P;;;;;;
D;231;2608675;2;20251229 01:08;V;;;;;;
B;231;2608794;3;20251229 01:08;;;15;BOUNDARY ST;WEST WYALONG;2671;1012;M;20251216;20251219;575000;R1;R;RESIDENCE;;WWN;;;AV741084;
C;231;2608794;3;20251229 01:08;1089/753135;
D;231;2608794;3;20251229 01:08;P;;;;;;
D;231;2608794;3;20251229 01:08;V;;;;;;
D;231;2608794;3;20251229 01:08;V;;;;;;
B;231;2609549;4;20251229 01:08;;;263;NEELD ST;WEST WYALONG;2671;2069.2;M;20251219;20251223;2300000;E3;3;COMMERCIAL;;BPS;;;AV757358;
C;231;2609549;4;20251229 01:08;1/726940 1031, 1032/753135;
D;231;2609549;4;20251229 01:08;P;;;;;;
D;231;2609549;4;20251229 01:08;V;;;;;;
B;231;2609761;5;20251229 01:08;;;19;PERSEVERANCE ST;WEST WYALONG;2671;1113;M;20251121;20251222;340000;R1;R;RESIDENCE;;WWS;;;AV752112;
C;231;2609761;5;20251229 01:08;884/753135;
D;231;2609761;5;20251229 01:08;P;;;;;;
D;231;2609761;5;20251229 01:08;V;;;;;;
B;231;2607131;6;20251229 01:08;;;2913;MARY GILMORE WAY;BARMEDMAN;2668;5.375;H;20251212;20251219;615000;RU1;R;RESIDENCE;;RBM;;;AV743020;
C;231;2607131;6;20251229 01:08;PT 144, PT 161, PT 163/750607;
D;231;2607131;6;20251229 01:08;P;;;;;;
D;231;2607131;6;20251229 01:08;V;;;;;;
B;231;2851920;7;20251229 01:08;;;261;NEELD ST;WYALONG;2671;1748.2;M;20251219;20251223;2300000;E3;R;RESIDENCE;;BPS;;;AV757359;
C;231;2851920;7;20251229 01:08;5/111797 2/726940 1388/728831 1033/753135;
D;231;2851920;7;20251229 01:08;P;;;;;;
D;231;2851920;7;20251229 01:08;V;;;;;;
D;231;2851920;7;20251229 01:08;V;;;;;;
Z;34;7;7;18;
