A;RTSALEDATA;272;20251229 01:09;VALNET;
B;272;2881394;1;20251229 01:09;;;12;STONEHAVEN CCT;QUEANBEYAN EAST;2620;463.6;M;20251205;20251219;870000;R2;R;RESIDENCE;;AWH;;;AV746344;
C;272;2881394;1;20251229 01:09;27/1036364;
D;272;2881394;1;20251229 01:09;P;;;;;;
D;272;2881394;1;20251229 01:09;P;;;;;;
D;272;2881394;1;20251229 01:09;V;;;;;;
D;272;2881394;1;20251229 01:09;V;;;;;;
B;272;4210643;2;20251229 01:09;;;92;ERSKINE LOOP;GOOGONG;2620;490;M;20251211;20251219;1060000;R1;R;RESIDENCE;;DGA;;;AV744839;
C;272;4210643;2;20251229 01:09;273/1250266;
D;272;4210643;2;20251229 01:09;P;;;;;;
D;272;4210643;2;20251229 01:09;P;;;;;;
D;272;4210643;2;20251229 01:09;V;;;;;;
D;272;4210643;2;20251229 01:09;V;;;;;;
B;272;456460;3;20251229 01:09;;4;5;CHARLES ST;QUEANBEYAN;2620;;;20251208;20251219;235000;;R;RESIDENCE;4;;;;AV744406;
C;272;456460;3;20251229 01:09;4/SP7931;
D;272;456460;3;20251229 01:09;P;;;;;;
D;272;456460;3;20251229 01:09;V;;;;;;
B;272;447197;4;20251229 01:09;;;106;MOONEYS RD;CURRAWANG;2580;109.7;H;20251120;20251219;250000;RU1;3;FARM;;TCR;;;AV742613;
C;272;447197;4;20251229 01:09;4/817342;
D;272;447197;4;20251229 01:09;P;;;;;;
D;272;447197;4;20251229 01:09;P;;;;;;
D;272;447197;4;20251229 01:09;V;;;;;;
D;272;447197;4;20251229 01:09;V;;;;;;
D;272;447197;4;20251229 01:09;V;;;;;;
B;272;455863;5;20251229 01:09;;;33;CAMPBELL ST;QUEANBEYAN;2620;701.9;M;20251030;20251219;1090000;R2;R;RESIDENCE;;AEA;;;AV746590;
C;272;455863;5;20251229 01:09;2/38012;
D;272;455863;5;20251229 01:09;P;;;;;;
D;272;455863;5;20251229 01:09;V;;;;;;
B;272;457909;6;20251229 01:09;;24;85;DERRIMA RD;CRESTWOOD;2620;;;20251031;20251219;355000;;R;RESIDENCE;24;;;;AV748424;
C;272;457909;6;20251229 01:09;24/SP21797;
D;272;457909;6;20251229 01:09;P;;;;;;
D;272;457909;6;20251229 01:09;V;;;;;;
D;272;457909;6;20251229 01:09;V;;;;;;
B;272;466445;7;20251229 01:09;;15;20;TRINCULO PL;QUEANBEYAN EAST;2620;;;20251125;20251219;277000;;R;RESIDENCE;15;;;;AV748994;
C;272;466445;7;20251229 01:09;15/SP64567;
D;272;466445;7;20251229 01:09;P;;;;;;
D;272;466445;7;20251229 01:09;V;;;;;;
B;272;466701;8;20251229 01:09;;;57;URIARRA RD;CRESTWOOD;2620;720.2;M;20251201;20251223;745000;R3;R;RESIDENCE;;ARG;;;AV759325;
C;272;466701;8;20251229 01:09;D/383194;
D;272;466701;8;20251229 01:09;P;;;;;;
D;272;466701;8;20251229 01:09;P;;;;;;
D;272;466701;8;20251229 01:09;V;;;;;;
D;272;466701;8;20251229 01:09;V;;;;;;
B;272;464109;9;20251229 01:09;;;24;PATANGA GDNS;QUEANBEYAN WEST;2620;874;M;20251121;20251219;930000;R2;R;RESIDENCE;;HTN;;;AV749764;
C;272;464109;9;20251229 01:09;23/825242;
D;272;464109;9;20251229 01:09;P;;;;;;
D;272;464109;9;20251229 01:09;P;;;;;;
D;272;464109;9;20251229 01:09;V;;;;;;
D;272;464109;9;20251229 01:09;V;;;;;;
B;272;468669;10;20251229 01:09;;;80;RYRIE ST;BRAIDWOOD;2622;689.2;M;20251204;20251219;665000;R2;R;RESIDENCE;;RBW;;;AV746858;
C;272;468669;10;20251229 01:09;G/23016;
D;272;468669;10;20251229 01:09;P;;;;;;
D;272;468669;10;20251229 01:09;V;;;;;;
D;272;468669;10;20251229 01:09;V;;;;;;
B;272;468823;11;20251229 01:09;;;83;WILSON ST;BRAIDWOOD;2622;600.7;M;20251111;20251219;610000;R2;R;RESIDENCE;;RBW;;;AV745401;
C;272;468823;11;20251229 01:09;C/35453;
D;272;468823;11;20251229 01:09;P;;;;;;
D;272;468823;11;20251229 01:09;V;;;;;;
D;272;468823;11;20251229 01:09;V;;;;;;
B;272;481897;12;20251229 01:09;;;36;MOL CRES;GOOGONG;2620;865.1;M;20251110;20251222;1575000;C3;R;RESIDENCE;;RWM;;;AV752829;
C;272;481897;12;20251229 01:09;8/285061;
D;272;481897;12;20251229 01:09;P;;;;;;
D;272;481897;12;20251229 01:09;P;;;;;;
D;272;481897;12;20251229 01:09;V;;;;;;
B;272;4121651;13;20251229 01:09;;;28;UNDERHILL ST;GOOGONG;2620;401.5;M;20251201;20251219;980000;R1;R;RESIDENCE;;DGA;;;AV744635;
C;272;4121651;13;20251229 01:09;58/1240190;
D;272;4121651;13;20251229 01:09;P;;;;;;
D;272;4121651;13;20251229 01:09;P;;;;;;
D;272;4121651;13;20251229 01:09;V;;;;;;
D;272;4121651;13;20251229 01:09;V;;;;;;
B;272;4121675;14;20251229 01:09;;;26;ROGERS RD;GOOGONG;2620;399.9;M;20251125;20251222;950000;R1;R;RESIDENCE;;DGA;;;AV756102;
C;272;4121675;14;20251229 01:09;82/1240190;
D;272;4121675;14;20251229 01:09;P;;;;;;
D;272;4121675;14;20251229 01:09;P;;;;;;
D;272;4121675;14;20251229 01:09;V;;;;;;
B;272;4555102;15;20251229 01:09;;;30;MELICOPE ST;TRALEE;2620;480;M;20251208;20251219;485000;R1;V;VACANT LAND;;TRA;;;AV749863;
C;272;4555102;15;20251229 01:09;27/1302790;
D;272;4555102;15;20251229 01:09;P;;;;;;
D;272;4555102;15;20251229 01:09;V;;;;;;
D;272;4555102;15;20251229 01:09;V;;;;;;
B;272;4555128;16;20251229 01:09;;;7;PHOTINIA ST;TRALEE;2620;357;M;20251212;20251219;970000;R1;R;RESIDENCE;;TRA;;;AV748129;
C;272;4555128;16;20251229 01:09;53/1302790;
D;272;4555128;16;20251229 01:09;P;;;;;;
D;272;4555128;16;20251229 01:09;P;;;;;;
D;272;4555128;16;20251229 01:09;V;;;;;;
B;272;3193945;17;20251229 01:09;;33;12;WANIASSA ST;QUEANBEYAN EAST;2620;;;20251201;20251222;475000;;R;RESIDENCE;33;;;;AV755388;
C;272;3193945;17;20251229 01:09;33/SP74666;
D;272;3193945;17;20251229 01:09;P;;;;;;
D;272;3193945;17;20251229 01:09;P;;;;;;
D;272;3193945;17;20251229 01:09;V;;;;;;
D;272;3193945;17;20251229 01:09;V;;;;;;
B;272;2858489;18;20251229 01:09;;;24;TOOROONGA CRES;JERRABOMBERRA;2619;500.1;M;20251210;20251222;920000;R2;R;RESIDENCE;;DNK;;;AV752909;
C;272;2858489;18;20251229 01:09;522/1033589;
D;272;2858489;18;20251229 01:09;P;;;;;;
D;272;2858489;18;20251229 01:09;P;;;;;;
D;272;2858489;18;20251229 01:09;V;;;;;;
B;272;4420351;19;20251229 01:09;;;9;TASSEL TCE;TRALEE;2620;148.7;M;20251128;20251219;745000;R1;R;RESIDENCE;;TRA;;;AV747062;
C;272;4420351;19;20251229 01:09;357/1269547;
D;272;4420351;19;20251229 01:09;P;;;;;;
D;272;4420351;19;20251229 01:09;P;;;;;;
D;272;4420351;19;20251229 01:09;V;;;;;;
B;272;4422736;20;20251229 01:09;;;20;ZENITH ST;GOOGONG;2620;626;M;20251209;20251222;575000;R1;R;RESIDENCE;;DGA;;;AV755854;
C;272;4422736;20;20251229 01:09;902/1281577;
D;272;4422736;20;20251229 01:09;P;;;;;;
D;272;4422736;20;20251229 01:09;P;;;;;;
D;272;4422736;20;20251229 01:09;V;;;;;;
D;272;4422736;20;20251229 01:09;V;;;;;;
B;272;4433137;21;20251229 01:09;;;21;WHITTON RISE;BUNGENDORE;2621;909;M;20251114;20251219;425000;R2;V;VACANT LAND;;RBE;;;AV747799;
C;272;4433137;21;20251229 01:09;21/1282739;
D;272;4433137;21;20251229 01:09;P;;;;;;
D;272;4433137;21;20251229 01:09;V;;;;;;
D;272;4433137;21;20251229 01:09;V;;;;;;
Z;113;21;21;69;
