A;RTSALEDATA;070;20251229 01:06;VALNET;
B;070;3569266;1;20251229 01:06;;;376;GALORE FOREST RD;GALORE;2650;259;H;20250718;20251219;3232000;RU1;3;FARM;;PPA;;;AV742745;
C;070;3569266;1;20251229 01:06;76/754559;
D;070;3569266;1;20251229 01:06;P;;;;;;
D;070;3569266;1;20251229 01:06;P;;;;;;
D;070;3569266;1;20251229 01:06;V;;;;;;
B;070;550491;2;20251229 01:06;;;21;DOUGLAS ST;NARRANDERA;2700;1012;M;20251204;20251222;150000;RU5;R;RESIDENCE;;NVM;;;AV754187;
C;070;550491;2;20251229 01:06;1/174974;
D;070;550491;2;20251229 01:06;P;;;;;;
D;070;550491;2;20251229 01:06;V;;;;;;
B;070;551559;3;20251229 01:06;;;9;STURT ST;NARRANDERA;2700;948;M;20251112;20251219;115500;RU5;R;RESIDENCE;;NVM;;;AV746829;
C;070;551559;3;20251229 01:06;12/36178;
D;070;551559;3;20251229 01:06;P;;;;;;
D;070;551559;3;20251229 01:06;V;;;;;;
B;070;551696;4;20251229 01:06;;;27;WATERMAIN ST;NARRANDERA;2700;972.2;M;20251121;20251219;290000;RU5;R;RESIDENCE;;NRL;;;AV745063;
C;070;551696;4;20251229 01:06;4/575668;
D;070;551696;4;20251229 01:06;P;;;;;;
D;070;551696;4;20251229 01:06;V;;;;;;
Z;19;4;4;9;
