A;RTSALEDATA;266;20251222 01:11;VALNET;
B;266;414630;1;20251222 01:11;;;66;BLACKETT AVE;YOUNG;2594;727.8;M;20251106;20251218;405000;R1;R;RESIDENCE;;YAA;;;AV738943;
C;266;414630;1;20251222 01:11;4/252316;
D;266;414630;1;20251222 01:11;P;;;;;;
D;266;414630;1;20251222 01:11;V;;;;;;
B;266;412222;2;20251222 01:11;;;58;KOORAWATHA RD;KOORAWATHA;2807;73.04;H;20251128;20251212;550000;RU1;3;FARM;;YMA;;;AV708026;
C;266;412222;2;20251222 01:11;82, 83, 84/754593;
D;266;412222;2;20251222 01:11;P;;;;;;
D;266;412222;2;20251222 01:11;P;;;;;;
D;266;412222;2;20251222 01:11;V;;;;;;
D;266;412222;2;20251222 01:11;V;;;;;;
D;266;412222;2;20251222 01:11;V;;;;;;
B;266;412410;3;20251222 01:11;;;27;LACHLAN ST;KOORAWATHA;2807;961.1;M;20251118;20251215;77000;RU5;V;VACANT LAND;;YKO;;;AV719532;
C;266;412410;3;20251222 01:11;8/6619;
D;266;412410;3;20251222 01:11;P;;;;;;
D;266;412410;3;20251222 01:11;V;;;;;;
B;266;412521;4;20251222 01:11;;;100;TAUNTONS RD;KIKIAMAH;2594;166.756;H;20251120;20251218;2520000;RU1;3;FARM;;YNA;;;AV737856;
C;266;412521;4;20251222 01:11;1/651664 46/754594;
D;266;412521;4;20251222 01:11;P;;;;;;
D;266;412521;4;20251222 01:11;V;;;;;;
D;266;412521;4;20251222 01:11;V;;;;;;
B;266;412901;5;20251222 01:11;;;41;WIRRIMAH RD;BENDICK MURRELL;2803;1.214;H;20251124;20251215;370000;RU5;R;RESIDENCE;;YBM;;;AV716419;
C;266;412901;5;20251222 01:11;436/754605;
D;266;412901;5;20251222 01:11;P;;;;;;
D;266;412901;5;20251222 01:11;V;;;;;;
B;266;413186;6;20251222 01:11;;;177;GOLDEN GROVE RD;YOUNG;2594;8.368;H;20251010;20251218;1170000;RU1;R;RESIDENCE;;YKA;;;AV735621;
C;266;413186;6;20251222 01:11;2/1108509;
D;266;413186;6;20251222 01:11;P;;;;;;
D;266;413186;6;20251222 01:11;V;;;;;;
B;266;413228;7;20251222 01:11;YANGOORA;;10;BELOWRA RD;YOUNG;2594;26.02;H;20251028;20251212;1090000;C3;R;RESIDENCE;;YPG;;;AV711648;
C;266;413228;7;20251222 01:11;2/587905;
D;266;413228;7;20251222 01:11;P;;;;;;
D;266;413228;7;20251222 01:11;P;;;;;;
D;266;413228;7;20251222 01:11;V;;;;;;
D;266;413228;7;20251222 01:11;V;;;;;;
B;266;410752;8;20251222 01:11;;;90;MARSDEN ST;BOOROWA;2586;2023;M;20251114;20251212;230000;R1;V;VACANT LAND;;BAA;;;AV710456;
C;266;410752;8;20251222 01:11;5/1/758139;
D;266;410752;8;20251222 01:11;P;;;;;;
D;266;410752;8;20251222 01:11;P;;;;;;
D;266;410752;8;20251222 01:11;V;;;;;;
D;266;410752;8;20251222 01:11;V;;;;;;
D;266;410752;8;20251222 01:11;V;;;;;;
D;266;410752;8;20251222 01:11;V;;;;;;
B;266;417147;9;20251222 01:11;;;42;TIERNEY ST;YOUNG;2594;3.949;H;20251008;20251217;860000;R5;R;RESIDENCE;;YAM;;;AV731333;
C;266;417147;9;20251222 01:11;4/262995;
D;266;417147;9;20251222 01:11;P;;;;;;
D;266;417147;9;20251222 01:11;P;;;;;;
D;266;417147;9;20251222 01:11;V;;;;;;
D;266;417147;9;20251222 01:11;V;;;;;;
B;266;417155;10;20251222 01:11;;;17;TOOMPANG ST;YOUNG;2594;613.3;M;20251117;20251215;380000;R1;R;RESIDENCE;;YAC;;;AV719993;
C;266;417155;10;20251222 01:11;14/71/244531;
D;266;417155;10;20251222 01:11;P;;;;;;
D;266;417155;10;20251222 01:11;P;;;;;;
D;266;417155;10;20251222 01:11;V;;;;;;
D;266;417155;10;20251222 01:11;V;;;;;;
B;266;417337;11;20251222 01:11;;;118;WILLAWONG ST;YOUNG;2594;2.07;H;20251127;20251218;730000;R1;R;RESIDENCE;;YAL;;;AV737277;
C;266;417337;11;20251222 01:11;2512/44414 1/615131;
D;266;417337;11;20251222 01:11;P;;;;;;
D;266;417337;11;20251222 01:11;V;;;;;;
B;266;417368;12;20251222 01:11;;;171;WILLIAM ST;YOUNG;2594;1015;M;20251024;20251218;400000;R1;R;RESIDENCE;;YAB;;;AV739127;
C;266;417368;12;20251222 01:11;2/611959;
D;266;417368;12;20251222 01:11;P;;;;;;
D;266;417368;12;20251222 01:11;V;;;;;;
D;266;417368;12;20251222 01:11;V;;;;;;
B;266;417591;13;20251222 01:11;;;98;WOMBAT ST;YOUNG;2594;992.7;M;20251209;20251218;375000;R1;R;RESIDENCE;;YAC;;;AV737817;
C;266;417591;13;20251222 01:11;1/28945;
D;266;417591;13;20251222 01:11;P;;;;;;
D;266;417591;13;20251222 01:11;V;;;;;;
D;266;417591;13;20251222 01:11;V;;;;;;
B;266;415102;14;20251222 01:11;;;10;CHARLES CRES;YOUNG;2594;1216;M;20251028;20251212;627000;R1;R;RESIDENCE;;YAF;;;AV710613;
C;266;415102;14;20251222 01:11;9/247977;
D;266;415102;14;20251222 01:11;P;;;;;;
D;266;415102;14;20251222 01:11;V;;;;;;
B;266;415546;15;20251222 01:11;;;139;EDWARDS ST;YOUNG;2594;919.8;M;20251117;20251216;580000;R1;R;RESIDENCE;;YAB;;;AV723350;
C;266;415546;15;20251222 01:11;9/26511;
D;266;415546;15;20251222 01:11;P;;;;;;
D;266;415546;15;20251222 01:11;P;;;;;;
D;266;415546;15;20251222 01:11;V;;;;;;
D;266;415546;15;20251222 01:11;V;;;;;;
B;266;6031687;16;20251222 01:11;;;12 B;KEEVIL DR;YOUNG;2594;577.3;M;20251205;20251218;615000;R1;R;RESIDENCE;;YAC;;;AV737318;
C;266;6031687;16;20251222 01:11;2/1322443;
D;266;6031687;16;20251222 01:11;P;;;;;;
D;266;6031687;16;20251222 01:11;P;;;;;;
D;266;6031687;16;20251222 01:11;V;;;;;;
B;266;416743;17;20251222 01:11;;;10;PATTERSON AVE;YOUNG;2594;1081;M;20251120;20251215;380000;R1;R;RESIDENCE;;YAG;;;AV716565;
C;266;416743;17;20251222 01:11;B/396268;
D;266;416743;17;20251222 01:11;P;;;;;;
D;266;416743;17;20251222 01:11;V;;;;;;
B;266;416772;18;20251222 01:11;;;48;PINEVIEW CCT;YOUNG;2594;780.6;M;20251105;20251217;510000;R1;R;RESIDENCE;;YAE;;;AV731177;
C;266;416772;18;20251222 01:11;39/803149;
D;266;416772;18;20251222 01:11;P;;;;;;
D;266;416772;18;20251222 01:11;V;;;;;;
B;266;451332;19;20251222 01:11;;;190;ALBURY ST;HARDEN;2587;897.9;M;20251127;20251215;300000;R1;R;RESIDENCE;;HAA;;;AV715341;
C;266;451332;19;20251222 01:11;B/303520;
D;266;451332;19;20251222 01:11;P;;;;;;
D;266;451332;19;20251222 01:11;P;;;;;;
D;266;451332;19;20251222 01:11;V;;;;;;
B;266;451392;20;20251222 01:11;;;21;AURVILLE RD;HARDEN;2587;608.4;M;20251112;20251212;245000;R1;R;RESIDENCE;;HAC;;;AV707103;
C;266;451392;20;20251222 01:11;3/801202;
D;266;451392;20;20251222 01:11;P;;;;;;
D;266;451392;20;20251222 01:11;V;;;;;;
B;266;452204;21;20251222 01:11;;;16;WARD ST;HARDEN;2587;1897;M;20251201;20251216;495000;R1;R;RESIDENCE;;HAG;;;AV725229;
C;266;452204;21;20251222 01:11;6/B/6919;
D;266;452204;21;20251222 01:11;P;;;;;;
D;266;452204;21;20251222 01:11;V;;;;;;
B;266;3556676;22;20251222 01:11;;10;157;WILLIAM ST;YOUNG;2594;;;20251202;20251218;342500;;R;RESIDENCE;10;;;;AV738348;
C;266;3556676;22;20251222 01:11;10/SP84154;
D;266;3556676;22;20251222 01:11;P;;;;;;
D;266;3556676;22;20251222 01:11;P;;;;;;
D;266;3556676;22;20251222 01:11;V;;;;;;
D;266;3556676;22;20251222 01:11;V;;;;;;
B;266;4593901;23;20251222 01:11;;;286;SCENIC RD;YOUNG;2594;4.002;H;20251202;20251217;400000;RU4;R;RESIDENCE;;YEA;;;AV730438;
C;266;4593901;23;20251222 01:11;4/1311047;
D;266;4593901;23;20251222 01:11;P;;;;;;
D;266;4593901;23;20251222 01:11;P;;;;;;
D;266;4593901;23;20251222 01:11;V;;;;;;
B;266;4536580;24;20251222 01:11;;;29;WALL ST;YOUNG;2594;841.3;M;20251112;20251212;192200;R1;R;RESIDENCE;;YAC;;;AV709420;
C;266;4536580;24;20251222 01:11;22/1302705;
D;266;4536580;24;20251222 01:11;P;;;;;;
D;266;4536580;24;20251222 01:11;V;;;;;;
D;266;4536580;24;20251222 01:11;V;;;;;;
