A;RTSALEDATA;257;20251222 01:11;VALNET;
B;257;3604027;1;20251222 01:11;;;56;RUSSELL ST;SOUTH GUYRA;2365;839;M;20251202;20251212;325000;R1;R;RESIDENCE;;GAA;;;AV712601;
C;257;3604027;1;20251222 01:11;61/1169004;
D;257;3604027;1;20251222 01:11;P;;;;;;
D;257;3604027;1;20251222 01:11;V;;;;;;
D;257;3604027;1;20251222 01:11;V;;;;;;
B;257;4107578;2;20251222 01:11;;;29;SUNRISE CRES;ARMIDALE;2350;501.4;M;20250917;20251215;655000;R1;R;RESIDENCE;;AAA;;;AV717657;
C;257;4107578;2;20251222 01:11;20/1239895;
D;257;4107578;2;20251222 01:11;P;;;;;;
D;257;4107578;2;20251222 01:11;P;;;;;;
D;257;4107578;2;20251222 01:11;V;;;;;;
D;257;4107578;2;20251222 01:11;V;;;;;;
B;257;4039884;3;20251222 01:11;;;4;ELAINE CL;BLACK MOUNTAIN;2365;8066;M;20251120;20251212;335000;R5;R;RESIDENCE;;RRA;;;AV708891;
C;257;4039884;3;20251222 01:11;17/1229593;
D;257;4039884;3;20251222 01:11;P;;;;;;
D;257;4039884;3;20251222 01:11;P;;;;;;
D;257;4039884;3;20251222 01:11;V;;;;;;
D;257;4039884;3;20251222 01:11;V;;;;;;
B;257;4617264;4;20251222 01:11;;;21;KURANDA AVE;ARMIDALE;2350;980;M;20251125;20251218;267000;R1;R;RESIDENCE;;AAH;;;AV733371;
C;257;4617264;4;20251222 01:11;102/1313275;
D;257;4617264;4;20251222 01:11;P;;;;;;
D;257;4617264;4;20251222 01:11;V;;;;;;
B;257;1845322;5;20251222 01:11;WESTLEIGH;;18;LYNDHURST RD;THALGARRAH;2350;7.664;H;20251212;20251215;305000;RU1;R;RESIDENCE;;RSA;;;AV720250;
C;257;1845322;5;20251222 01:11;96/751473;
D;257;1845322;5;20251222 01:11;P;;;;;;
D;257;1845322;5;20251222 01:11;V;;;;;;
D;257;1845322;5;20251222 01:11;V;;;;;;
D;257;1845322;5;20251222 01:11;V;;;;;;
