A;RTSALEDATA;264;20251222 01:11;VALNET;
B;264;1467245;1;20251222 01:11;;90;323;FOREST RD;HURSTVILLE;2220;;;20251105;20251217;625000;;R;RESIDENCE;90;;;;AV731102;
C;264;1467245;1;20251222 01:11;90/SP65717;
D;264;1467245;1;20251222 01:11;P;;;;;;
D;264;1467245;1;20251222 01:11;P;;;;;;
D;264;1467245;1;20251222 01:11;V;;;;;;
B;264;2869597;2;20251222 01:11;;1;65;HUDSON ST;HURSTVILLE;2220;205;M;20251108;20251212;1345000;;R;RESIDENCE;1;;;;AV709041;
C;264;2869597;2;20251222 01:11;1/SP65853;
D;264;2869597;2;20251222 01:11;P;;;;;;
D;264;2869597;2;20251222 01:11;V;;;;;;
D;264;2869597;2;20251222 01:11;V;;;;;;
B;264;2874306;3;20251222 01:11;;8;7;BEMBRIDGE ST;CARLTON;2218;157;M;20251105;20251216;1080000;;R;RESIDENCE;8;;;;AV721748;
C;264;2874306;3;20251222 01:11;8/SP66109;
D;264;2874306;3;20251222 01:11;P;;;;;;
D;264;2874306;3;20251222 01:11;V;;;;;;
D;264;2874306;3;20251222 01:11;V;;;;;;
B;264;2870136;4;20251222 01:11;;3;24;CONNELLY ST;PENSHURST;2222;186;M;20251016;20251215;995000;;R;RESIDENCE;3;;;;AV718720;
C;264;2870136;4;20251222 01:11;3/SP66348;
D;264;2870136;4;20251222 01:11;P;;;;;;
D;264;2870136;4;20251222 01:11;V;;;;;;
B;264;2982216;5;20251222 01:11;;4;36;GLOUCESTER RD;HURSTVILLE;2220;;;20251112;20251217;650000;;R;RESIDENCE;4;;;;AV730684;
C;264;2982216;5;20251222 01:11;4/SP69617;
D;264;2982216;5;20251222 01:11;P;;;;;;
D;264;2982216;5;20251222 01:11;V;;;;;;
B;264;4217338;6;20251222 01:11;;112;9;DERWENT ST;SOUTH HURSTVILLE;2221;;;20251113;20251216;535800;;R;RESIDENCE;62;;;;AV721518;
C;264;4217338;6;20251222 01:11;62/SP99144;
D;264;4217338;6;20251222 01:11;P;;;;;;
D;264;4217338;6;20251222 01:11;P;;;;;;
D;264;4217338;6;20251222 01:11;V;;;;;;
B;264;6029230;7;20251222 01:11;;;46 A;WARATAH ST;KYLE BAY;2221;385.1;M;20250625;20251216;2725000;R2;R;RESIDENCE;;KRR;;;AV725956;
C;264;6029230;7;20251222 01:11;2/1315448;
D;264;6029230;7;20251222 01:11;P;;;;;;
D;264;6029230;7;20251222 01:11;P;;;;;;
D;264;6029230;7;20251222 01:11;V;;;;;;
B;264;3026830;8;20251222 01:11;;2;14;YARRAN RD;OATLEY;2223;;;20251016;20251217;1450000;;R;RESIDENCE;2;;;;AV729745;
C;264;3026830;8;20251222 01:11;2/SP70856;
D;264;3026830;8;20251222 01:11;P;;;;;;
D;264;3026830;8;20251222 01:11;P;;;;;;
D;264;3026830;8;20251222 01:11;V;;;;;;
D;264;3026830;8;20251222 01:11;V;;;;;;
B;264;3498557;9;20251222 01:11;;2;28;PARK ST;PEAKHURST;2210;293;M;20251101;20251215;1558000;;R;RESIDENCE;2;;;;AV717044;
C;264;3498557;9;20251222 01:11;2/SP83232;
D;264;3498557;9;20251222 01:11;P;;;;;;
D;264;3498557;9;20251222 01:11;P;;;;;;
D;264;3498557;9;20251222 01:11;V;;;;;;
D;264;3498557;9;20251222 01:11;V;;;;;;
B;264;3602509;10;20251222 01:11;;7;41;AUSTRAL ST;PENSHURST;2222;149;M;20251110;20251218;965000;;R;RESIDENCE;7;;;;AV734811;
C;264;3602509;10;20251222 01:11;7/SP85894;
D;264;3602509;10;20251222 01:11;P;;;;;;
D;264;3602509;10;20251222 01:11;V;;;;;;
B;264;4090088;11;20251222 01:11;;905;380;FOREST RD;HURSTVILLE;2220;;;20251030;20251215;865000;;R;RESIDENCE;68;;;;AV714111;
C;264;4090088;11;20251222 01:11;68/SP96816;
D;264;4090088;11;20251222 01:11;P;;;;;;
D;264;4090088;11;20251222 01:11;P;;;;;;
D;264;4090088;11;20251222 01:11;V;;;;;;
D;264;4090088;11;20251222 01:11;V;;;;;;
B;264;4074016;12;20251222 01:11;;8;22;GOVER ST;PEAKHURST;2210;83;M;20251106;20251218;567500;;R;RESIDENCE;8;;;;AV735116;
C;264;4074016;12;20251222 01:11;8/SP92723;
D;264;4074016;12;20251222 01:11;P;;;;;;
D;264;4074016;12;20251222 01:11;V;;;;;;
D;264;4074016;12;20251222 01:11;V;;;;;;
B;264;4588708;13;20251222 01:11;;2;4;JAMES ST;BLAKEHURST;2221;160;M;20251106;20251212;940000;;R;RESIDENCE;21;;;;AV709614;
C;264;4588708;13;20251222 01:11;21/SP108788;
